"","subject","session","scan"
"294","0025035",1,1
"295","0025035",2,1
"296","0025035",2,2
"297","0025036",1,1
"298","0025036",1,2
"299","0025036",2,1
"300","0025036",2,2
"301","0025037",1,1
"302","0025037",1,2
"303","0025037",2,1
"304","0025037",2,2
"305","0025038",1,1
"306","0025038",1,2
"307","0025038",2,1
"308","0025038",2,2
"309","0025039",1,1
"310","0025039",1,2
"311","0025039",2,1
"312","0025039",2,2
"313","0025040",1,1
"314","0025040",1,2
"315","0025040",2,1
"316","0025040",2,2
"317","0025041",1,1
"318","0025041",1,2
"319","0025041",2,1
"320","0025041",2,2
"321","0025042",1,1
"322","0025042",1,2
"323","0025042",2,1
"324","0025042",2,2
"325","0025043",1,1
"326","0025043",2,1
"327","0025043",2,2
"328","0025044",1,1
"329","0025044",1,2
"330","0025044",2,1
"331","0025044",2,2
"332","0025045",1,1
"333","0025045",1,2
"334","0025045",2,1
"335","0025045",2,2
"336","0025046",1,1
"337","0025046",1,2
"338","0025046",2,1
"339","0025046",2,2
"340","0025047",1,1
"341","0025047",1,2
"342","0025047",2,1
"343","0025047",3,1
"344","0025047",3,2
"345","0025048",1,1
"346","0025048",1,2
"347","0025048",2,1
"348","0025048",2,2
"349","0025049",1,1
"350","0025049",1,2
"351","0025049",2,1
"352","0025049",2,2
"353","0025050",1,1
"354","0025050",1,2
"355","0025050",2,1
"356","0025050",2,2
"357","0025051",1,1
"358","0025051",1,2
"359","0025051",2,1
"360","0025051",2,2
"361","0025052",1,1
"362","0025052",1,2
"363","0025052",2,1
"364","0025052",2,2
"365","0025053",1,1
"366","0025053",1,2
"367","0025053",2,1
"368","0025053",2,2
"369","0025054",1,1
"370","0025054",1,2
"371","0025054",2,1
"372","0025054",2,2
"373","0025055",1,1
"374","0025055",1,2
"375","0025055",2,1
"376","0025055",2,2
"377","0025056",1,1
"378","0025056",1,2
"379","0025056",2,1
"380","0025056",2,2
"381","0025057",1,1
"382","0025057",1,2
"383","0025057",2,1
"384","0025057",2,2
"385","0025058",1,1
"386","0025058",1,2
"387","0025058",2,1
"388","0025058",2,2
"389","0025059",1,1
"390","0025059",1,2
"391","0025059",2,1
"392","0025059",2,2
"393","0025060",1,1
"394","0025060",1,2
"395","0025060",2,1
"396","0025060",2,2
"397","0025061",1,1
"398","0025061",1,2
"399","0025061",2,1
"400","0025061",2,2
"401","0025062",1,1
"402","0025062",1,2
"403","0025063",1,1
"404","0025063",1,2
"405","0025064",1,1
"406","0025064",1,2
"407","0025065",1,1
"408","0025065",1,2
"409","0025066",1,1
"410","0025066",1,2
"411","0025067",1,1
"412","0025067",1,2
"413","0025068",1,1
"414","0025068",1,2
"415","0025069",1,1
"416","0025069",1,2
"417","0025070",1,1
"418","0025070",1,2
"419","0025071",1,1
"420","0025071",1,2
"421","0025072",1,1
"422","0025072",1,2
"423","0025073",1,1
"424","0025073",1,2
"425","0025074",1,1
"426","0025074",1,2
"427","0025075",1,1
"428","0025075",1,2
"429","0025076",1,1
"430","0025076",1,2
"431","0025077",1,1
"432","0025077",1,2
"433","0025078",1,1
"434","0025078",1,2
"435","0025079",1,1
"436","0025079",1,2
"437","0025080",1,1
"438","0025080",1,2
"439","0025081",1,1
"440","0025081",1,2
"441","0025082",1,1
"442","0025082",1,2
"443","0025083",1,1
"444","0025083",1,2
"445","0025084",1,1
"446","0025084",1,2
"447","0025085",1,1
"448","0025085",1,2
"449","0025086",1,1
"450","0025086",1,2
"451","0025087",1,1
"452","0025087",1,2
"453","0025088",1,1
"454","0025088",1,2
"455","0025089",1,1
"456","0025089",1,2
"457","0025090",1,1
"458","0025090",1,2
"459","0025091",1,1
"460","0025091",1,2
"461","0025092",1,1
"462","0025092",1,2
"463","0025093",1,1
"464","0025093",1,2
"465","0025094",1,1
"466","0025094",1,2
"467","0025095",1,1
"468","0025095",1,2
"469","0025096",1,1
"470","0025096",1,2
"471","0025097",1,1
"472","0025097",1,2
"473","0025098",1,1
"474","0025098",1,2
"475","0025099",1,1
"476","0025099",1,2
"477","0025100",1,1
"478","0025100",1,2
"479","0025101",1,1
"480","0025101",1,2
"481","0025102",1,1
"482","0025102",1,2
"483","0025103",1,1
"484","0025103",1,2
"485","0025104",1,1
"486","0025104",1,2
"487","0025105",1,1
"488","0025105",1,2
