"","subject","site","site.name","session","scan","falff_50","falff_75","falff_90","falff_fwhm","falff_mean","reho_50","reho_75","reho_90","reho_fwhm","reho_mean","vmhc_50","vmhc_75","vmhc_90","vmhc_fwhm","vmhc_mean","global"
"1","0003001","4","BMB","1","1",0.683937197551131,0.73098049685359,0.785261226817966,4.38886,0.690318370682006,0.117077119648457,0.190016806125641,0.268883091211319,11.2422,0.141766622662544,0.396136462688446,0.619661927223206,0.783221304416656,6.4652,0.390761107206345,"All Sites"
"2","0003001","4","BMB","1","2",0.683599949814379,0.734506329055876,0.789048878243193,4.4794,0.6909220493262,0.122264042496681,0.19601283967495,0.274423950910568,10.9929,0.145698130130768,0.418891444802284,0.621947437524796,0.785686284303665,6.44504,0.403982728719711,"All Sites"
"3","0003002","4","BMB","1","2",0.661841027438641,0.704086199402809,0.749851802363992,4.18292,0.663313511484972,0.105649895966053,0.173334274441004,0.243626292049885,11.7909,0.128629669547081,0.380067259073257,0.582651555538177,0.739930909872055,6.7417,0.374493569135666,"All Sites"
"4","0003002","4","BMB","1","1",0.665040582418442,0.703141865786165,0.751634408254176,3.95153,0.668852843657628,0.103090640157461,0.169108796864748,0.242506152391434,11.7055,0.127261638641357,0.377324998378754,0.590936124324799,0.760631442070007,6.57763,0.37551361322403,"All Sites"
"5","0003004","4","BMB","1","1",0.707455407828093,0.754378470592201,0.794082600623369,4.07177,0.710498138210084,0.115170806646347,0.181785825639963,0.248718447983265,11.4341,0.134388536214828,0.413583815097809,0.605134606361389,0.757438659667969,6.07797,0.393381834030151,"All Sites"
"6","0003004","4","BMB","1","2",0.69557074457407,0.739501528441906,0.779771413654089,3.74075,0.700943087689167,0.0973924472928047,0.15515986084938,0.219457015395164,11.4241,0.117849566042423,0.377380222082138,0.57197941839695,0.730921268463135,5.91705,0.368933796882629,"All Sites"
"7","0003006","4","BMB","1","1",0.682712946087122,0.721028468571603,0.759343991056085,3.68448,0.684277867877702,0.147251531481743,0.220872297883034,0.288123661279678,11.1792,0.163142397999763,0.520543038845062,0.697123229503632,0.814292907714844,6.51767,0.470973014831543,"All Sites"
"8","0003006","4","BMB","1","2",0.665724636055529,0.70426658866927,0.742808541283011,4.01269,0.664660677420331,0.126019567251205,0.191948637366295,0.258648490905762,11.2504,0.143335729837418,0.441918820142746,0.630705416202545,0.766625225543976,6.45846,0.41647869348526,"All Sites"
"9","0003007","4","BMB","1","1",0.674810713157058,0.714718873612583,0.758255048654974,3.73134,0.678814498507091,0.0945004671812057,0.144378036260605,0.202541153132915,11.3755,0.112641461193562,0.356594353914261,0.534697651863098,0.692818582057953,5.97065,0.350481867790222,"All Sites"
"10","0003007","4","BMB","1","2",0.657210865058005,0.692544782534242,0.734945483505726,3.76496,0.660149260097981,0.0901951789855957,0.144230514764786,0.207672566175461,11.8082,0.111635625362396,0.314141690731049,0.489546157419682,0.647973299026489,6.22087,0.320052355527878,"All Sites"
