subject,bg_mean,bg_size,bg_std,cnr,csf_mean,csf_size,csf_std,efc,fber,fg_mean,fg_size,fg_std,gm_mean,gm_size,gm_std,qi1,snr,wm_mean,wm_size,wm_std
0026017_session_4,2.6195218563079834,11680762.0,11.266072273254395,10.707026481628418,198.693115234375,10346.0,48.38286590576172,0.3630902517722329,686.0690565288385,268.9030456542969,2999302.0,150.5021209716797,369.7377014160156,387871.0,33.33176803588867,0.04374046830163991,32.818687438964844,490.36383056640625,87400.0,22.70829963684082
0026017_session_3,2.5080673694610596,11652110.0,10.048316955566406,12.467950820922852,201.27239990234375,10914.0,49.14511489868164,0.3634155630127538,880.8258204510395,272.92633056640625,3027954.0,154.30715942382812,376.8739318847656,401528.0,34.336151123046875,0.046827398642820914,37.50617599487305,502.1558532714844,90583.0,24.09768295288086
0026017_session_7,2.6476571559906006,11676899.0,11.416619300842285,10.678950309753418,195.19198608398438,11433.0,48.24446487426758,0.36353977500573964,674.022450638829,269.9432678222656,3003165.0,150.75021362304688,370.0927734375,399441.0,33.236663818359375,0.04563788725071614,32.41701889038086,492.0102844238281,88598.0,21.28782844543457
0026017_session_2,2.8230044841766357,11704145.0,12.151071548461914,10.16525936126709,201.2315216064453,10988.0,50.09329605102539,0.3628607947506216,623.6271902437749,276.0109558105469,2975919.0,154.35877990722656,379.9785461425781,388804.0,33.25983810424805,0.04964036245278916,31.271196365356445,503.4973449707031,88625.0,24.003650665283203
0026017_session_10,2.575511932373047,11683488.0,10.99102783203125,10.623457908630371,187.18263244628906,10584.0,46.48711013793945,0.3631863222268925,662.0067438589995,257.4529724121094,2996576.0,144.378173828125,353.5241394042969,393920.0,33.061195373535156,0.061600097505128605,32.164794921875,470.286865234375,88652.0,22.852237701416016
0026017_session_1,2.7897722721099854,11680432.0,11.813078880310059,11.18679141998291,213.0625,11039.0,51.75212097167969,0.3624696242788036,744.0718725189363,293.1911926269531,2999632.0,164.66262817382812,401.50299072265625,411900.0,36.298519134521484,0.05398541766263439,33.988006591796875,533.6534423828125,91087.0,24.477020263671875
0026017_session_6,2.7271692752838135,11713788.0,11.889954566955566,10.196846961975098,189.60165405273438,11435.0,46.813358306884766,0.36179336241597176,597.3591860718041,263.89556884765625,2966276.0,148.16412353515625,361.8340759277344,392828.0,33.650230407714844,0.06702511604273528,30.431913375854492,483.0741271972656,88303.0,22.925395965576172
0026017_session_5,2.6225993633270264,11660052.0,11.385310173034668,10.832597732543945,198.3343963623047,11223.0,48.59807205200195,0.3640441912289345,694.5580767016871,272.75677490234375,3020012.0,153.03184509277344,375.03173828125,395625.0,34.23155212402344,0.045674067319768384,32.93996810913086,498.3642272949219,88971.0,23.73462677001953
0026017_session_8,2.928699493408203,11702520.0,13.205705642700195,9.282331466674805,203.9826202392578,10303.0,49.78856658935547,0.36354178290913286,537.2859224603782,277.2960205078125,2977544.0,153.89068603515625,380.0561828613281,394967.0,33.43223571777344,0.049843879779739746,28.779695510864258,502.63592529296875,90153.0,22.555171966552734
0026017_session_9,2.6442646980285645,11668072.0,10.682618141174316,11.752076148986816,202.09780883789062,11012.0,49.824684143066406,0.36351135545002045,802.1489759244923,276.657958984375,3011992.0,155.3035888671875,380.0784912109375,396963.0,34.984588623046875,0.05122585805092735,35.57915115356445,505.6214294433594,89866.0,24.29169273376465
0026018_session_1,6.773680210113525,29786492.0,10.661181449890137,14.105313301086426,98.49510955810547,22175.0,45.06533432006836,0.41258973092487333,380.06450950791753,236.8048095703125,9535108.0,123.27236938476562,247.38357543945312,1589303.0,33.774742126464844,0.05255573566702652,23.204143524169922,397.76287841796875,328023.0,20.61912727355957
0026018_session_2,,,,,,,,,,,,,,,,,,,,
