Subject,Scan,Mean_Relative_RMS_Displacement,Max_Relative_RMS_Displacement,Movements_gt_threshold,Mean_Relative_Mean_Rotation,Mean_Relative_Maxdisp,Max_Relative_Maxdisp,Max_Abs_Maxdisp,Max_Relative_Roll,Max_Relative_Pitch,Max_Relative_Yaw,Max_Relative_dS-I,Max_Relative_dL-R,Max_Relative_dP-A,Mean_Relative_Roll,Mean_Relative_Pitch,Mean_Relative_Yaw,Mean_Relative_dS-I,Mean_Relative_dL-R,Mean_Relative_dP-A,Max_Abs_Roll,Max_Abs_Pitch,Max_Abs_Yaw,Max_Abs_dS-I,Max_Abs_dL-R,Max_Abs_dP-A,Mean_Abs_Roll,Mean_Abs_Pitch,Mean_Abs_Yaw,Mean_Abs_dS-I,Mean_Abs_dL-R,Mean_Abs_dP-A,MeanFD,NumFD_greater_than_0.20,rootMeanSquareFD,FDquartile(top1/4thFD),PercentFD_greater_than_0.20,MeanDVARS,MeanFD_Jenkinson
3315657_session_1,rest_645_1_rest,0.014,0.112,1.000,0.010,-0.000,0.543,1.675,0.076000,0.283500,0.054400,0.152100,0.061300,0.123600,-0.000568,0.001321,-0.000231,-0.000105,-0.000587,-0.000270,0.289200,0.728200,0.139800,0.364000,0.297000,0.228600,0.138282,0.313731,0.043669,0.101863,0.132240,0.056308,0.0763,11.0000,0.2762,0.1280,1.2222,38.8689,1.5562,
3795193_session_1,rest_645_1_rest,0.080,0.914,261.000,0.015,0.001,2.640,5.532,0.203700,1.181100,0.217800,0.962300,0.130100,0.812900,-0.000144,0.000324,0.000245,-0.000193,0.000134,-0.000238,0.208600,1.885600,0.451000,1.962000,0.292300,1.016300,0.039951,0.177013,0.120724,0.271447,0.073187,0.061339,0.2054,343.0000,0.4532,0.4442,38.0688,39.4502,6.0771,
3808535_session_1,rest_645_1_rest,0.015,0.443,4.000,0.005,-0.000,1.101,2.076,0.080200,0.340000,0.115900,0.446200,0.064200,0.091600,-0.000109,0.000112,-0.000054,-0.000090,-0.000074,-0.000184,0.057900,0.674400,0.130500,0.818400,0.061400,0.134900,0.015579,0.041136,0.017858,0.054095,0.013981,0.041776,0.0620,5.0000,0.2491,0.1132,0.5549,28.3731,1.6590,
3893245_session_1,rest_645_1_rest,0.052,0.262,116.000,0.008,-0.001,0.567,1.030,0.382700,0.314400,0.177300,0.266200,0.263500,0.417700,-0.000059,0.000296,-0.000143,0.000368,-0.000011,-0.000326,0.370400,0.367900,0.189700,0.528800,0.247500,0.399500,0.071908,0.080670,0.055242,0.140832,0.070933,0.116306,0.1469,186.0000,0.3832,0.2678,20.6437,38.8166,4.4850,
4176156_session_1,rest_645_1_rest,0.035,0.123,16.000,0.004,-0.000,0.164,0.485,0.024700,0.046400,0.025600,0.123200,0.025000,0.147700,-0.000017,0.000185,-0.000157,-0.000151,-0.000138,0.000001,0.047800,0.182300,0.105500,0.235600,0.088100,0.125600,0.017958,0.059184,0.049002,0.086498,0.039604,0.037555,0.0995,23.0000,0.3154,0.1627,2.5527,28.4690,3.2066,
4288245_session_1,rest_645_1_rest,0.132,0.644,424.000,0.032,-0.007,1.495,6.556,0.086600,0.398600,0.104700,0.763200,0.048700,0.199900,-0.000345,-0.002769,0.000359,0.001214,-0.000086,-0.000236,0.312600,2.458000,0.339800,1.381700,0.189200,0.242000,0.053830,0.196785,0.047781,0.240378,0.035174,0.059320,0.3288,513.0000,0.5734,0.7243,56.9367,46.3406,10.7756,
6471972_session_1,rest_645_1_rest,0.047,1.796,57.000,0.016,-0.001,9.565,14.847,0.369800,4.566600,0.555600,1.571000,0.303500,0.963600,0.000472,0.001440,0.000553,-0.001207,0.000379,-0.000958,0.637400,6.669800,1.104400,2.887400,0.869200,1.319200,0.239665,0.539992,0.227976,0.326354,0.189047,0.284303,0.1843,155.0000,0.4294,0.4344,17.2222,34.1718,4.8335,
7055197_session_1,rest_645_1_rest,0.025,0.130,9.000,0.007,0.000,0.637,1.343,0.113500,0.284000,0.075500,0.212400,0.095900,0.101900,0.000121,-0.000351,-0.000100,-0.000041,0.000034,0.000261,0.190400,0.715000,0.087000,0.378400,0.146900,0.260500,0.040389,0.161772,0.016496,0.105134,0.024863,0.065558,0.0796,22.0000,0.2822,0.1483,2.4417,28.7050,2.0424,
8574662_session_1,rest_645_1_rest,0.014,0.104,1.000,0.003,-0.000,0.140,1.279,0.023900,0.063900,0.028500,0.109100,0.031500,0.179800,0.000326,0.001004,0.000185,-0.000617,0.000344,-0.000773,0.164900,0.494000,0.097200,0.494800,0.172300,0.376600,0.078476,0.218380,0.038641,0.163325,0.075254,0.122657,0.0626,5.0000,0.2502,0.1263,0.5549,27.2474,1.9751,
8735778_session_1,rest_645_1_rest,0.047,0.288,78.000,0.013,-0.003,0.454,3.236,0.036300,0.599800,0.052100,0.337700,0.022100,0.432800,0.000166,-0.002191,-0.000055,-0.000372,-0.000117,-0.000832,0.093400,1.871000,0.089100,0.462700,0.086600,0.572000,0.034745,0.292961,0.021083,0.137105,0.018045,0.134070,0.1562,191.0000,0.3952,0.2426,21.1987,33.8350,4.5676,
9630905_session_1,rest_645_1_rest,0.032,0.214,12.000,0.008,0.002,0.328,2.856,0.051200,0.130900,0.115000,0.278600,0.041700,0.249900,-0.000103,-0.000878,0.000291,0.001689,-0.000012,-0.000238,0.102800,0.956200,0.349100,1.398500,0.106500,0.256000,0.025619,0.205577,0.074670,0.418197,0.023111,0.069997,0.1137,55.0000,0.3373,0.1894,6.1043,30.0309,3.6611,
1427581_session_2,rest_645_1_rest,0.019,0.173,3.000,0.004,-0.000,0.292,1.333,0.024700,0.141400,0.060400,0.223000,0.038400,0.284500,0.000039,0.000982,-0.000207,-0.000532,-0.000047,-0.000077,0.055600,0.640200,0.126700,0.381800,0.050400,0.211500,0.018350,0.303344,0.053872,0.204490,0.017455,0.038430,0.0833,8.0000,0.2887,0.1369,0.8889,23.2391,3.0366,
1793622_session_2,rest_645_1_rest,0.053,0.517,148.000,0.007,-0.000,0.967,1.407,0.052400,0.366200,0.119200,0.842800,0.085300,0.261600,0.000074,0.000142,0.000017,-0.000406,0.000062,-0.000009,0.096300,0.405700,0.133700,0.715700,0.107400,0.167700,0.028625,0.047706,0.023460,0.135866,0.023404,0.026727,0.1266,165.0000,0.3558,0.2681,18.3333,32.9574,4.0728,
1961098_session_2,rest_645_1_rest,0.036,0.248,23.000,0.008,-0.000,0.863,1.772,0.278800,0.529500,0.171000,0.271900,0.052100,0.296500,0.000056,-0.000216,0.000071,-0.000113,0.000064,-0.000080,0.312000,0.729200,0.394000,0.620300,0.159500,0.380500,0.041717,0.184107,0.062004,0.101234,0.026488,0.068916,0.1137,62.0000,0.3372,0.2065,6.8889,27.5729,3.2632,
2475376_session_2,rest_645_1_rest,0.025,0.144,4.000,0.006,0.000,0.408,0.796,0.032000,0.204000,0.037500,0.167500,0.063200,0.125900,-0.000065,0.000177,0.000099,-0.000761,0.000024,-0.000033,0.059800,0.298800,0.091400,0.527800,0.073900,0.223100,0.021960,0.049797,0.030162,0.171035,0.023434,0.051773,0.0846,13.0000,0.2909,0.1449,1.4428,26.7827,2.3220,
2799329_session_2,rest_645_1_rest,0.056,0.677,136.000,0.019,-0.000,2.197,2.626,0.085700,0.991300,0.250900,0.931500,0.161700,0.384900,0.000121,0.000315,0.000194,-0.000395,0.000174,-0.000302,0.127200,0.997800,0.332000,1.111800,0.202400,0.395100,0.020582,0.150727,0.112578,0.177957,0.068623,0.072912,0.2011,260.0000,0.4485,0.4960,28.8568,31.8559,5.2275,
2842950_session_2,rest_645_1_rest,0.048,0.416,119.000,0.007,-0.001,0.524,1.168,0.193900,0.326000,0.167800,0.421400,0.130600,0.521800,0.000053,-0.000511,-0.000198,-0.000034,-0.000073,-0.000081,0.328000,0.454700,0.241500,0.659000,0.361800,0.542100,0.016386,0.083814,0.040920,0.097991,0.031049,0.041488,0.1254,179.0000,0.3541,0.2545,19.8668,34.3646,4.3164,
