Subject,Scan,Mean_Relative_RMS_Displacement,Max_Relative_RMS_Displacement,Movements_gt_threshold,Mean_Relative_Mean_Rotation,Mean_Relative_Maxdisp,Max_Relative_Maxdisp,Max_Abs_Maxdisp,Max_Relative_Roll,Max_Relative_Pitch,Max_Relative_Yaw,Max_Relative_dS-I,Max_Relative_dL-R,Max_Relative_dP-A,Mean_Relative_Roll,Mean_Relative_Pitch,Mean_Relative_Yaw,Mean_Relative_dS-I,Mean_Relative_dL-R,Mean_Relative_dP-A,Max_Abs_Roll,Max_Abs_Pitch,Max_Abs_Yaw,Max_Abs_dS-I,Max_Abs_dL-R,Max_Abs_dP-A,Mean_Abs_Roll,Mean_Abs_Pitch,Mean_Abs_Yaw,Mean_Abs_dS-I,Mean_Abs_dL-R,Mean_Abs_dP-A,MeanFD,NumFD_greater_than_0.20,rootMeanSquareFD,FDquartile(top1/4thFD),PercentFD_greater_than_0.20,MeanDVARS,MeanFD_Jenkinson
0026017_session_4,rest_4_rest,0.023,0.098,0.000,0.006,-0.000,0.165,0.430,0.035300,0.093900,0.040700,0.139400,0.051700,0.080100,-0.000794,0.000682,-0.000597,0.001943,-0.000123,0.000332,0.101200,0.132800,0.095800,0.253500,0.115200,0.208300,0.033390,0.030028,0.043335,0.074137,0.025831,0.063666,0.0986,2.0000,0.3140,0.1485,1.2821,23.7964,2.5866,
0026017_session_3,rest_4_rest,0.021,0.183,2.000,0.007,0.003,0.194,0.746,0.069200,0.099600,0.032900,0.217500,0.082100,0.113600,-0.001427,0.002077,-0.000695,0.002945,-0.001369,0.000525,0.138600,0.242500,0.073600,0.382500,0.159900,0.127100,0.035528,0.047405,0.015928,0.040657,0.046947,0.030656,0.1140,7.0000,0.3376,0.1786,4.4872,26.1692,3.2724,
0026017_session_7,rest_4_rest,0.021,0.075,0.000,0.003,0.001,0.118,0.603,0.065400,0.095400,0.054500,0.117100,0.061500,0.077500,-0.001019,0.001609,0.000038,-0.003131,-0.001331,-0.002138,0.110700,0.141600,0.053200,0.295900,0.162900,0.174600,0.069453,0.070386,0.019715,0.144559,0.090141,0.078941,0.0691,2.0000,0.2628,0.1173,1.2821,23.9337,1.6231,
0026017_session_2,rest_4_rest,0.016,0.065,0.000,0.003,0.000,0.094,0.216,0.041500,0.027900,0.025300,0.090400,0.028600,0.076800,-0.000199,0.000868,-0.000693,-0.000144,-0.000142,0.000072,0.044000,0.085700,0.073100,0.093100,0.068400,0.084100,0.015097,0.042455,0.029954,0.032514,0.034277,0.022549,0.0772,0.0000,0.2778,0.1207,0.0000,24.5443,2.0256,
0026017_session_10,rest_4_rest,0.034,0.264,7.000,0.005,-0.000,0.276,0.462,0.068100,0.051100,0.072200,0.251400,0.053800,0.128300,-0.000058,0.000555,-0.000375,-0.001218,-0.000894,0.001260,0.062600,0.094300,0.056400,0.355700,0.087400,0.221400,0.016638,0.028670,0.024618,0.041856,0.024152,0.054577,0.1125,9.0000,0.3353,0.1758,5.7692,25.0718,3.2554,
0026017_session_1,rest_4_rest,0.033,0.119,4.000,0.004,0.001,0.137,0.260,0.023600,0.035100,0.019100,0.124900,0.029600,0.101200,-0.000575,-0.000309,0.000004,-0.000903,-0.000601,-0.000701,0.077800,0.065400,0.030200,0.122200,0.059500,0.111900,0.036857,0.025805,0.009122,0.036670,0.019348,0.035518,0.1203,12.0000,0.3468,0.1933,7.6923,28.0476,3.8183,
0026017_session_6,rest_4_rest,0.020,0.125,1.000,0.003,-0.000,0.142,0.421,0.027900,0.036300,0.016900,0.080100,0.047000,0.104900,-0.000175,0.001208,-0.000182,-0.001281,-0.000432,-0.000547,0.086600,0.133700,0.032000,0.173100,0.139400,0.170400,0.031598,0.047860,0.011843,0.065619,0.040355,0.030779,0.0723,0.0000,0.2689,0.1125,0.0000,22.8829,1.9704,
0026017_session_5,rest_4_rest,0.026,0.281,3.000,0.006,0.001,0.343,0.541,0.065000,0.051700,0.054900,0.277000,0.059700,0.186900,0.000603,0.000605,-0.000252,-0.001202,0.000890,-0.000001,0.115200,0.097400,0.058500,0.343300,0.132600,0.151300,0.045448,0.022016,0.010234,0.071273,0.057811,0.037594,0.0962,6.0000,0.3101,0.1603,3.8462,24.1153,2.6607,
0026017_session_8,rest_4_rest,0.016,0.118,1.000,0.004,-0.001,0.125,0.523,0.030300,0.066000,0.024600,0.106400,0.050900,0.149900,-0.001258,0.000741,-0.000437,0.000868,-0.002188,0.000009,0.162200,0.102100,0.093900,0.152700,0.228900,0.155500,0.092987,0.020397,0.052329,0.058014,0.143986,0.051190,0.0737,2.0000,0.2714,0.1247,1.2821,23.9523,2.0569,
0026017_session_9,rest_4_rest,0.014,0.076,0.000,0.004,0.001,0.106,0.426,0.024200,0.061100,0.015600,0.113200,0.037700,0.074400,-0.000472,0.002044,-0.000347,-0.000951,-0.000642,0.000181,0.058000,0.190800,0.041600,0.121500,0.077600,0.073300,0.024434,0.078137,0.019491,0.046379,0.041720,0.024532,0.0634,0.0000,0.2518,0.1076,0.0000,24.2050,1.7341,
