Subject,Scan,Mean_Relative_RMS_Displacement,Max_Relative_RMS_Displacement,Movements_gt_threshold,Mean_Relative_Mean_Rotation,Mean_Relative_Maxdisp,Max_Relative_Maxdisp,Max_Abs_Maxdisp,Max_Relative_Roll,Max_Relative_Pitch,Max_Relative_Yaw,Max_Relative_dS-I,Max_Relative_dL-R,Max_Relative_dP-A,Mean_Relative_Roll,Mean_Relative_Pitch,Mean_Relative_Yaw,Mean_Relative_dS-I,Mean_Relative_dL-R,Mean_Relative_dP-A,Max_Abs_Roll,Max_Abs_Pitch,Max_Abs_Yaw,Max_Abs_dS-I,Max_Abs_dL-R,Max_Abs_dP-A,Mean_Abs_Roll,Mean_Abs_Pitch,Mean_Abs_Yaw,Mean_Abs_dS-I,Mean_Abs_dL-R,Mean_Abs_dP-A,MeanFD,NumFD_greater_than_0.20,rootMeanSquareFD,FDquartile(top1/4thFD),PercentFD_greater_than_0.20,MeanDVARS,MeanFD_Jenkinson
0025092_session_1,rest_1_rest,0.035,0.33399999999999996,3.0,0.006,-0.003,0.27699999999999997,0.818,0.0519,0.0606,0.0355,0.3393,0.121,0.0542,-0.001553,-0.00021099999999999998,0.001225,0.0039369999999999995,0.000458,-0.001629,0.2055,0.0982,0.1342,0.6459,0.1197,0.2237,0.08255599999999999,0.02875,0.049058,0.075179,0.017411000000000003,0.066478,0.101,6.0,0.3177,0.1674,3.3149,1.9278,2.6704
0025093_session_1,rest_1_rest,0.013000000000000001,0.122,1.0,0.005,-0.001,0.071,0.36,0.072,0.0291,0.0179,0.0869,0.0473,0.0867,-0.000695,0.000602,0.0005059999999999999,0.000681,0.00061,-0.0008939999999999999,0.1275,0.103,0.0795,0.1708,0.076,0.1768,0.054259,0.036105,0.018106,0.033612,0.021848,0.016472999999999998,0.0563,1.0,0.2372,0.0862,0.5525,2.3632,1.3159
0025094_session_1,rest_1_rest,0.048,0.369,22.0,0.008,-0.004,0.652,1.1640000000000001,0.0986,0.1817,0.0794,0.4359,0.0626,0.1123,9.1e-05,-0.0027489999999999997,0.000475,0.004255,0.000495,-0.000663,0.0772,0.3942,0.1045,0.5906,0.1097,0.1305,0.029796,0.084971,0.018796,0.064661,0.027047,0.038588,0.1523,39.0,0.3903,0.2471,21.547,2.349,4.452
0025095_session_1,rest_1_rest,0.061,1.351,19.0,0.028999999999999998,-0.008,2.877,3.5469999999999997,0.4653,2.1154,0.746,1.5411,0.7567,1.4584,-0.001849,-0.011877,0.004745,0.007548,-0.00278,0.001714,0.5662,1.6966,0.8132,1.4778,0.8192,1.084,0.158646,0.288331,0.142263,0.208475,0.204965,0.151882,0.2698,52.0,0.5194,0.7229,28.7293,2.5672,5.0838
0025096_session_1,rest_1_rest,0.168,2.0069999999999997,75.0,0.11800000000000001,0.004,5.607,7.0360000000000005,2.9168,2.4795,2.974,1.5136,2.3943,1.4339,-0.0032170000000000002,0.0007480000000000001,0.005691,0.010827,0.001142,-0.005533,2.7664,2.4761,2.0092,2.1964,2.5819,1.1038,0.294852,0.557113,0.306209,0.48229700000000003,0.155104,0.332388,0.9457,134.0,0.9725,2.7115,74.0331,3.4263,14.9791
0025097_session_1,rest_1_rest,0.048,0.292,19.0,0.009000000000000001,-0.001,0.38,0.735,0.1172,0.1992,0.0844,0.4127,0.1109,0.1427,-0.001091,-0.0009710000000000001,0.001697,0.000624,0.000469,-0.001051,0.2083,0.2351,0.2862,0.524,0.0684,0.1916,0.090954,0.071024,0.081439,0.136747,0.019444,0.047341,0.1248,19.0,0.3533,0.2555,10.4972,2.6164,3.0901
0025098_session_1,rest_1_rest,0.021,0.43200000000000005,5.0,0.01,-0.001,0.299,0.966,0.0929,0.1482,0.2291,0.3991,0.2121,0.1661,-0.00041500000000000006,-0.002215,0.0014089999999999999,0.000156,0.000537,-0.000659,0.1806,0.5431,0.2917,0.6232,0.1995,0.2593,0.06271399999999999,0.150721,0.043662,0.073025,0.053638,0.031611,0.0986,19.0,0.3139,0.2208,10.4972,2.6034,1.8846
0025099_session_1,rest_1_rest,0.02,0.16399999999999998,2.0,0.006,0.0,0.162,0.6940000000000001,0.0515,0.0443,0.058,0.1938,0.1026,0.0635,-0.000779,0.0016589999999999999,0.0008820000000000001,0.003947,0.000365,-0.002431,0.1161,0.1837,0.104,0.3841,0.1155,0.2255,0.044719,0.085297,0.044199,0.107901,0.047319,0.072189,0.0777,5.0,0.2788,0.1296,2.7624,2.2335,1.8226
0025100_session_1,rest_1_rest,0.012,0.084,0.0,0.006999999999999999,-0.001,0.125,0.537,0.0514,0.0791,0.039,0.1493,0.0631,0.1159,-0.001403,0.001766,-0.001255,-0.000356,-0.000303,-0.0016589999999999999,0.1675,0.2393,0.1159,0.1769,0.0523,0.2383,0.085873,0.09966599999999999,0.047757,0.08396100000000001,0.012033,0.034531,0.0701,1.0,0.2648,0.1163,0.5525,1.9272,1.4169
0025101_session_1,rest_1_rest,0.049,0.44,18.0,0.01,-0.003,0.507,0.972,0.0818,0.2531,0.082,0.4356,0.0955,0.0994,-0.0008089999999999999,0.001485,0.001086,0.00318,9.9e-05,-0.001115,0.1551,0.1697,0.2718,0.595,0.1643,0.1833,0.050301,0.066721,0.049997,0.071732,0.046909,0.022709,0.1688,55.0,0.4109,0.2896,30.3867,2.1492,5.2528
