Subject,Scan,Mean_Relative_RMS_Displacement,Max_Relative_RMS_Displacement,Movements_gt_threshold,Mean_Relative_Mean_Rotation,Mean_Relative_Maxdisp,Max_Relative_Maxdisp,Max_Abs_Maxdisp,Max_Relative_Roll,Max_Relative_Pitch,Max_Relative_Yaw,Max_Relative_dS-I,Max_Relative_dL-R,Max_Relative_dP-A,Mean_Relative_Roll,Mean_Relative_Pitch,Mean_Relative_Yaw,Mean_Relative_dS-I,Mean_Relative_dL-R,Mean_Relative_dP-A,Max_Abs_Roll,Max_Abs_Pitch,Max_Abs_Yaw,Max_Abs_dS-I,Max_Abs_dL-R,Max_Abs_dP-A,Mean_Abs_Roll,Mean_Abs_Pitch,Mean_Abs_Yaw,Mean_Abs_dS-I,Mean_Abs_dL-R,Mean_Abs_dP-A,MeanFD,NumFD_greater_than_0.20,rootMeanSquareFD,FDquartile(top1/4thFD),PercentFD_greater_than_0.20,MeanDVARS,MeanFD_Jenkinson
0025054_session_1,rest_1_rest,0.142,0.665,91.0,0.04,-0.004,0.831,3.7489999999999997,0.1955,0.4754,0.1893,0.8018,0.1758,0.1231,0.00967,-0.006973999999999999,-0.008415,0.018628,0.004640999999999999,-0.004045,0.9734,1.1364,0.923,2.045,0.6205,0.4794,0.439313,0.49851899999999993,0.519174,0.6343489999999999,0.290627,0.127796,0.3636,128.0,0.603,0.6762,70.7182,2.7999,8.8841
0025054_session_2,rest_1_rest,0.086,0.42700000000000005,56.0,0.018000000000000002,-0.006,0.633,2.013,0.0719,0.3274,0.1062,0.5997,0.1058,0.1678,0.000508,-0.0033179999999999998,-0.004006,0.008725,0.00078,-0.0019089999999999999,0.1337,0.751,0.4473,1.138,0.1942,0.2438,0.042449,0.21875799999999998,0.184824,0.250998,0.056729999999999996,0.044552,0.2335,86.0,0.4832,0.4465,47.5138,2.5633,6.0705
0025055_session_1,rest_1_rest,0.013000000000000001,0.325,1.0,0.008,-0.006999999999999999,0.45399999999999996,2.673,0.0516,0.119,0.0923,0.3458,0.0478,0.0871,-0.005452,-0.009959,-0.002374,0.005111,-0.001382,-0.002587,0.5663,1.3066,0.3063,0.5875,0.1481,0.2555,0.253011,0.292134,0.059364,0.088907,0.047659,0.062682,0.0625,3.0,0.2499,0.1162,1.6575,1.9649,1.1434
0025055_session_2,rest_1_rest,0.016,0.309,2.0,0.006999999999999999,-0.006,0.252,1.73,0.0919,0.138,0.0652,0.3672,0.0529,0.2432,-0.004958,0.002629,-0.001261,0.005084,-0.002316,-0.003913000000000001,0.7073,0.3632,0.2049,0.7219,0.2972,0.5592,0.255764,0.167571,0.046757,0.12093599999999999,0.101491,0.190359,0.0673,3.0,0.2594,0.1314,1.6575,2.0177,1.2589
0025056_session_1,rest_1_rest,0.027000000000000003,0.249,2.0,0.004,-0.002,0.319,0.7979999999999999,0.0836,0.1087,0.0327,0.1991,0.0614,0.1512,-0.000266,0.001469,0.0007509999999999999,0.0038759999999999997,-0.00034700000000000003,-0.002523,0.0862,0.1809,0.1193,0.5131,0.0818,0.3287,0.032344,0.071497,0.037814,0.082997,0.019652,0.050509,0.0836,4.0,0.2892,0.1302,2.2099,2.1182,2.0681
0025056_session_2,rest_1_rest,0.031,0.33,6.0,0.011000000000000001,0.0,1.295,1.59,0.9536,0.2431,0.3957,0.4038,0.0755,0.4058,0.002018,-0.00023500000000000002,0.0021420000000000002,0.0028420000000000003,-0.00019099999999999998,-0.002858,0.8625,0.2461,0.4225,0.3245,0.1252,0.3577,0.163384,0.052033,0.133691,0.089613,0.039594,0.12923900000000002,0.1109,14.0,0.3331,0.2337,7.7348,2.2243,2.4144
0025057_session_1,rest_1_rest,0.021,0.215,1.0,0.005,-0.003,0.185,1.002,0.092,0.0656,0.0355,0.2074,0.0721,0.082,-0.001351,-0.001472,0.0014140000000000001,0.003076,-0.0017670000000000001,-0.001956,0.2106,0.3198,0.1698,0.4244,0.1855,0.2408,0.091163,0.046096,0.049477999999999994,0.056494,0.093087,0.046801999999999996,0.0705,1.0,0.2656,0.1142,0.5525,2.1948,1.4875
0025057_session_2,rest_1_rest,0.023,0.345,3.0,0.013000000000000001,0.001,0.9570000000000001,1.114,0.25,0.535,0.1413,0.2387,0.1517,0.2401,-0.004789,0.000551,-0.0015400000000000001,0.0021609999999999997,-0.001974,-0.002171,0.5501,0.491,0.1621,0.3399,0.2717,0.2991,0.242294,0.120354,0.068884,0.056137,0.118702,0.08218099999999999,0.0992,5.0,0.315,0.1878,2.7624,2.263,1.878
0025058_session_1,rest_1_rest,0.012,0.066,0.0,0.009000000000000001,-0.003,0.509,1.2309999999999999,0.0652,0.3606,0.0865,0.0759,0.0616,0.0547,-0.000893,0.005412,-0.000213,0.001544,5.4000000000000005e-05,-0.003401,0.1298,0.6845,0.1377,0.1497,0.0789,0.3885,0.03792,0.180805,0.052717999999999994,0.047519,0.028866000000000003,0.095305,0.0768,5.0,0.2771,0.1492,2.7624,1.9756,1.1567
0025058_session_2,rest_1_rest,0.059000000000000004,0.392,33.0,0.013000000000000001,-0.0,0.561,1.003,0.0896,0.1872,0.1836,0.3975,0.1425,0.1562,-0.001194,0.003005,-0.001153,0.001913,-0.001402,-0.0034200000000000003,0.2014,0.3353,0.1981,0.6126,0.178,0.3707,0.068854,0.149419,0.062054,0.140719,0.060092999999999994,0.117209,0.177,56.0,0.4207,0.3779,30.9392,2.2186,4.4989
0025059_session_1,rest_1_rest,0.024,0.095,0.0,0.006999999999999999,-0.001,0.11900000000000001,0.429,0.069,0.0857,0.0665,0.123,0.0467,0.0788,-0.000468,-0.000164,-0.000701,0.001784,0.001263,-0.00146,0.0903,0.1706,0.0911,0.2232,0.1748,0.1427,0.032452999999999996,0.028576,0.029554,0.05715800000000001,0.039448000000000004,0.054876,0.0843,5.0,0.2903,0.1421,2.7624,2.4537,1.9621
0025059_session_2,rest_1_rest,0.03,0.21600000000000003,11.0,0.013000000000000001,0.003,0.5329999999999999,1.213,0.1359,0.3216,0.2055,0.1838,0.0727,0.205,0.0016489999999999999,-0.002006,0.001961,-0.0049960000000000004,0.001127,-0.000678,0.3348,0.4042,0.3785,0.6618,0.241,0.3561,0.08795900000000001,0.111969,0.140067,0.23955700000000002,0.09814099999999999,0.07244600000000001,0.1284,28.0,0.3583,0.2643,15.4696,2.6028,2.3699
0025060_session_1,rest_1_rest,0.017,0.19399999999999998,2.0,0.006999999999999999,-0.001,0.31,0.452,0.0827,0.1338,0.0746,0.1585,0.0864,0.1093,-4.4e-05,0.001813,0.000121,-0.0008939999999999999,0.000701,-0.0017809999999999998,0.0856,0.1998,0.0785,0.2577,0.1165,0.2193,0.022074,0.060131,0.027025999999999998,0.05044,0.06245800000000001,0.060153,0.0753,12.0,0.2744,0.1601,6.6298,2.2745,1.5449
0025060_session_2,rest_1_rest,0.018000000000000002,0.455,3.0,0.005,-0.0,0.929,1.2930000000000001,0.0433,0.3548,0.0536,0.3792,0.1169,0.2313,-0.000784,0.000215,-0.00046100000000000004,-0.001097,-7.6e-05,-0.000917,0.0993,0.4726,0.0826,0.4945,0.1178,0.3213,0.044594,0.027960000000000002,0.012138,0.064122,0.017800999999999997,0.022271,0.063,4.0,0.251,0.1281,2.2099,2.2385,1.4096
0025061_session_1,rest_1_rest,0.027999999999999997,0.23199999999999998,6.0,0.006,0.001,0.368,1.906,0.0647,0.1254,0.0417,0.2143,0.0464,0.105,-0.002627,0.004713,0.00175,0.010077,0.001184,-0.006878,0.2858,0.5038,0.1966,0.9124,0.1729,0.6609,0.143499,0.13566,0.071028,0.318904,0.06626699999999999,0.234067,0.0817,7.0,0.2858,0.1532,3.8674,2.7651,1.9822
0025061_session_2,rest_1_rest,0.013000000000000001,0.21,1.0,0.006,-0.002,0.23800000000000002,1.2229999999999999,0.0402,0.1024,0.0394,0.172,0.0683,0.119,0.000512,0.004806,0.001415,0.002017,-0.000491,-0.001754,0.0993,0.4995,0.1442,0.2781,0.0777,0.251,0.031793,0.204406,0.048461000000000004,0.022381,0.019938,0.025223,0.059,2.0,0.2429,0.0955,1.105,1.9514,1.1957
0025062_session_1,rest_1_rest,0.019,0.11900000000000001,1.0,0.005,-0.001,0.087,0.303,0.0643,0.0415,0.0446,0.1301,0.0894,0.1244,-0.0005690000000000001,0.00011499999999999999,0.000717,-0.000354,2.4e-05,-0.001426,0.1164,0.0693,0.1263,0.1395,0.0796,0.2205,0.052993,0.016259,0.038807999999999995,0.055829,0.013590000000000001,0.014606000000000001,0.0738,3.0,0.2716,0.1188,1.6575,2.3672,1.6091
0025063_session_1,rest_1_rest,0.141,1.475,68.0,0.044000000000000004,-0.022000000000000002,4.209,5.78,0.3703,2.146,0.7626,1.7198,0.2754,0.562,0.002193,-0.002231,4.9e-05,-0.033723,0.002594,0.011984999999999999,0.4214,2.2519,0.6927,5.1084,0.4296,1.674,0.081714,0.691595,0.11936500000000001,1.047418,0.055547000000000006,0.290116,0.4845,100.0,0.6961,1.3382,55.2486,3.5183,9.9175
0025064_session_1,rest_1_rest,0.039,0.36200000000000004,16.0,0.012,-0.0,0.63,0.8290000000000001,0.0891,0.3191,0.151,0.6042,0.1697,0.2296,-0.0009880000000000002,0.000534,-0.000458,0.003312,0.000273,-0.002341,0.1583,0.2843,0.1902,0.4588,0.179,0.2729,0.052071000000000006,0.081841,0.041106000000000004,0.107293,0.037933,0.057823,0.1539,39.0,0.3924,0.3306,21.547,2.1163,3.3486
0025065_session_1,rest_1_rest,0.040999999999999995,0.32299999999999995,14.0,0.009000000000000001,-0.001,0.17,0.7290000000000001,0.0666,0.118,0.0638,0.4036,0.1196,0.1185,-0.0008900000000000001,0.000575,0.000109,0.0016769999999999999,-0.000294,-0.0018030000000000001,0.1804,0.1987,0.0743,0.4,0.1232,0.2564,0.06788999999999999,0.049083,0.02101,0.102447,0.021506,0.04759,0.1244,30.0,0.3528,0.2372,16.5746,2.318,3.1023
0025066_session_1,rest_1_rest,0.027000000000000003,0.425,11.0,0.012,0.001,0.423,0.8079999999999999,0.1821,0.1768,0.1874,0.4837,0.2282,0.2979,-0.00036,0.0033829999999999997,0.001353,0.0009339999999999999,0.000245,-0.002064,0.1413,0.4495,0.168,0.5226,0.2144,0.3378,0.034838,0.27928400000000003,0.065812,0.072863,0.031829,0.118164,0.1315,27.0,0.3626,0.3223,14.9171,2.4144,2.6347
0025067_session_1,rest_1_rest,0.013999999999999999,0.094,0.0,0.006999999999999999,-0.002,0.22,0.645,0.0584,0.2259,0.0403,0.1593,0.0479,0.079,-0.00065,0.002628,-0.000852,-0.000685,0.000131,-0.0013830000000000001,0.0964,0.349,0.1293,0.1576,0.0538,0.1852,0.037154,0.134546,0.039977,0.075424,0.024011,0.026930000000000003,0.0622,5.0,0.2493,0.1192,2.7624,2.4877,1.2046
0025068_session_1,rest_1_rest,0.021,0.076,0.0,0.01,-0.001,0.16399999999999998,0.426,0.0575,0.1142,0.1006,0.0541,0.086,0.0985,-0.000722,0.001281,-0.00045,-0.0015890000000000001,0.000398,-0.0009400000000000001,0.1255,0.2083,0.0835,0.1923,0.1102,0.178,0.044663,0.08075700000000001,0.028781,0.092195,0.045284,0.012841,0.0972,6.0,0.3118,0.1592,3.3149,2.1644,1.5844
0025069_session_1,rest_1_rest,0.055,0.45799999999999996,24.0,0.02,0.009000000000000001,1.7169999999999999,3.3710000000000004,0.0961,0.8002,0.3489,0.481,0.1,0.16,-0.0012439999999999999,0.004265,0.002114,-0.0038740000000000003,-0.001448,-0.002241,0.2121,1.3776,0.5774,0.935,0.1908,0.3398,0.070497,0.080342,0.056813999999999996,0.121824,0.046370999999999996,0.079572,0.2122,69.0,0.4606,0.4272,38.1215,2.3917,4.6553
0025070_session_1,rest_1_rest,0.023,0.29100000000000004,6.0,0.008,0.001,0.29100000000000004,0.71,0.0576,0.1144,0.0683,0.3205,0.1009,0.1246,-0.000263,0.001215,0.001533,0.00037999999999999997,0.00093,-0.00252,0.168,0.2533,0.2206,0.3538,0.2599,0.3051,0.06676900000000001,0.113936,0.08539400000000001,0.082896,0.07685299999999999,0.100662,0.0999,21.0,0.316,0.2127,11.6022,2.1748,2.0987
0025071_session_1,rest_1_rest,0.02,0.08199999999999999,0.0,0.009000000000000001,0.001,0.158,0.784,0.0602,0.1173,0.07,0.1556,0.073,0.1254,0.001775,0.000993,0.00234,-0.001292,0.002301,-0.0029460000000000003,0.22,0.1379,0.3139,0.1903,0.2549,0.3364,0.068236,0.053804,0.11909700000000001,0.054701,0.09273200000000001,0.101404,0.123,22.0,0.3507,0.2114,12.1547,2.1442,2.8933
0025072_session_1,rest_1_rest,0.040999999999999995,0.46299999999999997,13.0,0.009000000000000001,-0.006,0.42,1.66,0.1027,0.2057,0.2048,0.4317,0.1611,0.2361,-0.0016719999999999999,-0.003622,-0.001482,0.004272,3.3e-05,-0.0036609999999999998,0.2309,0.4589,0.2841,0.6515,0.2241,0.4809,0.089496,0.11870399999999999,0.078627,0.155654,0.046577,0.127159,0.1535,44.0,0.3917,0.3282,24.3094,2.2434,3.7017
0025073_session_1,rest_1_rest,0.083,0.35700000000000004,54.0,0.018000000000000002,0.005,0.588,2.785,0.2232,0.1669,0.1812,0.3897,0.3018,0.2253,-0.007277,-0.004104,0.008656,-0.006885,-0.002561,-0.00014,0.7647,0.7018,0.9917,0.8295,0.408,0.2755,0.41806899999999997,0.337913,0.575775,0.32862199999999997,0.12486099999999999,0.060644,0.2314,76.0,0.4811,0.4506,41.989,2.3873,6.2191
0025074_session_1,rest_1_rest,0.064,0.486,27.0,0.040999999999999995,-0.006999999999999999,2.862,4.9510000000000005,0.3451,1.852,0.2573,0.3485,0.1399,0.5751,-0.0036659999999999996,-0.00581,-0.00020899999999999998,-0.010768000000000002,-0.000925,0.004083,0.5744,2.8839,0.3672,1.3527,0.2074,0.9696,0.22579200000000002,0.6911390000000001,0.09905800000000001,0.636935,0.042864,0.32197800000000004,0.2737,63.0,0.5232,0.7359,34.8066,2.4956,4.1225
0025075_session_1,rest_1_rest,0.016,0.134,2.0,0.008,-0.002,0.24600000000000002,0.831,0.0688,0.1087,0.0902,0.172,0.1337,0.0998,0.001523,0.000185,0.0011,-1.8e-05,0.004232,-0.002649,0.1559,0.1156,0.1583,0.205,0.4652,0.3588,0.055358000000000004,0.034501,0.041688,0.052825,0.21155300000000002,0.085938,0.0858,12.0,0.2929,0.1679,6.6298,2.1851,1.7458
0025076_session_1,rest_1_rest,0.01,0.040999999999999995,0.0,0.006999999999999999,-0.001,0.111,0.47700000000000004,0.0758,0.0846,0.033,0.0679,0.0562,0.0332,0.0014119999999999998,0.002012,0.00048499999999999997,-4e-06,0.000918,-0.0012369999999999998,0.1659,0.2313,0.117,0.0776,0.1449,0.1536,0.038717,0.100837,0.057198,0.024807,0.063037,0.048651,0.0589,0.0,0.2428,0.0929,0.0,2.025,1.1221
0025077_session_1,rest_1_rest,0.052000000000000005,0.26899999999999996,22.0,0.01,-0.002,0.478,1.4280000000000002,0.1526,0.151,0.171,0.2513,0.2258,0.0491,-0.001534,0.000182,-0.0014550000000000001,-0.008011,-0.001234,0.001871,0.245,0.2761,0.2774,1.0427,0.1926,0.2339,0.118478,0.061979,0.071375,0.41256800000000005,0.11271300000000001,0.134407,0.1399,30.0,0.374,0.2709,16.5746,2.0513,3.34
0025078_session_1,rest_1_rest,0.021,0.16899999999999998,1.0,0.009000000000000001,-0.0,0.139,0.561,0.0769,0.0628,0.0536,0.1738,0.0886,0.0811,-0.0018260000000000001,0.001275,-0.000426,-0.001174,-0.001572,-0.001775,0.2112,0.1801,0.0863,0.1677,0.1609,0.2162,0.073989,0.06556100000000001,0.028921,0.04766,0.051671,0.074326,0.1103,8.0,0.3321,0.1796,4.4199,2.2146,2.6424
0025079_session_1,rest_1_rest,0.016,0.079,0.0,0.006,0.001,0.18100000000000002,0.527,0.0718,0.1858,0.0337,0.1219,0.0819,0.0551,-0.001518,-0.001632,-0.001021,0.00011200000000000001,-0.000128,0.0005740000000000001,0.1814,0.2218,0.1098,0.1656,0.0834,0.1116,0.067551,0.130433,0.043501,0.04799,0.026506000000000002,0.026402,0.0702,7.0,0.265,0.1304,3.8674,2.1116,1.4232
0025080_session_1,rest_1_rest,0.008,0.18,1.0,0.004,-0.001,0.11,0.34700000000000003,0.0512,0.0428,0.0372,0.2059,0.0598,0.0755,-0.000655,-0.000227,0.000554,0.0007019999999999999,-0.000732,-0.000584,0.1123,0.0613,0.0719,0.1865,0.1073,0.1069,0.042024,0.011622,0.016011,0.028489999999999998,0.017024,0.008936,0.0478,1.0,0.2186,0.0819,0.5525,1.86,0.9532
0025081_session_1,rest_1_rest,0.032,0.27699999999999997,5.0,0.008,-0.003,0.574,0.983,0.1404,0.1594,0.2407,0.2709,0.1368,0.0997,-0.002984,-0.0007769999999999999,-0.000266,0.002143,-0.000725,-0.001849,0.3278,0.1714,0.2575,0.4763,0.1685,0.2875,0.125661,0.040167,0.023341999999999998,0.054061,0.028243,0.063526,0.1141,11.0,0.3377,0.2027,6.0773,2.0201,2.8895
0025082_session_1,rest_1_rest,0.006999999999999999,0.2,1.0,0.003,-0.0,0.077,0.442,0.0594,0.0379,0.0243,0.2635,0.021,0.0884,-0.001454,0.0012490000000000001,0.00011499999999999999,0.001161,-0.000927,-0.001497,0.1696,0.1393,0.0211,0.2505,0.0963,0.185,0.086637,0.052677,0.007916,0.037935,0.029408,0.029939,0.0364,1.0,0.1908,0.0576,0.5525,1.9156,0.7349
0025083_session_1,rest_1_rest,0.028999999999999998,0.14300000000000002,5.0,0.011000000000000001,0.001,0.327,1.995,0.0468,0.1551,0.0724,0.1517,0.096,0.0471,-0.002149,-0.006989,-0.0028940000000000003,0.004102000000000001,-0.0011,-0.0008560000000000001,0.2466,0.9548,0.3729,0.4767,0.1766,0.1491,0.113469,0.32868,0.140708,0.11195699999999999,0.041411,0.03503,0.0902,11.0,0.3003,0.1678,6.0773,1.9819,1.875
0025084_session_1,rest_1_rest,0.613,7.347,114.0,0.38299999999999995,0.022000000000000002,32.329,42.056000000000004,2.9235,15.3408,2.2457,6.3786,0.8788,4.7749,-0.003518,-0.026923000000000002,-0.004093,0.019008,-0.002778,0.001289,3.5186,18.3113,1.6051,9.7903,0.9359,4.9961,0.354702,2.875607,0.319552,1.559273,0.19610999999999998,0.712622,2.4799,147.0,1.5748,7.6859,81.2155,5.007,26.6773
0025085_session_1,rest_1_rest,0.017,0.154,2.0,0.006,-0.003,0.171,0.813,0.0528,0.1049,0.078,0.1723,0.0939,0.1479,-0.0017399999999999998,0.002288,-0.00025,0.0012980000000000001,-0.0017120000000000002,-0.0021149999999999997,0.2922,0.3047,0.0779,0.2124,0.2216,0.2702,0.073478,0.085272,0.028026,0.051641,0.050572000000000006,0.042443,0.0755,8.0,0.2747,0.1474,4.4199,2.2281,1.6445
0025086_session_1,rest_1_rest,0.075,0.6779999999999999,29.0,0.055999999999999994,0.006,2.63,4.3660000000000005,0.1519,2.558,0.5387,0.9877,0.1769,0.6473,0.000181,-0.0037700000000000003,0.001376,0.0013449999999999998,0.0005740000000000001,-0.001854,0.1475,2.3821,0.8881,0.865,0.2411,0.6937,0.036156,0.44015200000000004,0.111953,0.269201,0.05223,0.13313699999999998,0.386,84.0,0.6213,1.0837,46.4088,2.8675,5.8385
0025087_session_1,rest_1_rest,0.01,0.10400000000000001,1.0,0.005,0.001,0.109,0.782,0.0379,0.0497,0.0381,0.1361,0.044,0.0797,0.0010689999999999999,0.001675,0.002816,0.000188,0.00159,-0.0022660000000000002,0.1558,0.2136,0.2841,0.1808,0.2275,0.2944,0.064388,0.10481700000000001,0.143822,0.047374,0.102993,0.06762,0.0564,1.0,0.2376,0.0933,0.5525,2.2854,1.0655
0025088_session_1,rest_1_rest,0.013000000000000001,0.11,1.0,0.005,-0.001,0.121,0.395,0.0691,0.0622,0.0505,0.2169,0.0393,0.1549,-0.000194,0.001062,0.000625,-0.000117,0.000535,-0.001627,0.0587,0.1212,0.1223,0.1734,0.0809,0.2634,0.016531999999999998,0.03149,0.046162,0.080399,0.044028,0.02265,0.0554,2.0,0.2353,0.0992,1.105,2.0503,1.1284
0025089_session_1,rest_1_rest,0.013999999999999999,0.113,1.0,0.008,-0.001,0.313,0.826,0.0846,0.1828,0.0369,0.1621,0.0473,0.0893,0.000849,0.0036119999999999998,-0.000557,0.00168,-0.0006730000000000001,-0.00212,0.0796,0.3677,0.131,0.3055,0.1148,0.3318,0.030545,0.121359,0.028538,0.109215,0.057349000000000004,0.07054500000000001,0.0705,3.0,0.2655,0.1139,1.6575,2.2406,1.2747
0025090_session_1,rest_1_rest,0.022000000000000002,0.316,1.0,0.006999999999999999,-0.003,0.306,0.742,0.0538,0.0575,0.0572,0.3506,0.0711,0.1217,0.00084,0.001603,0.000454,0.001389,0.0016469999999999998,-0.0008640000000000001,0.1868,0.1776,0.1988,0.3963,0.2136,0.1891,0.053030999999999995,0.090693,0.052608,0.06188300000000001,0.068468,0.021978,0.088,2.0,0.2966,0.1299,1.105,1.8674,1.8252
0025091_session_1,rest_1_rest,0.053,0.344,20.0,0.017,-0.002,1.3730000000000002,1.761,0.087,1.0393,0.169,0.591,0.1566,0.3148,-0.002472,-0.001716,0.001436,0.003781,-0.00062,-0.0020039999999999997,0.3044,0.8468,0.2815,0.5167,0.1916,0.5505,0.127252,0.068307,0.07521900000000001,0.096835,0.033639999999999996,0.07030800000000001,0.1856,46.0,0.4308,0.4102,25.4144,2.2156,4.1603
