Subject,Scan,Mean_Relative_RMS_Displacement,Max_Relative_RMS_Displacement,Movements_gt_threshold,Mean_Relative_Mean_Rotation,Mean_Relative_Maxdisp,Max_Relative_Maxdisp,Max_Abs_Maxdisp,Max_Relative_Roll,Max_Relative_Pitch,Max_Relative_Yaw,Max_Relative_dS-I,Max_Relative_dL-R,Max_Relative_dP-A,Mean_Relative_Roll,Mean_Relative_Pitch,Mean_Relative_Yaw,Mean_Relative_dS-I,Mean_Relative_dL-R,Mean_Relative_dP-A,Max_Abs_Roll,Max_Abs_Pitch,Max_Abs_Yaw,Max_Abs_dS-I,Max_Abs_dL-R,Max_Abs_dP-A,Mean_Abs_Roll,Mean_Abs_Pitch,Mean_Abs_Yaw,Mean_Abs_dS-I,Mean_Abs_dL-R,Mean_Abs_dP-A,MeanFD,NumFD_greater_than_0.20,rootMeanSquareFD,FDquartile(top1/4thFD),PercentFD_greater_than_0.20,MeanDVARS,MeanFD_Jenkinson
0026017_session_4,rest_3_rest,0.023,0.095,0.000,0.007,0.000,0.246,0.393,0.024400,0.162800,0.026900,0.101100,0.031100,0.097900,-0.000830,0.000512,-0.000703,0.000383,-0.000173,0.000206,0.079400,0.204100,0.081500,0.122200,0.079600,0.111000,0.030403,0.063888,0.025625,0.039413,0.023741,0.032941,0.0986,3.0000,0.3139,0.1509,1.9231,24.1129,2.6771,
0026017_session_3,rest_3_rest,0.027,0.140,2.000,0.007,-0.002,0.196,0.642,0.065400,0.106300,0.060700,0.139000,0.057600,0.139300,-0.000818,0.000192,-0.000821,-0.003287,-0.000743,-0.000787,0.094600,0.134400,0.107700,0.499100,0.123500,0.146200,0.043007,0.023472,0.036565,0.147437,0.047142,0.037221,0.1151,11.0000,0.3392,0.1830,7.0513,26.2707,3.3258,
0026017_session_7,rest_3_rest,0.018,0.106,1.000,0.006,0.000,0.120,0.378,0.027900,0.068100,0.035600,0.100000,0.056200,0.125000,-0.000146,0.000594,-0.001569,-0.000473,-0.000681,-0.000284,0.060200,0.097500,0.167100,0.118000,0.119400,0.106200,0.018357,0.051025,0.059240,0.035680,0.027943,0.023060,0.0731,3.0000,0.2703,0.1183,1.9231,24.1668,1.7938,
0026017_session_2,rest_3_rest,0.027,0.109,1.000,0.004,-0.000,0.108,0.359,0.030700,0.056900,0.037900,0.224200,0.038600,0.111900,-0.000330,0.000669,-0.000619,-0.001259,-0.000362,-0.001121,0.066600,0.106300,0.080900,0.175900,0.079000,0.140100,0.031421,0.035234,0.034832,0.083319,0.037135,0.065467,0.0719,1.0000,0.2681,0.1188,0.6410,24.7880,1.8973,
0026017_session_10,rest_3_rest,0.023,0.125,2.000,0.007,-0.000,0.175,0.386,0.038300,0.064200,0.027900,0.197000,0.049500,0.143100,0.000314,0.001691,0.000390,-0.000632,0.000254,-0.000129,0.079800,0.155000,0.066100,0.197800,0.101700,0.100400,0.025411,0.076637,0.024319,0.081846,0.034663,0.031912,0.1112,5.0000,0.3335,0.1699,3.2051,24.6923,3.1577,
0026017_session_1,rest_3_rest,0.037,0.152,7.000,0.009,0.000,0.292,0.931,0.151800,0.114700,0.093100,0.126600,0.144700,0.218500,0.000824,0.002599,0.000100,0.000200,-0.000610,0.001090,0.200200,0.333200,0.154000,0.406800,0.205400,0.217700,0.033363,0.138442,0.035463,0.083346,0.039038,0.044590,0.1119,13.0000,0.3346,0.2068,8.3333,26.9670,3.0649,
0026017_session_6,rest_3_rest,0.024,0.082,0.000,0.004,0.001,0.119,0.519,0.033200,0.057500,0.030000,0.097900,0.080600,0.103800,-0.000740,0.001923,-0.000541,-0.001710,-0.001084,-0.000868,0.077100,0.205000,0.048700,0.192400,0.115400,0.156000,0.030750,0.092666,0.016561,0.112894,0.045502,0.052630,0.0742,3.0000,0.2724,0.1173,1.9231,22.5446,1.9932,
0026017_session_5,rest_3_rest,0.025,0.222,2.000,0.005,-0.000,0.278,0.349,0.073900,0.064800,0.024300,0.257500,0.045200,0.137300,-0.000234,0.000571,-0.000269,-0.001871,-0.000358,-0.001095,0.081200,0.068700,0.050200,0.266700,0.098400,0.149300,0.030486,0.027809,0.013333,0.083380,0.037142,0.050529,0.0977,4.0000,0.3126,0.1473,2.5641,24.0524,2.6032,
0026017_session_8,rest_3_rest,0.017,0.092,0.000,0.003,-0.001,0.123,0.386,0.037400,0.136300,0.040200,0.180200,0.059600,0.085200,-0.000253,0.000962,-0.001142,-0.001017,0.000160,-0.000088,0.044000,0.141900,0.117900,0.159100,0.060400,0.073600,0.012152,0.054418,0.048851,0.044383,0.016705,0.025440,0.0665,4.0000,0.2579,0.1187,2.5641,23.9813,1.8208,
0026017_session_9,rest_3_rest,0.019,0.081,0.000,0.002,0.001,0.116,0.309,0.027800,0.035900,0.011300,0.098600,0.032800,0.076100,-0.000416,0.000818,-0.000108,-0.000940,-0.000779,-0.000452,0.043500,0.106200,0.026200,0.180300,0.071700,0.070800,0.014448,0.044912,0.007367,0.061643,0.021406,0.022426,0.0616,0.0000,0.2483,0.1035,0.0000,23.8539,1.7831,
