,dvars,fd,outlier,quality,scan,session,subject
0,1.2199154970784496,,0.0021410000000000005,0.013645128166666668,5,1,0025335
1,1.1953776939264966,,0.004270833333333338,0.013505867555555558,5,1,0025336
2,1.0720488069294067,,0.0014580555555555558,0.014092316222222226,5,1,0025337
3,1.2203628541790548,,0.002458388888888889,0.009603899888888885,5,1,0025338
4,1.2102178446382352,,0.0013324999999999995,0.009400382666666667,5,1,0025339
5,1.2006131698425986,,0.00817188888888889,0.01434485588888889,5,1,0025340
6,1.226773057289736,,0.0017120555555555552,0.010486407388888891,5,1,0025341
7,1.16695269211977,,0.003219666666666664,0.012962303222222226,5,1,0025342
8,1.1245461053669281,,0.0016187222222222224,0.013011222722222222,5,1,0025343
9,1.0613188010229917,,0.01364905555555556,0.031939151277777765,5,1,0025344
10,1.1895688877479358,,0.0012486111111111105,0.01640321905555555,5,1,0025345
11,1.3208391124900343,,0.0037292222222222227,0.012320881999999998,5,1,0025346
12,1.3131376032228839,,0.022701666666666658,0.017607327777777775,5,1,0025347
13,1.4445685171764153,,0.03087072222222224,0.02329923550000003,5,1,0025348
14,1.2243647572610525,,0.003942666666666666,0.010273231222222226,5,1,0025349
15,1.106442936183493,,0.0014996111111111117,0.021044898944444432,5,1,0025350
16,1.272468096383756,,0.009511111111111118,0.01185952661111111,5,1,0025351
17,1.183012617744486,,0.0033721111111111183,0.012520518388888891,5,1,0025352
18,1.1973426896663506,,0.0011885000000000003,0.007432812222222222,5,1,0025353
19,1.1639225718571364,,0.005246833333333335,0.01135152672222222,5,1,0025354
20,1.2284566381949698,,0.003903444444444448,0.012443881388888887,5,1,0025355
21,1.2081703439612324,,0.007540444444444446,0.0174698175,5,1,0025356
22,1.1521396810047861,,0.0008183888888888887,0.009417050944444444,5,1,0025357
23,1.2619656244450794,,0.008578777777777788,0.012352059111111115,5,1,0025358
24,1.208494613162926,,0.014968722222222229,0.02733009316666666,5,1,0025359
25,1.2353005051743544,,0.01683861111111111,0.021789613722222226,5,1,0025360
26,1.1812374811072102,,0.016340500000000008,0.02693081533333335,5,1,0025361
27,1.0819485371564568,,0.0006469032258064521,0.006569933032258068,5,1,0026017
