uid,falff_50,falff_75,falff_90,falff_fwhm,falff_mean,reho_50,reho_75,reho_90,reho_fwhm,reho_mean,vmhc_50,vmhc_75,vmhc_90,vmhc_fwhm,vmhc_mean,site_x,tr,Subject,Scan,Mean_Relative_RMS_Displacement,Max_Relative_RMS_Displacement,Movements_gt_threshold,Mean_Relative_Mean_Rotation,Mean_Relative_Maxdisp,Max_Relative_Maxdisp,Max_Abs_Maxdisp,Max_Relative_Roll,Max_Relative_Pitch,Max_Relative_Yaw,Max_Relative_dS-I,Max_Relative_dL-R,Max_Relative_dP-A,Mean_Relative_Roll,Mean_Relative_Pitch,Mean_Relative_Yaw,Mean_Relative_dS-I,Mean_Relative_dL-R,Mean_Relative_dP-A,Max_Abs_Roll,Max_Abs_Pitch,Max_Abs_Yaw,Max_Abs_dS-I,Max_Abs_dL-R,Max_Abs_dP-A,Mean_Abs_Roll,Mean_Abs_Pitch,Mean_Abs_Yaw,Mean_Abs_dS-I,Mean_Abs_dL-R,Mean_Abs_dP-A,MeanFD,NumFD_greater_than_0.20,rootMeanSquareFD,FDquartile(top1/4thFD),PercentFD_greater_than_0.20,MeanDVARS,MeanFD_Jenkinson,site_y
0025023_session_1_scan_rest_2_rest,0.6050923082511872,0.6431266819126904,0.6777033852413297,3.27363,0.6082287490355811,0.08311231806874275,0.11873433366417885,0.16292279213666916,10.727,0.09674341976642607,0.2342366725206375,0.4032917022705078,0.5734630823135374,6.30121,0.2579134404659271,NYU_2,2000,0025023_session_1,rest_2_rest,0.015,0.121,1.0,0.005,0.001,0.071,0.447,0.0524,0.0531,0.0264,0.1694,0.0296,0.09,-0.001226,-0.000816,-0.000192,0.00032,0.00035800000000000003,-0.000298,0.1476,0.2182,0.0553,0.1265,0.0416,0.1298,0.078959,0.056228,0.0145,0.032362,0.015441,0.024548,0.0589,1.0,0.2426,0.0991,0.5525,2.0608,1.236,NYU_2
0025023_session_1_scan_rest_1_rest,0.608767909463495,0.6429683538153768,0.6737487537320703,3.01324,0.6103286573457246,0.07659933716058731,0.107577258720994,0.14816662520170215,10.325999999999999,0.08875739574432373,0.2090110182762146,0.37798553705215454,0.5582563281059265,6.17478,0.2408839464187622,NYU_2,2000,0025023_session_1,rest_1_rest,0.014,0.219,1.0,0.005,-0.004,0.243,1.133,0.0681,0.0553,0.0328,0.2272,0.0378,0.07400000000000001,-0.000145,-0.003772,0.000766,0.002119,0.000646,4.3e-05,0.0755,0.4733,0.1049,0.3568,0.0997,0.11199999999999999,0.026637,0.13816099999999998,0.038524,0.026051,0.027693,0.029459,0.0679,1.0,0.2606,0.1142,0.5525,2.2491,1.5079,NYU_2
0025023_session_3_scan_rest_2_rest,0.6029937097337097,0.6382564997766167,0.6770455688238144,3.3298900000000002,0.6041677969094507,0.0871531218290329,0.12728378176689148,0.17379985749721535,10.4236,0.10132835805416107,0.2361739426851273,0.419824093580246,0.6186710596084595,6.45135,0.2678612470626831,NYU_2,2000,0025023_session_3,rest_2_rest,0.013,0.223,1.0,0.005,0.001,0.206,0.568,0.0704,0.1323,0.0746,0.1951,0.0787,0.115,-0.000682,-0.0016170000000000002,0.000207,0.002048,6.3e-05,-0.001142,0.1348,0.254,0.1142,0.2708,0.1272,0.2052,0.052640999999999986,0.09764,0.017968,0.039082,0.012363,0.015019,0.0528,3.0,0.2298,0.095,1.6575,2.2138,1.0125,NYU_2
0025023_session_3_scan_rest_1_rest,0.6054623080417514,0.6396692181006074,0.677296819165349,3.266,0.6076350606945792,0.0891091376543045,0.12984132021665573,0.1808735728263855,10.6223,0.10413443297147752,0.2563366293907165,0.4379434883594513,0.6110697984695435,6.23608,0.2779919505119324,NYU_2,2000,0025023_session_3,rest_1_rest,0.018000000000000002,0.068,0.0,0.006,-0.002,0.177,1.037,0.0579,0.0715,0.0402,0.1615,0.033,0.0907,-0.002511,-0.003012,0.0022600000000000003,8e-05,0.000697,-5.8e-05,0.2872,0.4241,0.303,0.1775,0.1217,0.1245,0.110481,0.121514,0.10361,0.061584,0.042414,0.035653,0.0608,1.0,0.2466,0.1008,0.5525,2.3744,1.26,NYU_2
0025024_session_2_scan_rest_1_rest,0.6167963948100805,0.6542812585830688,0.6951738372445107,3.34277,0.6205184300187037,0.1240377463400364,0.17283479124307632,0.2250592738389969,10.1773,0.13534273207187653,0.4283454418182373,0.6059866547584534,0.7463747262954712,6.44956,0.4006859958171845,NYU_2,2000,0025024_session_2,rest_1_rest,0.035,0.465,12.0,0.037000000000000005,0.006,3.751,5.195,3.0533,0.9834,1.3332,0.4054,0.7693,0.207,0.015124,0.0008349999999999999,-0.007359,0.001738,0.002062,-0.000198,2.7551,1.26,1.391,0.5084,0.6617,0.265,1.154651,0.145125,0.479293,0.202061,0.152479,0.041127,0.2417,36.0,0.4916,0.7122,19.8895,2.4208,3.0948,NYU_2
0025024_session_2_scan_rest_2_rest,0.6202962843235582,0.6605317189823836,0.6974142007529736,3.41575,0.6223272581577131,0.13939090073108673,0.18716201931238172,0.23494457900524135,9.78047,0.1466091275215149,0.4531379640102386,0.6349043846130371,0.7735540866851807,6.60256,0.4238276779651642,NYU_2,2000,0025024_session_2,rest_2_rest,0.103,0.64,61.0,0.035,0.006999999999999999,1.364,3.153,1.3224,1.1269,0.4435,0.8375,0.3584,0.3664,0.0076799999999999985,-0.003588,-0.000304,-0.006167,0.001959,0.003295,1.3098,1.2491,0.5857,1.0456,0.4862,0.6796,0.414751,0.435645,0.108089,0.5079229999999999,0.13175599999999998,0.329856,0.369,98.0,0.6075,0.9332,54.1436,2.4554,6.525,NYU_2
0025025_session_2_scan_rest_1_rest,0.6021063891239464,0.6410662143025547,0.680026039481163,3.5530199999999996,0.6049593480222037,0.09329748898744583,0.13720396161079407,0.1891000479459763,10.7129,0.10883176326751708,0.2842986583709717,0.4672935903072357,0.6401930451393127,6.48053,0.3000670969486237,NYU_2,2000,0025025_session_2,rest_1_rest,0.02,0.478,1.0,0.008,-0.003,0.469,0.913,0.0852,0.1718,0.0445,0.4454,0.0629,0.1898,-0.001121,-0.001892,0.001154,0.002595,0.000478,-0.001347,0.1362,0.2373,0.1351,0.4854,0.0845,0.2476,0.063301,0.049286,0.040231,0.053194000000000005,0.020229,0.014574,0.0834,8.0,0.2888,0.1618,4.4199,2.2711,1.5988,NYU_2
0025025_session_2_scan_rest_2_rest,0.6233123329002409,0.6641852727625519,0.7050582126248628,3.6823900000000003,0.6269069876044732,0.09953631833195686,0.14846593514084816,0.2003569662570953,10.7506,0.11498605459928513,0.3398302793502808,0.5406839847564697,0.7070883274078371,6.40988,0.34564128518104553,NYU_2,2000,0025025_session_2,rest_2_rest,0.021,0.388,3.0,0.021,-0.005,3.096,3.678,0.1584,1.8071,0.0775,0.5194,0.1191,0.2721,-0.000547,0.006476000000000001,-0.000957,0.000802,0.0008960000000000002,-0.002218,0.1413,2.0816,0.1326,0.5654,0.1823,0.34299999999999997,0.040356,0.960276,0.061447,0.248174,0.041893,0.137447,0.1425,25.0,0.3775,0.3576,13.8122,2.115,2.0716,NYU_2
0025026_session_1_scan_rest_1_rest,0.6232612840831279,0.6639087591320276,0.7079435237683356,3.5563300000000004,0.6282935764309648,0.11407867819070815,0.159847192466259,0.20752247869968413,10.0323,0.12577737867832184,0.4108891785144806,0.5877660512924194,0.7307687997817993,6.4299599999999995,0.39254429936409,NYU_2,2000,0025026_session_1,rest_1_rest,0.037000000000000005,0.204,17.0,0.019,-0.002,1.144,1.291,0.1365,0.6429,0.1957,0.4226,0.155,0.1964,-7.6e-05,-0.000759,-0.00148,-0.00092,-0.000301,-0.001212,0.1562,0.6232,0.4249,0.327,0.1914,0.2212,0.035018,0.085172,0.05855700000000001,0.093513,0.019399,0.045772,0.1742,48.0,0.4174,0.4058,26.5193,2.4047,3.0667,NYU_2
0025027_session_1_scan_rest_1_rest,0.6043736175633967,0.6417225489858538,0.6790714804083109,3.3261300000000005,0.6085648570087137,0.08482805639505386,0.1238049939274788,0.16458018124103546,9.99215,0.09757564961910248,0.2967675030231476,0.4995547980070114,0.6770382523536682,6.53934,0.31472495198249817,NYU_2,2000,0025027_session_1,rest_1_rest,0.026,0.25,7.0,0.02,0.002,0.562,3.113,0.0699,0.2922,0.066,0.2496,0.0685,0.1237,-0.002222,-0.011766,-0.000304,0.005383,0.000183,0.001389,0.3579,1.6795,0.1844,0.7083,0.0988,0.4458,0.14540999999999998,0.671763,0.060977,0.168459,0.031787,0.14786400000000002,0.1369,30.0,0.37,0.2841,16.5746,2.0027,2.4782,NYU_2
