uid,falff_50,falff_75,falff_90,falff_fwhm,falff_mean,reho_50,reho_75,reho_90,reho_fwhm,reho_mean,vmhc_50,vmhc_75,vmhc_90,vmhc_fwhm,vmhc_mean,site_x,tr,Subject,Scan,Mean_Relative_RMS_Displacement,Max_Relative_RMS_Displacement,Movements_gt_threshold,Mean_Relative_Mean_Rotation,Mean_Relative_Maxdisp,Max_Relative_Maxdisp,Max_Abs_Maxdisp,Max_Relative_Roll,Max_Relative_Pitch,Max_Relative_Yaw,Max_Relative_dS-I,Max_Relative_dL-R,Max_Relative_dP-A,Mean_Relative_Roll,Mean_Relative_Pitch,Mean_Relative_Yaw,Mean_Relative_dS-I,Mean_Relative_dL-R,Mean_Relative_dP-A,Max_Abs_Roll,Max_Abs_Pitch,Max_Abs_Yaw,Max_Abs_dS-I,Max_Abs_dL-R,Max_Abs_dP-A,Mean_Abs_Roll,Mean_Abs_Pitch,Mean_Abs_Yaw,Mean_Abs_dS-I,Mean_Abs_dL-R,Mean_Abs_dP-A,MeanFD,NumFD_greater_than_0.20,rootMeanSquareFD,FDquartile(top1/4thFD),PercentFD_greater_than_0.20,MeanDVARS,MeanFD_Jenkinson,site_y
0003001_session_1_scan_rest_1_rest,0.6839371975511312,0.73098049685359,0.7852612268179655,4.38886,0.6903183706820056,0.11707711964845655,0.19001680612564087,0.26888309121131904,11.2422,0.14176662266254425,0.3961364626884461,0.6196619272232056,0.7832213044166565,6.4652,0.3907611072063446,BMB_1,2300,0003001_session_1,rest_1_rest,0.008,0.044,0.0,0.003,-0.001,0.061,0.522,0.0232,0.0401,0.0258,0.0365,0.027000000000000003,0.0766,0.001388,-0.000719,0.0006259999999999999,0.000641,0.001197,-0.001703,0.1542,0.1065,0.09300000000000001,0.1031,0.1424,0.2032,0.079838,0.027864,0.038384,0.045822,0.06901,0.077027,0.034,0.0,0.1845,0.0569,0.0,20.3848,0.7623,BMB_1
0003001_session_1_scan_rest_2_rest,0.6835999498143792,0.7345063290558755,0.789048878243193,4.4794,0.6909220493262003,0.1222640424966812,0.19601283967494965,0.2744239509105682,10.9929,0.14569813013076782,0.41889144480228413,0.6219474375247955,0.7856862843036652,6.4450400000000005,0.4039827287197113,BMB_1,2300,0003001_session_1,rest_2_rest,0.011,0.21600000000000005,2.0,0.003,-0.0,0.331,0.51,0.0189,0.1108,0.0444,0.1754,0.0267,0.1536,0.0004860000000000001,5.1e-05,0.000387,0.000865,0.000113,-0.001048,0.0707,0.1325,0.0777,0.2491,0.0472,0.2039,0.035446,0.033693,0.019025,0.058689,0.010794,0.052248,0.0407,3.0,0.2018,0.083,1.4925,20.9412,0.9814,BMB_1
0003002_session_1_scan_rest_2_rest,0.6618410274386406,0.7040861994028091,0.7498518023639917,4.182919999999999,0.6633135114849721,0.105649895966053,0.1733342744410038,0.2436262920498849,11.7909,0.128629669547081,0.3800672590732575,0.5826515555381775,0.7399309098720551,6.7417,0.3744935691356659,BMB_1,2300,0003002_session_1,rest_2_rest,0.017,0.078,0.0,0.004,0.0,0.07400000000000001,0.38,0.023,0.0388,0.0217,0.0566,0.0177,0.1016,0.000753,0.001434,0.000492,-0.000155,0.0007019999999999999,-0.00143,0.0793,0.1815,0.0685,0.0613,0.0788,0.1471,0.026908,0.08231000000000001,0.015125,0.016397,0.030752,0.055005,0.0556,0.0,0.2358,0.0942,0.0,18.4077,1.5463,BMB_1
0003002_session_1_scan_rest_1_rest,0.6650405824184418,0.703141865786165,0.7516344082541764,3.9515300000000004,0.6688528436576281,0.10309064015746117,0.169108796864748,0.2425061523914337,11.7055,0.12726163864135742,0.3773249983787537,0.5909361243247986,0.7606314420700073,6.57763,0.3755136132240296,BMB_1,2300,0003002_session_1,rest_1_rest,0.023,0.083,0.0,0.004,-0.0,0.077,0.407,0.0152,0.0397,0.0195,0.0785,0.0119,0.1004,-0.000161,0.001295,0.00117,-0.000285,0.000218,-0.0017329999999999995,0.0644,0.1412,0.1688,0.0586,0.0792,0.2397,0.026717,0.064988,0.079087,0.020688,0.03746,0.08730299999999999,0.0636,0.0,0.2522,0.1107,0.0,17.8453,1.8338,BMB_1
0003004_session_1_scan_rest_1_rest,0.7074554078280926,0.7543784705922008,0.7940826006233692,4.07177,0.7104981382100841,0.11517080664634705,0.18178582563996315,0.2487184479832649,11.4341,0.1343885362148285,0.4135838150978088,0.6051346063613892,0.7574386596679688,6.07797,0.39338183403015137,BMB_1,2300,0003004_session_1,rest_1_rest,0.031,0.095,0.0,0.006,-0.001,0.128,0.613,0.036000000000000004,0.044000000000000004,0.0212,0.0827,0.0444,0.1595,-0.001068,0.000465,-0.0006940000000000001,0.002238,-0.001186,-0.000934,0.1858,0.0746,0.1106,0.34600000000000003,0.2116,0.149,0.052121,0.028212,0.034453,0.192943,0.060656,0.046235000000000005,0.1234,7.0,0.3512,0.17300000000000001,3.4826,19.6358,4.1403,BMB_1
0003004_session_1_scan_rest_2_rest,0.69557074457407,0.7395015284419059,0.7797714136540891,3.74075,0.7009430876891671,0.09739244729280473,0.1551598608493805,0.2194570153951645,11.4241,0.11784956604242325,0.3773802220821381,0.5719794183969498,0.7309212684631348,5.91705,0.3689337968826294,BMB_1,2300,0003004_session_1,rest_2_rest,0.031,0.125,3.0,0.005,-0.001,0.305,0.802,0.0698,0.1851,0.0671,0.1722,0.0265,0.4102,-0.001898,0.001837,-0.001573,0.000733,-0.001637,-0.000839,0.2506,0.2782,0.2076,0.1957,0.2061,0.2461,0.101301,0.099618,0.08695800000000001,0.020977000000000003,0.080631,0.053166,0.1058,5.0,0.3253,0.1696,2.4876,21.8694,3.6417,BMB_1
0003006_session_1_scan_rest_2_rest,0.6657246360555291,0.7042665886692703,0.7428085412830114,4.01269,0.6646606774203306,0.12601956725120544,0.1919486373662949,0.2586484909057617,11.2504,0.1433357298374176,0.441918820142746,0.6307054162025452,0.7666252255439758,6.45846,0.41647869348526,BMB_1,2300,0003006_session_1,rest_2_rest,0.022,0.14800000000000002,1.0,0.005,-0.001,0.233,0.322,0.0773,0.1316,0.0273,0.1815,0.0355,0.2018,0.000134,-0.000462,8e-05,5.3e-05,1.7e-05,-0.00061,0.0628,0.1458,0.0307,0.17800000000000002,0.048,0.1784,0.008641,0.033203,0.008465,0.038327,0.008012,0.028704,0.0733,8.0,0.2707,0.1399,3.9801,20.1396,2.0161,BMB_1
0003006_session_1_scan_rest_1_rest,0.6827129460871221,0.7210284685716033,0.7593439910560846,3.68448,0.6842778678777024,0.14725153148174286,0.22087229788303372,0.2881236612796784,11.1792,0.1631423979997635,0.5205430388450623,0.6971232295036316,0.8142929077148438,6.51767,0.470973014831543,BMB_1,2300,0003006_session_1,rest_1_rest,0.023,0.261,7.0,0.005,0.0,0.281,0.375,0.0817,0.1729,0.0719,0.1496,0.0573,0.2731,-0.000111,-0.000904,4.2e-05,-0.000102,0.0001,-0.001137,0.0603,0.1374,0.0715,0.1951,0.0431,0.2631,0.010778,0.044635,0.025932,0.040658,0.007114,0.053568,0.0744,7.0,0.2727,0.1571,3.4826,19.083,2.0841,BMB_1
0003008_session_1_scan_rest_1_rest,0.6709564374759793,0.7082317951135337,0.7421184838749468,3.6511400000000003,0.6737431568098944,0.11050698906183244,0.16976840794086456,0.2348760277032852,11.1725,0.1296256184577942,0.3967402577400208,0.5831950008869171,0.7233157277107242,6.5226,0.3815800845623016,BMB_1,2300,0003008_session_1,rest_1_rest,0.014,0.059,0.0,0.006999999999999999,-0.002,0.127,1.599,0.0633,0.0569,0.0538,0.0576,0.1154,0.0861,0.004804,0.004149,0.004517,-0.001324,0.003409,-0.002407,0.6146,0.4577,0.4562,0.1584,0.4266,0.2957,0.307205,0.233227,0.223098,0.054049,0.262221,0.118208,0.0695,1.0,0.2635,0.1236,0.4975,21.938000000000002,1.4148,BMB_1
0003008_session_1_scan_rest_2_rest,0.6577617838047445,0.6958427291829139,0.7373855786863714,4.0294300000000005,0.6583676671410897,0.0992063656449318,0.15700052306056025,0.2212548062205315,11.6461,0.12074963748455048,0.30599239468574524,0.4853504896163941,0.658428430557251,6.37171,0.315620481967926,BMB_1,2300,0003008_session_1,rest_2_rest,0.009000000000000001,0.069,0.0,0.004,-0.001,0.066,0.633,0.022000000000000002,0.0622,0.027000000000000003,0.0466,0.0283,0.07400000000000001,-0.000344,0.002933,0.001922,-0.00034,-0.000463,-0.001165,0.0782,0.3656,0.1977,0.09699999999999999,0.0852,0.135,0.018934,0.154942,0.085109,0.025394,0.014988,0.060017,0.042,0.0,0.2048,0.0688,0.0,21.8469,0.8635,BMB_1
0003007_session_1_scan_rest_1_rest,0.6748107131570578,0.7147188736125827,0.7582550486549735,3.7313400000000003,0.6788144985070913,0.09450046718120576,0.14437803626060486,0.20254115313291549,11.3755,0.11264146119356155,0.3565943539142609,0.5346976518630981,0.6928185820579529,5.97065,0.35048186779022217,BMB_1,2300,0003007_session_1,rest_1_rest,0.016,0.139,2.0,0.008,-0.004,0.312,1.681,0.0802,0.2165,0.0262,0.1869,0.0705,0.0735,0.004174000000000001,-0.002388,-0.000719,0.001644,0.003274,-0.000928,0.52,0.4077,0.1285,0.2654,0.4142,0.1138,0.219402,0.099659,0.035654000000000005,0.073327,0.183026,0.049502,0.0744,5.0,0.2728,0.1351,2.4876,20.8946,1.5837,BMB_1
0003007_session_1_scan_rest_2_rest,0.6572108650580049,0.6925447825342417,0.7349454835057259,3.76496,0.6601492600979807,0.0901951789855957,0.14423051476478574,0.2076725661754608,11.8082,0.11163562536239624,0.3141416907310486,0.4895461574196816,0.6479732990264893,6.22087,0.3200523555278778,BMB_1,2300,0003007_session_1,rest_2_rest,0.012,0.038,0.0,0.005,-0.001,0.075,0.393,0.0535,0.043,0.0184,0.059000000000000004,0.0586,0.0329,6.1e-05,-0.00045,-0.000459,0.001497,0.000566,-0.000277,0.0812,0.0828,0.0981,0.2137,0.098,0.065,0.016503,0.021803,0.021832,0.042804,0.023289,0.02555,0.06,0.0,0.245,0.0889,0.0,22.0864,1.3073,BMB_1
0003009_session_1_scan_rest_1_rest,0.6735326310154051,0.7123224684037268,0.7546386546455324,3.80495,0.6775239404573584,0.09759709239006042,0.15338102728128433,0.21590533852577207,11.5274,0.11712591350078586,0.3699648976325989,0.561481773853302,0.7061793208122253,5.95639,0.3610328435897827,BMB_1,2300,0003009_session_1,rest_1_rest,0.043,0.14300000000000002,19.0,0.006,0.0,0.154,0.917,0.0247,0.102,0.0234,0.0592,0.0181,0.2773,-0.00047,0.003729,-0.000584,0.002291,-0.000723,-0.001883,0.0593,0.4317,0.0901,0.2585,0.0775,0.3152,0.012119,0.180604,0.022938,0.102551,0.021534,0.100421,0.0998,13.0,0.3159,0.1887,6.4677,20.0294,3.7225,BMB_1
0003009_session_1_scan_rest_2_rest,0.6545151569880545,0.693857598118484,0.7403532103635371,4.03956,0.6581694153985262,0.0973120629787445,0.1546114981174469,0.22066071331501008,11.9323,0.1179891601204872,0.3426208049058914,0.5337888598442078,0.6877787709236145,5.976780000000001,0.3423890173435211,BMB_1,2300,0003009_session_1,rest_2_rest,0.022,0.155,3.0,0.004,0.001,0.183,0.398,0.0346,0.1069,0.0233,0.0909,0.017,0.2407,-0.001049,0.000211,-0.000144,0.000931,-0.000926,-0.001125,0.1556,0.1343,0.0597,0.1161,0.1195,0.2518,0.051699,0.02788,0.020812,0.032691000000000005,0.039279,0.053798,0.0627,6.0,0.2505,0.1244,2.9851,21.3097,1.9495,BMB_1
0003010_session_1_scan_rest_1_rest,0.680279552936554,0.7157107796519995,0.7546851290389895,3.7805400000000002,0.682502759612233,0.12507844716310498,0.1823430247604847,0.2417569324374199,10.8029,0.13986265659332275,0.42149579524993896,0.5974829643964767,0.733042246103287,6.72985,0.3995068967342377,BMB_1,2300,0003010_session_1,rest_1_rest,0.035,0.122,3.0,0.005,-0.0,0.071,0.476,0.0301,0.0397,0.0229,0.0844,0.0265,0.1424,-0.000127,0.00265,0.00036,0.000592,-0.000368,-0.00104,0.0497,0.2799,0.0778,0.1046,0.0631,0.17300000000000001,0.012689,0.139248,0.016779,0.030592,0.018154,0.043845,0.1029,8.0,0.3207,0.1672,3.9801,21.0146,3.26,BMB_1
0003010_session_1_scan_rest_2_rest,0.6797003978863358,0.7184397988021374,0.7571791997179389,3.7151099999999997,0.683397549361601,0.11818286031484605,0.17289799451828006,0.2279368191957475,10.5791,0.13282914459705353,0.3992615044116974,0.5802650451660156,0.7278735041618347,6.73813,0.3855037391185761,BMB_1,2300,0003010_session_1,rest_2_rest,0.014,0.056,0.0,0.004,-0.0,0.058,0.664,0.0283,0.0363,0.0374,0.0789,0.0249,0.1739,-0.001493,0.001766,-0.000586,-0.000522,-0.0017010000000000007,-0.000587,0.1776,0.2039,0.1056,0.1687,0.2073,0.1874,0.06532,0.078516,0.035589,0.048845,0.084092,0.039356,0.0794,4.0,0.2818,0.1362,1.99,19.1355,2.5283,BMB_1
0003011_session_1_scan_rest_1_rest,0.6741631359327585,0.7165189350489527,0.7624043840914965,4.07965,0.6760649992003082,0.11489129438996315,0.17620623111724856,0.2373876854777336,11.2173,0.13188523054122925,0.3844062983989716,0.5694147944450378,0.716596782207489,6.34313,0.3749624788761139,BMB_1,2300,0003011_session_1,rest_1_rest,0.016,0.131,2.0,0.008,0.0,0.306,1.294,0.0336,0.1722,0.0354,0.1829,0.0407,0.1713,-0.001121,-0.005336,-0.001716,0.003396,-0.001754,-0.00074,0.1722,0.6676,0.2169,0.4368,0.2045,0.1792,0.060753,0.257012,0.079791,0.102367,0.089891,0.043256,0.0817,10.0,0.2858,0.1588,4.9751,24.994,1.9934,BMB_1
0003011_session_1_scan_rest_2_rest,0.6895361756905913,0.7321878978982568,0.7783939302898943,3.84251,0.6938605039015274,0.1273411065340042,0.1906944289803505,0.25444450974464417,11.269,0.14238980412483215,0.44682347774505615,0.6366451680660248,0.7758504748344421,6.53921,0.4208259582519531,BMB_1,2300,0003011_session_1,rest_2_rest,0.019,0.177,4.0,0.006999999999999999,0.001,0.299,0.722,0.0423,0.201,0.0425,0.3814,0.0364,0.1625,-0.001184,-0.002326,-0.001135,0.00139,-0.000798,-0.00046,0.1865,0.349,0.1742,0.2577,0.1406,0.1222,0.040871,0.13004300000000002,0.037732,0.091858,0.030364,0.02274,0.0751,14.0,0.2741,0.1668,6.9652,24.9019,1.7683,BMB_1
0003012_session_1_scan_rest_2_rest,0.6803367286920547,0.7193143537733704,0.7618353993166238,3.64109,0.6851454497292638,0.1033492349088192,0.1601177081465721,0.2216673567891121,11.2768,0.1210521161556244,0.3888991177082062,0.5703731030225754,0.7079900622367861,6.033180000000001,0.3717329204082489,BMB_1,2300,0003012_session_1,rest_2_rest,0.024,0.079,0.0,0.004,0.0,0.134,0.7140000000000001,0.0363,0.0873,0.0179,0.0653,0.0397,0.12300000000000001,-0.000778,0.001631,1e-05,-0.001815,-0.0005679999999999999,-0.0017460000000000002,0.1261,0.2189,0.0377,0.2752,0.1603,0.2374,0.037916000000000005,0.12044,0.01567,0.145025,0.038157,0.118668,0.0718,1.0,0.2679,0.1154,0.4975,21.0791,1.994,BMB_1
0003012_session_1_scan_rest_1_rest,0.6637394260615109,0.7061057724058628,0.7520026476122439,3.7627099999999998,0.667121499442215,0.10842516645789146,0.1658472791314125,0.22718376219272626,10.963,0.1258251667022705,0.3579363524913788,0.5388650894165039,0.6904824376106268,6.16604,0.3542905151844025,BMB_1,2300,0003012_session_1,rest_1_rest,0.025,0.114,2.0,0.006,0.001,0.248,1.118,0.0179,0.099,0.0464,0.1017,0.0294,0.1466,0.001882,0.004312,0.000653,-0.0008320000000000001,0.002688,-0.002851,0.2158,0.5172,0.1179,0.2087,0.3303,0.3033,0.102162,0.241371,0.040717,0.078598,0.136531,0.151368,0.07200000000000001,2.0,0.2684,0.125,0.995,23.4573,2.0561,BMB_1
0003013_session_1_scan_rest_1_rest,0.7025690097361803,0.7496483763679862,0.7967277429997921,4.7077,0.7013361399612591,0.12011256814002992,0.18248750269412994,0.2528075933456421,11.2037,0.13934972882270813,0.4587507843971253,0.6382612586021423,0.7665209770202637,6.16475,0.4231119453907013,BMB_1,2300,0003013_session_1,rest_1_rest,0.022,0.1,0.0,0.008,-0.008,0.18,3.467,0.0291,0.0711,0.0414,0.1064,0.0432,0.0727,0.00039,0.010067,-0.0004730000000000001,-0.010079,-0.001546,-0.004958,0.1387,1.4040000000000001,0.1493,1.2381,0.2475,0.6893,0.069793,0.428211,0.049059,0.455636,0.096229,0.210954,0.0844,1.0,0.2905,0.1367,0.4975,18.6583,1.7788,BMB_1
0003013_session_1_scan_rest_2_rest,0.6794945779256523,0.7215251703746617,0.7670583121944219,4.22769,0.6788877459177897,0.11395496129989625,0.17183898389339447,0.2313136547803879,10.7436,0.12964476644992828,0.4226160645484924,0.6105260252952576,0.7495099663734436,6.19269,0.3996812701225281,BMB_1,2300,0003013_session_1,rest_2_rest,0.019,0.08900000000000001,0.0,0.006999999999999999,-0.001,0.223,1.215,0.0483,0.0806,0.0435,0.1214,0.0616,0.0939,-0.000426,0.004422,-0.001433,-0.003793,-0.002336,-0.001743,0.1836,0.542,0.2288,0.3954,0.3489,0.2199,0.070013,0.134139,0.109896,0.137125,0.14577,0.049567,0.0845,3.0,0.2906,0.1343,1.4925,18.7592,1.9494,BMB_1
0003014_session_1_scan_rest_1_rest,0.6608835628721863,0.7042201899457723,0.7511682026088238,4.14936,0.6674673539280326,0.09853189438581468,0.1562715619802475,0.21989890038967133,11.4139,0.11867941170930862,0.315022736787796,0.5092926621437073,0.6798984408378602,6.21108,0.3252851963043213,BMB_1,2300,0003014_session_1,rest_1_rest,0.031,0.249,3.0,0.006,-0.001,0.414,1.143,0.0341,0.1842,0.13699999999999998,0.2131,0.0846,0.2618,-2.1e-05,0.002139,-0.00251,0.00571,0.000493,0.001392,0.0597,0.2633,0.3147,0.5859,0.1681,0.2,0.021267,0.097901,0.157424,0.288347,0.058342,0.074441,0.1216,21.0,0.3487,0.2157,10.4478,20.3206,3.8739999999999997,BMB_1
0003014_session_1_scan_rest_2_rest,0.6617922033183277,0.7001064887735993,0.7419038910884409,3.7718800000000003,0.6642391466384681,0.1005929298698902,0.15759991109371185,0.21414590179920195,11.3673,0.11858770996332167,0.33709633350372314,0.5283203721046448,0.6924217939376831,6.28414,0.3400062024593353,BMB_1,2300,0003014_session_1,rest_2_rest,0.028,0.202,5.0,0.005,-0.002,0.333,0.762,0.0234,0.1696,0.0423,0.2236,0.0445,0.2372,-0.000546,0.000227,-0.00028700000000000004,0.003348,-0.00064,0.000542,0.0967,0.1868,0.0755,0.5133,0.1096,0.1473,0.044456,0.07788099999999999,0.012109,0.069146,0.034828,0.042029,0.0952,10.0,0.3085,0.1702,4.9751,20.2281,3.0764,BMB_1
0003015_session_1_scan_rest_1_rest,0.6642445437610149,0.7111748647876084,0.7581051858142018,4.1805699999999995,0.6686675431815479,0.12230413407087325,0.18004266172647476,0.2387472242116928,10.8404,0.13614694774150848,0.4040935039520264,0.6015860438346863,0.737992525100708,6.57999,0.3918035328388214,BMB_1,2300,0003015_session_1,rest_1_rest,0.02,0.09,0.0,0.006999999999999999,-0.001,0.135,0.6629999999999999,0.042,0.0539,0.0452,0.1067,0.0476,0.2049,-0.000598,5.2e-05,-0.001925,0.002352,-0.001941,-0.000538,0.1442,0.0986,0.2326,0.3196,0.2293,0.1445,0.075891,0.042786000000000005,0.133941,0.130966,0.15295599999999998,0.029085000000000007,0.0911,6.0,0.3019,0.151,2.9851,23.2841,2.6815,BMB_1
0003015_session_1_scan_rest_2_rest,0.6697059595026076,0.7165133652742952,0.7633207710459828,4.26565,0.673394741209947,0.13164980709552765,0.1996451020240784,0.2628400802612305,11.272,0.1462164968252182,0.4324068427085877,0.6369555592536926,0.7715162515640259,6.46844,0.4122587740421295,BMB_1,2300,0003015_session_1,rest_2_rest,0.022,0.124,1.0,0.005,-0.001,0.177,0.557,0.0476,0.0594,0.0552,0.1364,0.0805,0.0938,-0.000338,-0.0008849999999999998,-0.001179,0.000543,-0.001546,-0.001042,0.1219,0.1388,0.1417,0.2085,0.27,0.1431,0.035735,0.072599,0.075949,0.063584,0.069563,0.040319,0.0887,6.0,0.2978,0.1433,2.9851,23.5347,2.5733,BMB_1
0003016_session_1_scan_rest_1_rest,0.6861738348379731,0.7331225709058344,0.7836827482096851,4.015680000000001,0.6929963683879832,0.10901283472776413,0.1779053546488285,0.2492560505867005,11.2252,0.13130778074264526,0.409148633480072,0.6238235682249069,0.7728939056396484,6.2085,0.3972778916358948,BMB_1,2300,0003016_session_1,rest_1_rest,0.033,0.119,2.0,0.006,-0.002,0.364,0.8079999999999999,0.0333,0.1949,0.0316,0.1102,0.0349,0.1268,0.000218,0.002515,0.001416,-0.000164,0.000704,-0.001549,0.0521,0.3703,0.1901,0.1692,0.1227,0.2408,0.014257,0.122266,0.06654700000000001,0.030101,0.045758,0.076874,0.1006,8.0,0.3171,0.1644,3.9801,18.1803,2.9134,BMB_1
0003016_session_1_scan_rest_2_rest,0.6902177087031305,0.7371958773583174,0.7914014565758407,4.10273,0.6965654889154641,0.10149191319942474,0.16840773820877075,0.2423664301633835,11.5849,0.1256677508354187,0.3603634834289551,0.5698280334472656,0.7239996790885925,6.07255,0.3601544201374054,BMB_1,2300,0003016_session_1,rest_2_rest,0.025,0.192,3.0,0.004,0.002,0.274,0.68,0.0337,0.1761,0.0202,0.2133,0.0363,0.1187,0.000512,0.000392,0.000203,-0.00078,0.000767,-0.000736,0.1135,0.1551,0.0554,0.3548,0.1308,0.1325,0.038768,0.062814,0.017315,0.073337,0.045471,0.048827,0.0843,3.0,0.2903,0.1354,1.4925,17.1601,2.4619999999999997,BMB_1
0003017_session_1_scan_rest_1_rest,0.6551549434661865,0.6926898621022701,0.7302247807383537,3.7059599999999997,0.655022180499202,0.10598839819431304,0.16940118372440338,0.23378515243530265,11.2722,0.12610210478305814,0.3742302358150482,0.5731054544448853,0.7366286516189575,6.37207,0.3726538419723511,BMB_1,2300,0003017_session_1,rest_1_rest,0.028,0.142,4.0,0.004,-0.001,0.124,0.491,0.0219,0.0546,0.0297,0.081,0.0312,0.2022,0.0006320000000000001,0.00195,0.000285,0.000892,-0.000162,-0.000605,0.1116,0.2127,0.0764,0.2241,0.0613,0.2065,0.041807,0.083225,0.02648,0.091376,0.014738,0.055884,0.1175,19.0,0.3428,0.1912,9.4527,22.684,4.3323,BMB_1
0003017_session_1_scan_rest_2_rest,0.6607567816972733,0.6986126389820129,0.7433513794094324,3.85535,0.661487224751041,0.11114195734262466,0.17502769082784653,0.2373225271701813,11.0633,0.12936508655548096,0.39482155442237854,0.5971769690513611,0.7551106035709382,6.5857600000000005,0.3876915276050568,BMB_1,2300,0003017_session_1,rest_2_rest,0.046,0.124,13.0,0.006999999999999999,0.001,0.146,0.49,0.0372,0.0681,0.0458,0.0696,0.0357,0.2174,-0.000325,0.0005099999999999999,-0.000585,0.000395,-0.00025,-0.000602,0.0833,0.1969,0.131,0.2008,0.0861,0.1971,0.034952,0.07336000000000001,0.044942,0.054781,0.02665,0.070285,0.1276,27.0,0.3573,0.203,13.4328,22.0471,4.4951,BMB_1
0003018_session_1_scan_rest_1_rest,0.6729200198315084,0.7085242536850274,0.7476889109238982,3.6688699999999996,0.6766230601760601,0.09533914551138878,0.1412513442337513,0.19782233834266666,11.0505,0.11198990046977997,0.35495391488075256,0.5476239323616028,0.7092365026473999,6.03046,0.3526046574115753,BMB_1,2300,0003018_session_1,rest_1_rest,0.024,0.086,0.0,0.006999999999999999,0.0,0.18600000000000005,1.833,0.0155,0.0575,0.0283,0.1033,0.0236,0.078,0.000111,0.008356,-0.0022670000000000004,-0.004723,-0.0012109999999999998,-0.004804,0.0588,0.8703,0.2423,0.5276,0.1568,0.4896,0.029396,0.370053,0.102224,0.202714,0.038918,0.214194,0.0836,1.0,0.2892,0.1274,0.4975,18.6594,2.457,BMB_1
0003018_session_1_scan_rest_2_rest,0.6583277496974915,0.6939130334649235,0.7330568456090987,3.9404800000000004,0.6578160541438226,0.08681335300207138,0.12910104170441628,0.1821419969201088,11.1806,0.10413220524787904,0.31526705622673035,0.5068908333778381,0.6805000305175781,5.9776,0.3255807459354401,BMB_1,2300,0003018_session_1,rest_2_rest,0.027000000000000003,0.136,2.0,0.008,-0.006,0.246,1.864,0.0191,0.0964,0.0357,0.1352,0.0331,0.1314,-0.000539,0.00534,-0.002124,-0.002591,-0.000725,-0.001759,0.0925,0.7906,0.2765,0.5282,0.1452,0.3596,0.016041999999999997,0.247808,0.09646,0.12575,0.033424,0.087861,0.0903,12.0,0.3004,0.1703,5.9701,19.9627,2.6204,BMB_1
0003020_session_1_scan_rest_2_rest,0.6806511373724788,0.7198509410955012,0.7626143633387983,3.70724,0.6832497996188007,0.10847315192222597,0.15823952853679654,0.2119790703058243,10.4025,0.1222124770283699,0.4068455100059509,0.6106805801391602,0.7604903578758244,6.5259599999999995,0.3946851193904877,BMB_1,2300,0003020_session_1,rest_2_rest,0.024,0.117,1.0,0.006999999999999999,-0.002,0.475,0.915,0.0783,0.1693,0.1154,0.18899999999999997,0.0776,0.1453,-0.000126,0.001718,0.000263,-0.000469,0.001059,-0.0013,0.1043,0.3557,0.1008,0.2577,0.1669,0.2123,0.028691,0.106445,0.019989,0.04568,0.043993,0.064636,0.1168,16.0,0.3418,0.203,7.9602,21.0825,3.2717,BMB_1
0003020_session_1_scan_rest_1_rest,0.6701519573107362,0.708950228523463,0.7477484997361898,3.54547,0.6738089401006874,0.10355282947421074,0.1503092795610428,0.20105826407670974,10.5672,0.1173056587576866,0.3671106696128845,0.5685967803001404,0.735487699508667,6.71858,0.3660349845886231,BMB_1,2300,0003020_session_1,rest_1_rest,0.026,0.229,5.0,0.009000000000000001,-0.004,0.8029999999999999,1.467,0.0518,0.39799999999999996,0.0878,0.3145,0.0537,0.1652,0.000824,0.004451,0.002781,-0.001077,0.002248,-0.002721,0.1601,0.6463,0.3789,0.37,0.3276,0.3668,0.044346,0.269799,0.122973,0.093726,0.094271,0.13661199999999998,0.1077,13.0,0.3282,0.2054,6.4677,19.8398,2.8007,BMB_1
0003021_session_1_scan_rest_1_rest,0.6547150737605989,0.6976472097449005,0.7477347017265856,3.81906,0.658741012997645,0.1058366596698761,0.16315898299217224,0.2252115234732628,10.5352,0.12355412542819975,0.4422587454319,0.6317349523305893,0.7644190192222595,6.1285300000000005,0.4131273627281189,BMB_1,2300,0003021_session_1,rest_1_rest,0.04,0.595,10.0,0.008,0.002,0.764,0.908,0.0645,0.1831,0.1539,0.7278,0.0702,0.5465,-0.000742,0.001716,0.000966,-0.002294,-0.000332,-0.001465,0.0904,0.2454,0.1705,0.6179,0.0546,0.3172,0.036106,0.090841,0.059743,0.133667,0.011362,0.067506,0.1359,26.0,0.3686,0.3015,12.9353,30.0285,4.1254,BMB_1
0003021_session_1_scan_rest_2_rest,0.6560798934660852,0.6991015258245171,0.7421231581829488,3.6960699999999997,0.6608644901470923,0.09960228204727173,0.1527867093682289,0.2126188486814499,10.78,0.11743482947349547,0.4072868525981903,0.5969209671020508,0.7323312163352966,6.00036,0.3863736689090729,BMB_1,2300,0003021_session_1,rest_2_rest,0.029,0.328,8.0,0.005,0.001,0.394,0.8,0.0596,0.0718,0.0576,0.2911,0.0287,0.2736,-0.001023,0.002654,0.00098,-0.002152,-2e-05,-0.000963,0.1235,0.3168,0.0985,0.3409,0.0355,0.1909,0.039455,0.142094,0.047369,0.124965,0.01032,0.055416,0.0922,17.0,0.3036,0.1928,8.4577,28.2989,2.7781,BMB_1
