Subject,Scan,Mean_Relative_RMS_Displacement,Max_Relative_RMS_Displacement,Movements_gt_threshold,Mean_Relative_Mean_Rotation,Mean_Relative_Maxdisp,Max_Relative_Maxdisp,Max_Abs_Maxdisp,Max_Relative_Roll,Max_Relative_Pitch,Max_Relative_Yaw,Max_Relative_dS-I,Max_Relative_dL-R,Max_Relative_dP-A,Mean_Relative_Roll,Mean_Relative_Pitch,Mean_Relative_Yaw,Mean_Relative_dS-I,Mean_Relative_dL-R,Mean_Relative_dP-A,Max_Abs_Roll,Max_Abs_Pitch,Max_Abs_Yaw,Max_Abs_dS-I,Max_Abs_dL-R,Max_Abs_dP-A,Mean_Abs_Roll,Mean_Abs_Pitch,Mean_Abs_Yaw,Mean_Abs_dS-I,Mean_Abs_dL-R,Mean_Abs_dP-A,MeanFD,NumFD_greater_than_0.20,rootMeanSquareFD,FDquartile(top1/4thFD),PercentFD_greater_than_0.20,MeanDVARS,MeanFD_Jenkinson
0026017_session_4,rest_9_rest,0.029,0.193,3.000,0.012,0.001,0.335,0.716,0.119000,0.083800,0.071300,0.093400,0.169400,0.093200,0.000663,0.000640,-0.000158,-0.002423,0.000361,-0.001342,0.217900,0.136200,0.134000,0.331300,0.271100,0.227000,0.065508,0.047141,0.040638,0.069183,0.088931,0.092001,0.1291,18.0000,0.3593,0.2238,11.5385,24.0675,3.0922,
0026017_session_3,rest_9_rest,0.027,0.077,0.000,0.005,-0.000,0.102,0.308,0.043700,0.049600,0.037600,0.076600,0.061400,0.088900,-0.000723,0.000548,-0.000814,-0.001561,-0.000191,-0.001205,0.079900,0.077600,0.095000,0.165800,0.059200,0.134400,0.027215,0.024822,0.031423,0.082825,0.015425,0.065306,0.0967,3.0000,0.3110,0.1498,1.9231,26.3219,2.5960,
0026017_session_7,rest_9_rest,0.020,0.069,0.000,0.005,0.000,0.086,0.461,0.041500,0.062300,0.025200,0.083700,0.081200,0.096800,-0.001057,0.000323,-0.000491,-0.002712,-0.000436,-0.000416,0.087300,0.128500,0.074100,0.290900,0.118500,0.093400,0.044098,0.031425,0.036029,0.140403,0.034205,0.034108,0.0861,2.0000,0.2934,0.1348,1.2821,25.4376,2.1008,
0026017_session_2,rest_9_rest,0.011,0.079,0.000,0.003,0.000,0.097,0.369,0.026400,0.030900,0.024800,0.089300,0.046100,0.081500,-0.000623,0.000805,-0.000364,-0.001332,-0.000921,-0.000300,0.063300,0.091100,0.058100,0.157000,0.117400,0.082700,0.032455,0.027212,0.021916,0.035072,0.053077,0.018934,0.0711,1.0000,0.2666,0.1156,0.6410,26.9367,1.9694,
0026017_session_10,rest_9_rest,0.037,0.175,4.000,0.005,0.000,0.202,0.470,0.064100,0.135900,0.047800,0.164100,0.049600,0.190100,-0.000603,-0.001544,-0.000394,0.001124,-0.001336,0.001444,0.100800,0.154000,0.088000,0.200900,0.145000,0.210800,0.036301,0.086581,0.024659,0.063955,0.072708,0.093195,0.0956,5.0000,0.3092,0.1621,3.2051,25.6354,2.8992,
0026017_session_1,rest_9_rest,0.039,0.116,3.000,0.005,0.000,0.199,0.291,0.044200,0.103700,0.025200,0.121700,0.068400,0.110500,0.000279,0.000484,0.000382,0.000596,-0.000254,0.000741,0.050400,0.090900,0.049800,0.158400,0.072500,0.121800,0.018625,0.022192,0.018063,0.047715,0.027413,0.037543,0.1162,17.0000,0.3409,0.2037,10.8974,27.5656,3.2799,
0026017_session_6,rest_9_rest,0.033,0.161,3.000,0.008,0.001,0.294,0.697,0.138200,0.067300,0.060900,0.228300,0.143900,0.121200,-0.000509,0.001559,-0.000663,-0.002022,-0.001559,-0.000877,0.211700,0.207800,0.113400,0.263400,0.204500,0.285600,0.051237,0.075285,0.036650,0.129225,0.067322,0.100985,0.1303,26.0000,0.3610,0.2432,16.6667,25.3709,3.3519,
0026017_session_5,rest_9_rest,0.022,0.103,1.000,0.004,0.000,0.162,0.364,0.069400,0.090000,0.031400,0.111900,0.050300,0.119100,-0.000486,0.000460,-0.000545,-0.001808,-0.001436,-0.000228,0.094100,0.082000,0.057200,0.195800,0.154700,0.107600,0.042506,0.023754,0.027125,0.098830,0.087659,0.034154,0.0932,3.0000,0.3053,0.1449,1.9231,25.5329,2.5137,
0026017_session_8,rest_9_rest,0.015,0.141,1.000,0.005,0.000,0.281,0.474,0.039400,0.070000,0.025300,0.101500,0.051100,0.141500,0.000021,0.000734,-0.000182,0.000254,0.000118,-0.000245,0.065700,0.141800,0.046200,0.175700,0.083200,0.108600,0.025209,0.042474,0.017497,0.036750,0.038071,0.022432,0.0852,2.0000,0.2919,0.1344,1.2821,25.7808,2.3290,
0026017_session_9,rest_9_rest,0.018,0.079,0.000,0.005,-0.000,0.128,0.305,0.068400,0.087400,0.063000,0.115200,0.061100,0.083900,-0.000321,0.000528,-0.000074,0.000002,-0.000766,-0.000016,0.086100,0.074900,0.086800,0.194800,0.139300,0.058600,0.027224,0.030528,0.019157,0.060268,0.040688,0.018967,0.0763,3.0000,0.2763,0.1298,1.9231,25.3762,2.0253,
