Subject,Scan,Mean_Relative_RMS_Displacement,Max_Relative_RMS_Displacement,Movements_gt_threshold,Mean_Relative_Mean_Rotation,Mean_Relative_Maxdisp,Max_Relative_Maxdisp,Max_Abs_Maxdisp,Max_Relative_Roll,Max_Relative_Pitch,Max_Relative_Yaw,Max_Relative_dS-I,Max_Relative_dL-R,Max_Relative_dP-A,Mean_Relative_Roll,Mean_Relative_Pitch,Mean_Relative_Yaw,Mean_Relative_dS-I,Mean_Relative_dL-R,Mean_Relative_dP-A,Max_Abs_Roll,Max_Abs_Pitch,Max_Abs_Yaw,Max_Abs_dS-I,Max_Abs_dL-R,Max_Abs_dP-A,Mean_Abs_Roll,Mean_Abs_Pitch,Mean_Abs_Yaw,Mean_Abs_dS-I,Mean_Abs_dL-R,Mean_Abs_dP-A,MeanFD,NumFD_greater_than_0.20,rootMeanSquareFD,FDquartile(top1/4thFD),PercentFD_greater_than_0.20,MeanDVARS,MeanFD_Jenkinson
0026017_session_4,rest_8_rest,0.032,0.143,2.000,0.007,-0.001,0.138,0.500,0.073700,0.108700,0.089700,0.131600,0.095500,0.114300,0.000127,0.000534,0.000693,0.000242,-0.000364,0.001315,0.083900,0.161500,0.105900,0.233300,0.213500,0.212800,0.020300,0.043990,0.030908,0.042430,0.049381,0.078793,0.1192,15.0000,0.3453,0.1977,9.6154,24.1004,3.0009,
0026017_session_3,rest_8_rest,0.018,0.100,1.000,0.006,-0.001,0.098,0.462,0.072800,0.065300,0.053100,0.085200,0.063100,0.114900,-0.000503,0.001421,-0.000977,-0.000723,-0.000825,-0.000196,0.141600,0.162700,0.121600,0.133300,0.158200,0.104500,0.047837,0.087579,0.041681,0.032514,0.049366,0.029439,0.1060,3.0000,0.3257,0.1641,1.9231,26.4487,2.8513,
0026017_session_7,rest_8_rest,0.014,0.084,0.000,0.005,0.000,0.155,0.270,0.050500,0.048900,0.025800,0.071100,0.095400,0.092100,0.000382,0.000418,0.000598,0.000260,0.000780,0.000200,0.082000,0.087900,0.060200,0.090300,0.134600,0.084300,0.033995,0.020148,0.034035,0.028962,0.061820,0.032806,0.0739,1.0000,0.2719,0.1118,0.6410,24.6993,1.8503,
0026017_session_2,rest_8_rest,0.015,0.057,0.000,0.005,0.001,0.101,0.278,0.047300,0.033000,0.016400,0.117500,0.070500,0.093900,0.000160,0.000488,-0.000184,-0.000050,0.000585,-0.000449,0.050700,0.081500,0.033100,0.124300,0.098000,0.110200,0.015640,0.027790,0.013530,0.041028,0.033641,0.025239,0.0757,1.0000,0.2752,0.1242,0.6410,25.5975,2.1609,
0026017_session_10,rest_8_rest,0.023,0.070,0.000,0.005,0.001,0.105,0.314,0.032100,0.041000,0.029800,0.197000,0.038800,0.152300,0.000346,0.000702,0.000582,-0.001290,-0.000747,-0.000041,0.057100,0.084000,0.094600,0.181700,0.086600,0.098200,0.017735,0.033633,0.027601,0.072148,0.036275,0.032997,0.1090,6.0000,0.3301,0.1611,3.8462,25.2125,3.0971,
0026017_session_1,rest_8_rest,0.027,0.129,2.000,0.007,-0.003,0.222,0.515,0.048000,0.067600,0.031500,0.141600,0.048800,0.117600,0.000714,0.000207,-0.000290,0.001906,0.001623,0.000160,0.114100,0.138800,0.063100,0.255300,0.253400,0.111000,0.032458,0.039457,0.020462,0.056106,0.066074,0.030261,0.1249,18.0000,0.3535,0.2030,11.5385,27.6101,3.5069,
0026017_session_6,rest_8_rest,0.024,0.162,1.000,0.009,0.003,0.199,0.777,0.063900,0.080100,0.028300,0.173800,0.106100,0.111000,0.000912,0.001922,0.001276,-0.001912,0.001947,-0.000481,0.116900,0.251300,0.115200,0.262500,0.184400,0.124800,0.041872,0.070870,0.058726,0.098726,0.070832,0.029775,0.0986,3.0000,0.3140,0.1540,1.9231,24.2048,2.6332,
0026017_session_5,rest_8_rest,0.023,0.093,0.000,0.007,0.001,0.092,0.264,0.052700,0.060600,0.019100,0.126000,0.045600,0.127200,-0.000302,0.000447,-0.000127,-0.000713,-0.000579,0.001010,0.084500,0.082400,0.034900,0.142700,0.086400,0.109900,0.028571,0.034035,0.010662,0.028411,0.034130,0.037675,0.0935,4.0000,0.3058,0.1359,2.5641,25.1028,2.4233,
0026017_session_8,rest_8_rest,0.024,0.082,0.000,0.005,0.001,0.098,0.288,0.029100,0.042500,0.041900,0.071500,0.027200,0.119400,-0.000629,0.000347,-0.000586,-0.000697,-0.000955,-0.000644,0.075600,0.090300,0.079600,0.161300,0.113500,0.111700,0.023879,0.027345,0.025968,0.050905,0.033591,0.028256,0.0854,1.0000,0.2923,0.1341,0.6410,24.9667,2.4639,
0026017_session_9,rest_8_rest,0.028,0.134,3.000,0.004,0.000,0.139,0.385,0.032400,0.053400,0.052500,0.222500,0.041000,0.080000,-0.000331,0.000192,-0.000452,-0.002331,-0.000740,-0.000951,0.079800,0.054500,0.096900,0.279000,0.155900,0.106700,0.028806,0.017145,0.025923,0.121572,0.062365,0.027630,0.0884,5.0000,0.2974,0.1462,3.2051,25.2416,2.5969,
