Subject,Scan,Mean_Relative_RMS_Displacement,Max_Relative_RMS_Displacement,Movements_gt_threshold,Mean_Relative_Mean_Rotation,Mean_Relative_Maxdisp,Max_Relative_Maxdisp,Max_Abs_Maxdisp,Max_Relative_Roll,Max_Relative_Pitch,Max_Relative_Yaw,Max_Relative_dS-I,Max_Relative_dL-R,Max_Relative_dP-A,Mean_Relative_Roll,Mean_Relative_Pitch,Mean_Relative_Yaw,Mean_Relative_dS-I,Mean_Relative_dL-R,Mean_Relative_dP-A,Max_Abs_Roll,Max_Abs_Pitch,Max_Abs_Yaw,Max_Abs_dS-I,Max_Abs_dL-R,Max_Abs_dP-A,Mean_Abs_Roll,Mean_Abs_Pitch,Mean_Abs_Yaw,Mean_Abs_dS-I,Mean_Abs_dL-R,Mean_Abs_dP-A,MeanFD,NumFD_greater_than_0.20,rootMeanSquareFD,FDquartile(top1/4thFD),PercentFD_greater_than_0.20,MeanDVARS,MeanFD_Jenkinson
0026017_session_4,rest_6_rest,0.026,0.169,1.000,0.006,-0.000,0.145,0.570,0.047400,0.086600,0.041000,0.188000,0.053800,0.125800,-0.000727,0.001556,-0.000058,-0.002351,-0.001145,-0.002290,0.093600,0.173900,0.057200,0.322400,0.148900,0.254100,0.029563,0.070689,0.016743,0.166859,0.060262,0.113979,0.1233,11.0000,0.3511,0.1942,7.0513,24.6987,3.2530,
0026017_session_3,rest_6_rest,0.039,0.136,4.000,0.006,-0.001,0.148,0.335,0.034300,0.078400,0.036600,0.127700,0.038700,0.115700,0.000022,-0.000431,-0.000156,-0.001424,-0.000132,0.000588,0.062100,0.131600,0.035800,0.185700,0.073400,0.200500,0.017834,0.054900,0.016645,0.060415,0.018745,0.076350,0.1085,5.0000,0.3293,0.1666,3.2051,26.3722,3.0411,
0026017_session_7,rest_6_rest,0.020,0.078,0.000,0.007,0.001,0.132,0.434,0.025100,0.049300,0.017500,0.081500,0.043000,0.124500,0.000620,0.001477,0.000713,-0.000040,0.001128,-0.000359,0.069800,0.154900,0.093700,0.168800,0.142300,0.138800,0.036380,0.087613,0.045377,0.068849,0.052923,0.032486,0.0765,1.0000,0.2767,0.1173,0.6410,24.4061,1.7431,
0026017_session_2,rest_6_rest,0.014,0.049,0.000,0.003,0.000,0.074,0.259,0.036900,0.026600,0.018300,0.046700,0.032200,0.077100,-0.000474,0.000789,-0.000279,-0.000627,-0.001222,-0.000131,0.049900,0.065900,0.029800,0.085600,0.122900,0.076100,0.021721,0.024586,0.007341,0.030413,0.056228,0.017707,0.0688,0.0000,0.2622,0.1119,0.0000,24.1365,1.8188,
0026017_session_10,rest_6_rest,0.028,0.116,4.000,0.007,-0.000,0.189,0.441,0.045900,0.086800,0.057100,0.151300,0.040000,0.158000,0.000037,0.000916,-0.001429,-0.000009,0.000630,-0.000453,0.061400,0.148100,0.168400,0.193400,0.081700,0.183700,0.014504,0.057503,0.057650,0.068542,0.025903,0.052728,0.1054,10.0000,0.3246,0.1788,6.4103,25.0000,2.8270,
0026017_session_1,rest_6_rest,0.028,0.209,1.000,0.006,0.000,0.109,0.677,0.084400,0.063200,0.078400,0.186100,0.061200,0.159600,-0.000854,0.002768,-0.000110,-0.002411,-0.001129,0.001108,0.138700,0.259800,0.102800,0.313800,0.167400,0.153100,0.058283,0.122963,0.028061,0.121214,0.069703,0.055882,0.1256,11.0000,0.3544,0.2009,7.0513,26.9786,3.4161,
0026017_session_6,rest_6_rest,0.020,0.117,1.000,0.005,0.000,0.093,0.400,0.045100,0.053000,0.054100,0.091300,0.040300,0.139600,-0.000590,0.000711,0.000681,-0.000432,-0.001273,-0.000030,0.066000,0.088600,0.108300,0.170300,0.186600,0.164500,0.025583,0.031490,0.029430,0.059690,0.063566,0.024977,0.0860,2.0000,0.2932,0.1362,1.2821,23.6829,2.3226,
0026017_session_5,rest_6_rest,0.029,0.167,3.000,0.005,-0.000,0.289,0.542,0.076000,0.094400,0.068300,0.253100,0.064500,0.199300,-0.000682,-0.000393,-0.000909,-0.001743,-0.000899,-0.000364,0.095900,0.120800,0.087600,0.232600,0.156100,0.207100,0.025683,0.025032,0.032105,0.094310,0.045218,0.038865,0.0952,9.0000,0.3086,0.1735,5.7692,25.2287,2.6513,
0026017_session_8,rest_6_rest,0.017,0.109,1.000,0.004,-0.001,0.174,0.326,0.056800,0.049400,0.029100,0.137300,0.105600,0.158000,-0.000028,0.000309,0.000140,0.000542,-0.000307,0.000036,0.064900,0.070100,0.047700,0.125600,0.159500,0.115400,0.023383,0.026947,0.019637,0.046487,0.054450,0.022051,0.0848,3.0000,0.2912,0.1475,1.9231,25.4897,2.2930,
0026017_session_9,rest_6_rest,0.021,0.148,2.000,0.004,0.001,0.179,0.534,0.041000,0.045400,0.036700,0.152400,0.037200,0.066400,-0.000988,0.001194,-0.001094,-0.002407,-0.001546,-0.000048,0.120000,0.151900,0.151100,0.266600,0.169700,0.087700,0.036295,0.068341,0.042406,0.087613,0.048521,0.028072,0.0756,3.0000,0.2749,0.1310,1.9231,25.0156,2.1326,
0025335_session_1,rest_6_rest,0.081,0.745,49.000,0.037,-0.005,1.059,1.594,0.203800,0.446400,0.394800,0.968500,0.183000,0.195200,-0.000396,-0.001915,0.001184,0.006104,0.000803,0.001752,0.179300,0.561700,0.384300,0.994300,0.191700,0.198500,0.046621,0.144210,0.062077,0.147065,0.060367,0.076583,0.3905,155.0000,0.6249,0.6590,85.6354,8.8872,8.5016,
0025336_session_1,rest_6_rest,0.081,0.720,44.000,0.025,-0.005,0.979,1.328,0.183700,0.399500,0.093800,0.773400,0.185100,0.179700,0.000422,-0.001123,-0.000879,0.004185,0.000003,-0.000197,0.139200,0.346500,0.181600,0.866900,0.147200,0.255000,0.036818,0.074528,0.034827,0.132724,0.038291,0.039851,0.3264,143.0000,0.5713,0.5631,79.0055,7.9131,7.2852,
0025338_session_1,rest_6_rest,0.119,2.212,86.000,0.029,-0.014,2.272,3.023,0.210300,0.399600,0.165900,2.850000,0.467500,0.418200,0.000454,0.000999,-0.000842,0.013139,0.001039,0.000585,0.148500,0.444400,0.174200,2.813300,0.604500,0.345500,0.061328,0.104169,0.046830,0.233963,0.077364,0.121683,0.5405,175.0000,0.7352,0.8578,96.6851,10.8429,12.8625,
0025339_session_1,rest_6_rest,0.060,0.926,18.000,0.035,-0.022,2.178,5.070,0.249400,1.460300,0.354700,2.792300,0.592600,1.881000,0.002825,0.013183,-0.000638,0.013531,0.000323,0.002775,0.429400,2.107000,0.237100,2.644600,0.615100,1.857000,0.054494,0.217129,0.089802,0.196692,0.055468,0.285488,0.3103,82.0000,0.5570,0.7492,45.3039,8.5024,5.7469,
0025340_session_1,rest_6_rest,0.158,1.871,105.000,0.043,-0.012,1.787,3.347,0.399500,0.488500,0.213700,3.210000,0.694200,0.757400,0.000452,-0.000564,0.003189,0.015573,0.004356,-0.003136,0.432900,0.546500,0.401400,2.966500,0.655600,0.753600,0.079016,0.105517,0.110510,0.260622,0.215905,0.215629,0.6722,178.0000,0.8199,1.2015,98.3425,9.3438,16.0873,
0025341_session_1,rest_6_rest,2.489,35.932,169.000,2.351,-0.003,107.385,185.464,53.796800,134.559600,38.263400,53.192200,8.798500,37.060700,0.001527,0.007814,-0.002489,0.014609,-0.000720,0.022263,52.886400,72.462000,40.642000,35.923800,9.870600,42.521400,1.513165,38.297492,2.185756,17.498630,0.752297,11.817443,15.0657,175.0000,3.8815,50.2436,96.6851,45.2687,83.3968,
0025342_session_1,rest_6_rest,0.085,1.192,38.000,0.021,-0.017,2.106,4.034,0.198300,0.797700,0.245100,2.309900,0.557300,1.211800,0.000640,0.007578,0.001190,0.015038,0.000409,0.002774,0.168500,1.171100,0.371300,2.651700,0.380600,1.258500,0.029238,0.117854,0.040373,0.220378,0.033774,0.271659,0.3351,138.0000,0.5789,0.6149,76.2431,7.5931,8.2026,
0025343_session_1,rest_6_rest,0.164,4.116,98.000,0.024,-0.032,4.071,8.458,0.166700,0.305200,0.188600,4.260800,0.305500,0.644900,0.001109,0.004692,-0.012708,0.041596,-0.009543,-0.003012,0.280000,0.903800,1.455500,6.319400,1.186200,1.135200,0.088165,0.347281,0.613671,0.950361,0.422146,0.263595,0.3665,127.0000,0.6054,0.8191,70.1657,8.2376,9.0372,
0025344_session_1,rest_6_rest,0.164,1.971,88.000,0.046,-0.032,4.408,9.729,0.208100,1.650700,0.258600,2.525000,0.287600,1.336000,-0.000689,0.017953,-0.000588,0.049320,-0.001814,0.008871,0.200200,3.541600,0.315000,5.254000,0.459500,1.875700,0.069924,0.978696,0.086629,1.777204,0.127262,0.238354,0.5043,134.0000,0.7101,1.1142,74.0331,8.5696,12.3612,
0025345_session_1,rest_6_rest,0.049,1.212,15.000,0.026,0.007,3.886,5.528,0.121700,1.611700,0.247300,1.221900,0.100800,0.709800,0.000855,-0.009288,0.002165,0.002331,0.000213,0.009590,0.127700,2.272800,0.283100,1.305900,0.089500,1.427500,0.043616,0.453653,0.123077,0.153247,0.020735,0.425293,0.2043,33.0000,0.4519,0.5947,18.2320,7.8398,4.2629,
0025346_session_1,rest_6_rest,0.076,0.610,35.000,0.028,0.000,1.870,3.555,0.152700,0.951100,0.101200,0.920400,0.112000,0.441000,-0.000110,-0.000657,0.000045,0.000179,0.000522,0.000305,0.130100,1.362800,0.116900,1.199800,0.108100,0.464000,0.040711,0.086777,0.032275,0.112889,0.032327,0.059044,0.3560,141.0000,0.5966,0.6847,77.9006,9.1538,8.8106,
0025347_session_1,rest_6_rest,0.071,3.588,21.000,0.017,-0.029,4.092,5.854,0.167600,0.151900,0.308800,4.064400,0.771700,0.224000,-0.001803,-0.003727,0.001930,0.024777,-0.003341,0.001718,0.294100,0.606600,0.469300,4.502800,0.904600,0.259300,0.043873,0.144813,0.065049,0.280110,0.080733,0.093868,0.2293,70.0000,0.4789,0.4482,38.6740,7.1380,5.4183,
0025348_session_1,rest_6_rest,0.061,0.485,30.000,0.013,0.002,0.451,1.054,0.127200,0.236300,0.120900,0.485800,0.161900,0.203100,-0.000518,-0.000191,0.001945,-0.001687,-0.000215,-0.000417,0.091100,0.183600,0.218800,0.723500,0.172200,0.185000,0.022031,0.042711,0.053661,0.085436,0.052257,0.041858,0.2469,115.0000,0.4969,0.3828,63.5359,6.9741,6.3994,
0025349_session_1,rest_6_rest,0.047,0.758,16.000,0.016,-0.003,0.907,1.202,0.154600,0.222300,0.072400,0.874000,0.135300,0.168600,0.000216,-0.000841,0.000033,0.004490,-0.000521,0.000186,0.096800,0.194400,0.080900,0.868400,0.109900,0.090200,0.038338,0.046558,0.029887,0.096535,0.033104,0.034078,0.2359,97.0000,0.4857,0.4120,53.5912,7.1032,5.3067,
0025350_session_1,rest_6_rest,0.073,0.762,42.000,0.024,-0.003,1.571,2.059,0.190600,0.551400,0.119300,0.791400,0.154800,0.342800,0.000046,-0.000292,0.000429,0.005007,0.000660,0.000447,0.106000,0.706500,0.168900,0.886000,0.131400,0.316600,0.025479,0.089254,0.043732,0.111987,0.035186,0.062268,0.3112,135.0000,0.5579,0.5560,74.5856,7.8464,7.2660,
0025351_session_1,rest_6_rest,0.037,1.042,4.000,0.011,-0.006,1.387,1.593,0.040600,0.263400,0.056700,1.210500,0.059300,0.142000,-0.000420,-0.001249,0.000159,0.006473,-0.000147,-0.000823,0.059000,0.230900,0.070400,1.166100,0.053500,0.120300,0.021749,0.040396,0.025242,0.098386,0.016071,0.042003,0.1477,31.0000,0.3843,0.2553,17.1271,7.1592,3.6638,
0025352_session_1,rest_6_rest,0.058,0.939,19.000,0.018,-0.009,1.574,2.039,0.150700,0.326300,0.110000,1.275300,0.154200,0.187100,-0.000642,-0.003406,0.000113,0.006964,-0.000103,-0.001302,0.133700,0.505300,0.160500,1.227400,0.112100,0.204000,0.031597,0.065307,0.043586,0.113103,0.029014,0.055058,0.2943,151.0000,0.5425,0.4354,83.4254,8.4329,7.0351,
0025353_session_1,rest_6_rest,0.026,0.116,1.000,0.013,0.000,0.346,0.800,0.068800,0.148800,0.066300,0.189400,0.090300,0.064200,0.000126,0.001248,0.000840,-0.001897,0.000833,0.005197,0.071200,0.177500,0.149100,0.308400,0.219900,0.481600,0.021766,0.065547,0.031328,0.089459,0.043016,0.240785,0.1672,49.0000,0.4089,0.2507,27.0718,7.4081,3.5270,
0025354_session_1,rest_6_rest,0.049,0.803,21.000,0.017,-0.006,1.142,1.348,0.155200,0.258600,0.077100,0.885600,0.136500,0.181700,-0.000310,-0.000983,0.000239,0.004173,-0.000241,0.000071,0.120200,0.293200,0.120200,0.844400,0.134600,0.150400,0.036026,0.071060,0.039767,0.100923,0.037662,0.045518,0.2122,85.0000,0.4607,0.3918,46.9613,31.4398,4.8576,
0025356_session_1,rest_6_rest,0.162,1.131,95.000,0.061,-0.013,3.397,4.125,0.597700,1.954500,0.276300,1.635500,0.550100,0.775800,0.003408,0.000392,-0.002078,0.013392,0.002027,0.003702,0.744300,1.795000,0.277000,2.249900,0.650100,1.312900,0.094473,0.194185,0.065384,0.245072,0.175444,0.327189,0.7728,177.0000,0.8791,1.4465,97.7901,10.7542,17.3150,
0025357_session_1,rest_6_rest,0.113,1.912,60.000,0.045,-0.042,1.759,9.265,0.175500,1.111700,0.259600,2.607900,1.971500,0.422600,-0.000516,0.029315,0.001722,0.024632,-0.005349,0.000446,0.116100,4.421100,0.433800,3.895600,2.530500,0.419800,0.052731,0.909546,0.097980,0.562025,0.238770,0.148525,0.4422,132.0000,0.6650,1.0547,72.9282,8.1207,9.5682,
0025358_session_1,rest_6_rest,0.256,3.106,118.000,0.123,-0.052,4.637,11.045,0.614800,1.782400,1.255500,3.308100,2.102600,0.967000,0.002999,0.024657,0.001615,0.038668,-0.000675,0.002149,0.645800,4.087800,1.189500,6.253800,2.024500,0.710100,0.092130,0.660256,0.159061,1.161826,0.132730,0.188939,0.8890,170.0000,0.9428,2.4507,93.9227,12.6409,16.7784,
0025359_session_1,rest_6_rest,0.081,0.995,51.000,0.025,-0.011,0.862,2.941,0.288400,0.700700,0.133700,1.276100,0.256400,1.410800,0.001912,0.004531,0.003146,0.009950,0.004810,0.005257,0.312100,0.901200,0.358800,1.868700,0.866100,1.293300,0.074098,0.080178,0.147121,0.166143,0.239073,0.156348,0.4579,165.0000,0.6767,0.7990,91.1602,9.5893,12.6686,
0025360_session_1,rest_6_rest,0.984,49.701,16.000,0.209,0.322,80.629,80.861,10.718800,38.959300,18.769900,75.603500,6.987300,18.766600,-0.050621,-0.097950,-0.050153,-0.158921,0.000001,-0.000909,9.000000,20.959300,9.769900,45.604600,6.987300,18.766600,2.848332,5.878034,2.928405,9.954730,0.119238,0.251731,3.3341,89.0000,1.8260,12.9840,49.1713,39.3102,7.1036,
0025361_session_1,rest_6_rest,0.052,2.041,10.000,0.011,-0.032,2.213,6.571,0.140400,0.359600,0.187400,2.289600,0.708900,0.325000,-0.002279,-0.003246,0.003402,0.025931,-0.005707,0.002818,0.330900,0.813100,0.702200,4.714000,1.270000,0.493500,0.058196,0.145304,0.077543,0.381889,0.183234,0.221845,0.1509,15.0000,0.3884,0.3829,8.2873,6.2847,3.8246,
