Subject,Scan,Mean_Relative_RMS_Displacement,Max_Relative_RMS_Displacement,Movements_gt_threshold,Mean_Relative_Mean_Rotation,Mean_Relative_Maxdisp,Max_Relative_Maxdisp,Max_Abs_Maxdisp,Max_Relative_Roll,Max_Relative_Pitch,Max_Relative_Yaw,Max_Relative_dS-I,Max_Relative_dL-R,Max_Relative_dP-A,Mean_Relative_Roll,Mean_Relative_Pitch,Mean_Relative_Yaw,Mean_Relative_dS-I,Mean_Relative_dL-R,Mean_Relative_dP-A,Max_Abs_Roll,Max_Abs_Pitch,Max_Abs_Yaw,Max_Abs_dS-I,Max_Abs_dL-R,Max_Abs_dP-A,Mean_Abs_Roll,Mean_Abs_Pitch,Mean_Abs_Yaw,Mean_Abs_dS-I,Mean_Abs_dL-R,Mean_Abs_dP-A,MeanFD,NumFD_greater_than_0.20,rootMeanSquareFD,FDquartile(top1/4thFD),PercentFD_greater_than_0.20,MeanDVARS,MeanFD_Jenkinson
0026017_session_4,rest_2_rest,0.019,0.062,0.000,0.007,-0.001,0.131,0.442,0.056500,0.152300,0.079500,0.125900,0.062900,0.067700,-0.000776,0.002260,-0.000439,0.001222,-0.001864,0.001220,0.113300,0.202800,0.084400,0.154700,0.190000,0.228500,0.049325,0.056574,0.040125,0.051051,0.109635,0.061161,0.0971,2.0000,0.3116,0.1487,1.2821,23.4318,2.5256,
0026017_session_3,rest_2_rest,0.028,0.094,0.000,0.007,-0.001,0.135,0.483,0.041300,0.102900,0.068000,0.084300,0.032900,0.115600,-0.001079,0.000347,-0.001126,-0.001950,-0.001736,0.000119,0.112100,0.099000,0.108900,0.232400,0.193700,0.087400,0.044988,0.030692,0.041975,0.094023,0.071575,0.029804,0.1097,4.0000,0.3312,0.1653,2.5641,26.2692,3.1193,
0026017_session_7,rest_2_rest,0.024,0.159,1.000,0.006,-0.001,0.228,0.707,0.045000,0.108000,0.151500,0.101600,0.052800,0.234600,-0.001916,0.001963,-0.000265,-0.001182,-0.002520,-0.001697,0.178400,0.192500,0.126500,0.201800,0.228900,0.322300,0.086459,0.084805,0.016395,0.082319,0.109344,0.102404,0.0846,3.0000,0.2909,0.1499,1.9231,23.7777,2.0537,
0026017_session_2,rest_2_rest,0.024,0.079,0.000,0.004,-0.000,0.115,0.299,0.026800,0.039600,0.049500,0.084400,0.031600,0.092700,-0.000934,0.000598,-0.001137,-0.000353,-0.000522,-0.000870,0.095200,0.072900,0.107500,0.126600,0.063800,0.124700,0.041957,0.026241,0.057318,0.049431,0.019019,0.035974,0.0755,0.0000,0.2748,0.1151,0.0000,24.9707,2.0471,
0026017_session_10,rest_2_rest,0.028,0.151,1.000,0.005,-0.001,0.238,0.389,0.048400,0.084200,0.079600,0.154000,0.047900,0.128200,-0.000071,0.000867,-0.000956,-0.001112,-0.000680,0.000394,0.048900,0.164000,0.106800,0.197300,0.107100,0.106400,0.016596,0.064895,0.032973,0.077504,0.042727,0.033728,0.1066,6.0000,0.3264,0.1624,3.8462,24.5485,2.9191,
0026017_session_1,rest_2_rest,0.017,0.057,0.000,0.004,-0.000,0.067,0.259,0.027600,0.058500,0.020800,0.086600,0.022700,0.109200,-0.000237,0.001137,-0.000365,-0.000765,-0.000866,0.000450,0.035200,0.123500,0.046400,0.124400,0.088600,0.117000,0.012941,0.040614,0.018882,0.040416,0.030637,0.039164,0.1027,2.0000,0.3205,0.1578,1.2821,27.5612,2.9361,
0026017_session_6,rest_2_rest,0.021,0.078,0.000,0.004,0.002,0.087,0.708,0.038700,0.038800,0.016600,0.076700,0.041600,0.074800,-0.001307,0.001671,-0.001185,-0.001633,-0.002148,-0.002391,0.157400,0.193600,0.117900,0.211000,0.236800,0.260500,0.064037,0.067077,0.042027,0.086270,0.097645,0.089794,0.0777,0.0000,0.2787,0.1140,0.0000,22.3668,2.0651,
0026017_session_5,rest_2_rest,0.034,0.210,3.000,0.005,-0.001,0.249,0.411,0.069500,0.066800,0.025600,0.295900,0.071400,0.157500,0.000142,0.000764,0.000071,0.001132,0.000230,0.001351,0.069500,0.098100,0.024400,0.268300,0.109400,0.175200,0.017215,0.031736,0.008002,0.044734,0.023977,0.069150,0.0977,4.0000,0.3126,0.1517,2.5641,23.9675,2.6885,
0026017_session_8,rest_2_rest,0.026,0.175,2.000,0.004,0.001,0.194,0.643,0.095700,0.046800,0.046800,0.109800,0.075600,0.190600,-0.001092,0.002897,-0.001068,-0.001681,-0.001250,0.000705,0.103300,0.264700,0.104900,0.237100,0.104800,0.248600,0.034554,0.072188,0.031099,0.068012,0.036851,0.039292,0.0800,6.0000,0.2829,0.1424,3.8462,24.1397,2.2819,
0026017_session_9,rest_2_rest,0.020,0.064,0.000,0.003,0.001,0.078,0.404,0.024000,0.033400,0.017400,0.059300,0.024100,0.064400,-0.000865,0.001179,-0.000345,-0.001047,-0.001062,-0.000589,0.101700,0.097000,0.033200,0.160000,0.102400,0.099800,0.038175,0.037926,0.013280,0.050638,0.041958,0.028475,0.0573,0.0000,0.2394,0.0919,0.0000,23.7900,1.6283,
