Subject,Scan,Mean_Relative_RMS_Displacement,Max_Relative_RMS_Displacement,Movements_gt_threshold,Mean_Relative_Mean_Rotation,Mean_Relative_Maxdisp,Max_Relative_Maxdisp,Max_Abs_Maxdisp,Max_Relative_Roll,Max_Relative_Pitch,Max_Relative_Yaw,Max_Relative_dS-I,Max_Relative_dL-R,Max_Relative_dP-A,Mean_Relative_Roll,Mean_Relative_Pitch,Mean_Relative_Yaw,Mean_Relative_dS-I,Mean_Relative_dL-R,Mean_Relative_dP-A,Max_Abs_Roll,Max_Abs_Pitch,Max_Abs_Yaw,Max_Abs_dS-I,Max_Abs_dL-R,Max_Abs_dP-A,Mean_Abs_Roll,Mean_Abs_Pitch,Mean_Abs_Yaw,Mean_Abs_dS-I,Mean_Abs_dL-R,Mean_Abs_dP-A,MeanFD,NumFD_greater_than_0.20,rootMeanSquareFD,FDquartile(top1/4thFD),PercentFD_greater_than_0.20,MeanDVARS,MeanFD_Jenkinson
0026017_session_4,rest_7_rest,0.025,0.175,6.000,0.008,-0.001,0.499,0.709,0.193500,0.093900,0.063700,0.144500,0.216400,0.090200,-0.000513,0.001466,0.000113,-0.000808,-0.000566,-0.000169,0.219000,0.170700,0.064300,0.214900,0.316300,0.091100,0.035718,0.060107,0.017623,0.047730,0.058345,0.028797,0.1248,12.0000,0.3533,0.2104,7.6923,24.1022,3.2043,
0026017_session_3,rest_7_rest,0.027,0.124,2.000,0.005,0.001,0.124,0.351,0.028000,0.058700,0.027900,0.138300,0.048100,0.138000,-0.000777,0.000969,-0.000279,-0.000830,-0.001512,-0.000635,0.076500,0.116300,0.027100,0.154600,0.141900,0.138900,0.024503,0.043004,0.009927,0.049548,0.028757,0.051915,0.1087,5.0000,0.3297,0.1735,3.2051,26.4478,3.2469,
0026017_session_7,rest_7_rest,0.021,0.105,1.000,0.007,-0.001,0.117,0.388,0.078800,0.077900,0.031700,0.070700,0.097400,0.090500,0.000531,0.001025,0.000003,-0.000504,0.000632,-0.000295,0.065100,0.146800,0.035700,0.175700,0.096000,0.127100,0.025361,0.047823,0.012246,0.055188,0.032406,0.030644,0.0848,1.0000,0.2912,0.1245,0.6410,24.9687,2.0181,
0026017_session_2,rest_7_rest,0.015,0.083,0.000,0.003,-0.001,0.093,0.339,0.035200,0.039600,0.030900,0.118200,0.054500,0.088600,-0.000120,0.001220,-0.000306,0.000141,-0.000835,0.000331,0.041200,0.145600,0.042100,0.071800,0.117500,0.082900,0.018257,0.031877,0.012741,0.017777,0.036002,0.024370,0.0759,1.0000,0.2755,0.1191,0.6410,25.1215,2.0184,
0026017_session_10,rest_7_rest,0.030,0.193,1.000,0.006,-0.000,0.198,0.447,0.048900,0.060900,0.052200,0.193800,0.075500,0.128300,0.000268,0.001068,0.000458,-0.002710,0.000211,-0.001282,0.071500,0.148600,0.093700,0.276200,0.061900,0.166700,0.022331,0.056297,0.020730,0.131902,0.028884,0.054570,0.1088,5.0000,0.3298,0.1663,3.2051,25.2149,3.0484,
0026017_session_1,rest_7_rest,0.059,0.158,31.000,0.006,0.002,0.231,0.639,0.048500,0.064700,0.061600,0.148600,0.072600,0.123400,-0.000817,0.001169,-0.000819,-0.003170,-0.001295,-0.001197,0.077800,0.109500,0.100100,0.477200,0.121600,0.174800,0.025659,0.034424,0.029319,0.127009,0.033552,0.056478,0.1314,17.0000,0.3625,0.2066,10.8974,27.8376,3.9866,
0026017_session_6,rest_7_rest,0.027,0.218,3.000,0.006,0.001,0.163,0.664,0.043300,0.072100,0.033700,0.293200,0.060100,0.106700,-0.001732,0.002540,0.001888,0.000333,-0.001577,0.000592,0.199900,0.214300,0.176800,0.300900,0.160900,0.132200,0.089402,0.088352,0.082299,0.052552,0.084642,0.043522,0.1135,7.0000,0.3369,0.1759,4.4872,25.1322,3.1526,
0026017_session_5,rest_7_rest,0.029,0.197,3.000,0.004,-0.001,0.234,0.327,0.065300,0.048100,0.021800,0.213200,0.041900,0.124600,-0.001003,0.000277,-0.000568,0.000540,-0.000975,-0.001107,0.101000,0.080800,0.058900,0.206300,0.101800,0.128000,0.028601,0.021193,0.017452,0.066235,0.027606,0.048735,0.0974,8.0000,0.3121,0.1586,5.1282,25.5256,2.6709,
0026017_session_8,rest_7_rest,0.027,0.123,1.000,0.005,-0.001,0.211,0.556,0.070500,0.062100,0.028900,0.091800,0.079400,0.121500,-0.000861,0.001258,-0.000857,-0.002584,-0.000981,-0.000138,0.116400,0.111900,0.085900,0.279700,0.150500,0.125500,0.050091,0.044005,0.037279,0.103848,0.034890,0.024712,0.0971,4.0000,0.3115,0.1616,2.5641,25.8547,2.6292,
0026017_session_9,rest_7_rest,0.025,0.123,4.000,0.007,0.001,0.155,0.336,0.041400,0.060700,0.053000,0.147100,0.055100,0.093800,0.000199,0.000803,0.000116,0.000211,0.000236,-0.000129,0.076800,0.100800,0.097600,0.192200,0.101700,0.070500,0.025054,0.029771,0.037164,0.052117,0.035430,0.022687,0.0983,13.0000,0.3135,0.1728,8.3333,26.0113,2.6639,
