Subject,Scan,Mean_Relative_RMS_Displacement,Max_Relative_RMS_Displacement,Movements_gt_threshold,Mean_Relative_Mean_Rotation,Mean_Relative_Maxdisp,Max_Relative_Maxdisp,Max_Abs_Maxdisp,Max_Relative_Roll,Max_Relative_Pitch,Max_Relative_Yaw,Max_Relative_dS-I,Max_Relative_dL-R,Max_Relative_dP-A,Mean_Relative_Roll,Mean_Relative_Pitch,Mean_Relative_Yaw,Mean_Relative_dS-I,Mean_Relative_dL-R,Mean_Relative_dP-A,Max_Abs_Roll,Max_Abs_Pitch,Max_Abs_Yaw,Max_Abs_dS-I,Max_Abs_dL-R,Max_Abs_dP-A,Mean_Abs_Roll,Mean_Abs_Pitch,Mean_Abs_Yaw,Mean_Abs_dS-I,Mean_Abs_dL-R,Mean_Abs_dP-A,MeanFD,NumFD_greater_than_0.20,rootMeanSquareFD,FDquartile(top1/4thFD),PercentFD_greater_than_0.20,MeanDVARS,MeanFD_Jenkinson
3201815_session_1,rest_1400_1_rest,0.080,0.355,117.000,0.009,-0.000,0.384,1.262,0.051000,0.158900,0.056900,0.223000,0.035800,0.537900,-0.000188,0.002283,0.000207,-0.000448,-0.000168,-0.000618,0.105000,0.571500,0.077600,0.316300,0.120200,0.530800,0.022762,0.286966,0.028548,0.118252,0.044639,0.151245,0.1904,143.0000,0.4363,0.3709,35.3086,30.4080,7.3033,
0021001_session_1,rest_1400_1_rest,0.090,0.402,150.000,0.029,-0.000,0.919,1.717,0.117300,1.128400,0.184300,0.438400,0.196500,0.545800,0.000105,0.002197,0.000727,-0.000850,0.000451,-0.000213,0.146800,0.781700,0.277800,0.466500,0.241200,0.613100,0.037340,0.246473,0.089223,0.131547,0.068148,0.145102,0.3718,311.0000,0.6097,0.6825,76.7901,47.3297,9.9326,
0021002_session_1,rest_1400_1_rest,0.014,0.095,0.000,0.012,-0.001,0.347,0.904,0.058200,0.166600,0.032600,0.076300,0.092600,0.138200,-0.000297,-0.001066,-0.000331,0.000995,-0.000174,0.000576,0.137500,0.340200,0.110500,0.265000,0.114300,0.180600,0.051984,0.086945,0.036865,0.087885,0.037587,0.048215,0.1149,15.0000,0.3390,0.1800,3.7129,23.8965,2.9203,
0021018_session_1,rest_1400_1_rest,0.030,0.098,0.000,0.005,-0.002,0.163,1.135,0.018900,0.041800,0.015600,0.085500,0.013300,0.252700,-0.000307,0.001492,0.000045,-0.001223,-0.000434,0.000109,0.110900,0.417100,0.049300,0.449700,0.120700,0.138700,0.026851,0.138329,0.021128,0.101564,0.042452,0.063820,0.1695,155.0000,0.4117,0.2533,38.3663,25.4838,6.8197,
2475376_session_1,rest_1400_1_rest,0.049,0.283,45.000,0.008,-0.000,0.370,0.600,0.032400,0.148900,0.061500,0.206000,0.077700,0.416200,-0.000053,0.000113,-0.000113,-0.000029,-0.000187,0.000076,0.063400,0.242000,0.071100,0.349100,0.087200,0.269700,0.018291,0.064094,0.018700,0.071689,0.037672,0.069412,0.1625,121.0000,0.4031,0.2752,29.8765,28.0905,5.9263,
1427581_session_1,rest_1400_1_rest,0.040,0.464,26.000,0.019,0.006,4.280,4.661,0.516600,2.581200,1.089000,0.183000,0.283700,0.936600,0.001099,-0.003218,0.001515,0.000755,0.000712,-0.000013,0.632500,2.514000,0.940700,0.249100,0.269500,0.649300,0.144291,0.477753,0.182900,0.082520,0.065556,0.071506,0.1917,94.0000,0.4378,0.4128,23.2099,29.2927,5.6379,
1961098_session_1,rest_1400_1_rest,0.081,0.533,134.000,0.014,-0.001,1.171,2.496,0.133100,0.771400,0.227300,0.662900,0.200000,0.438100,-0.000109,-0.000679,-0.000113,-0.002951,0.000101,0.001000,0.330100,0.906600,0.224300,1.021500,0.131400,0.387900,0.091495,0.253524,0.062622,0.152407,0.043460,0.103920,0.2259,195.0000,0.4753,0.4220,48.1481,29.7494,7.4455,
1793622_session_1,rest_1400_1_rest,0.106,0.383,175.000,0.015,-0.003,0.529,1.473,0.056300,0.156200,0.079000,0.403900,0.030400,0.356600,0.000064,0.001026,0.000224,-0.002135,0.000165,-0.000215,0.041900,0.336500,0.101900,0.867700,0.057300,0.260500,0.013508,0.139811,0.026387,0.260631,0.016789,0.068821,0.2582,238.0000,0.5081,0.4543,58.7654,33.7583,8.1970,
0021024_session_1,rest_1400_1_rest,0.079,0.499,110.000,0.014,-0.001,0.460,2.049,0.087600,0.289000,0.122800,0.513800,0.139300,0.239500,-0.000239,0.000476,-0.001190,-0.003053,-0.001418,0.000088,0.143600,0.582300,0.386800,1.678200,0.357800,0.345600,0.041015,0.188318,0.177296,0.508133,0.200849,0.078800,0.2428,219.0000,0.4927,0.4464,54.2079,32.7695,6.7468,
0021006_session_1,rest_1400_1_rest,0.035,0.158,21.000,0.007,0.000,0.338,0.646,0.033600,0.113100,0.042900,0.144600,0.041900,0.306800,-0.000203,0.000543,0.000145,-0.000163,0.000188,-0.000218,0.063600,0.232100,0.092600,0.286100,0.052300,0.214200,0.021447,0.085640,0.021615,0.109169,0.019839,0.059512,0.1478,87.0000,0.3844,0.2461,21.4815,30.8043,4.9951,
