,dvars,mean_fd,num_fd,outlier,perc_fd,quality,scan,session,subject
0,1.2477103184717142,,,0.00615916666666667,,0.0023393817749999984,2500,2,0021001
1,1.114455620524801,,,0.007229999999999997,,0.005423839000000001,2500,2,0021002
2,1.16098859465022,,,0.005643583333333333,,0.0037799357500000004,2500,2,0021006
3,1.0276104890797226,,,0.001452499999999997,,0.004176435833333335,2500,2,0021018
4,1.1649502043879811,,,0.0011925000000000002,,0.002230116749999999,2500,2,0021024
5,1.0559778906581576,,,0.0026230833333333336,,0.002852216458333334,2500,2,1427581
6,1.257147269839452,,,0.002709416666666667,,0.004015270083333332,2500,2,1793622
7,1.1101052869752708,,,0.0018854166666666668,,0.0024745092500000005,2500,2,1961098
8,1.2334007381324787,,,0.00633925,,0.0035710986666666667,2500,2,2475376
9,1.1636911697426078,,,0.0037814999999999993,,0.006282550249999999,2500,2,2799329
10,1.273054013046317,,,0.0015466666666666671,,0.006567404666666667,2500,2,2842950
11,1.1872778468268554,,,0.0011016666666666664,,0.005779471333333336,2500,2,3201815
12,1.1331850273235022,,,0.006198500000000002,,0.005400408166666666,2500,2,3313349
13,1.1134338239741006,,,0.001838,,0.0027217249166666666,2500,2,3315657
14,1.267367007700531,,,0.0020426666666666675,,0.003673169,2500,2,3795193
15,1.0983723470954438,,,0.0012701666666666668,,0.0021027441750000003,2500,2,3808535
16,1.252923412499219,,,0.002601916666666667,,0.0051394287499999984,2500,2,3893245
17,1.2170590743971783,,,0.002569166666666666,,0.006378426583333334,2500,2,4176156
18,1.1928824646754501,,,0.004881666666666676,,0.0038661931666666687,2500,2,4288245
19,1.20575805832823,,,0.0016770833333333325,,0.00419164275,2500,2,7055197
20,1.1236149929651562,,,0.0015775000000000006,,0.004262077249999999,2500,2,8574662
21,1.2327621781675517,,,0.001964166666666667,,0.005262170249999999,2500,2,8735778
22,1.2006800613820632,,,0.0018745833333333327,,0.0016450119749999994,2500,2,9630905
