Subject,Scan,Mean_Relative_RMS_Displacement,Max_Relative_RMS_Displacement,Movements_gt_threshold,Mean_Relative_Mean_Rotation,Mean_Relative_Maxdisp,Max_Relative_Maxdisp,Max_Abs_Maxdisp,Max_Relative_Roll,Max_Relative_Pitch,Max_Relative_Yaw,Max_Relative_dS-I,Max_Relative_dL-R,Max_Relative_dP-A,Mean_Relative_Roll,Mean_Relative_Pitch,Mean_Relative_Yaw,Mean_Relative_dS-I,Mean_Relative_dL-R,Mean_Relative_dP-A,Max_Abs_Roll,Max_Abs_Pitch,Max_Abs_Yaw,Max_Abs_dS-I,Max_Abs_dL-R,Max_Abs_dP-A,Mean_Abs_Roll,Mean_Abs_Pitch,Mean_Abs_Yaw,Mean_Abs_dS-I,Mean_Abs_dL-R,Mean_Abs_dP-A,MeanFD,NumFD_greater_than_0.20,rootMeanSquareFD,FDquartile(top1/4thFD),PercentFD_greater_than_0.20,MeanDVARS,MeanFD_Jenkinson
3201815_session_1,rest_2500_1_rest,0.016,0.122,2.000,0.004,0.002,0.215,0.928,0.040700,0.128200,0.010300,0.052500,0.016800,0.127200,-0.001366,0.005540,-0.000496,-0.001161,-0.002002,-0.005987,0.104500,0.414800,0.058500,0.134800,0.139600,0.370300,0.031711,0.153907,0.013404,0.066310,0.050490,0.165258,0.0436,1.0000,0.2088,0.0871,0.8264,10.1893,1.2069,
0021001_session_1,rest_2500_1_rest,0.030,0.351,5.000,0.009,0.001,0.745,1.043,0.049000,0.303400,0.042200,0.356300,0.056500,0.156500,0.000426,0.000616,0.001617,0.003652,0.001276,-0.001724,0.060900,0.307900,0.182200,0.513300,0.125000,0.184300,0.024032,0.095795,0.051204,0.143711,0.041234,0.058300,0.0981,12.0000,0.3133,0.2149,9.9174,15.8262,2.4791,
0021002_session_1,rest_2500_1_rest,0.012,0.052,0.000,0.007,-0.003,0.183,0.632,0.058100,0.103200,0.022700,0.048400,0.050700,0.064000,-0.000322,-0.003740,0.000166,-0.000015,0.000259,0.001668,0.140300,0.336200,0.042300,0.096400,0.074100,0.146300,0.077818,0.143537,0.013697,0.033193,0.032652,0.060108,0.0619,2.0000,0.2487,0.1172,1.6529,11.1331,1.1423,
0021018_session_1,rest_2500_1_rest,0.015,0.052,0.000,0.005,0.004,0.091,1.499,0.022000,0.040000,0.012500,0.043500,0.013300,0.090500,-0.000581,0.009766,-0.000226,-0.006487,0.000005,-0.003667,0.065500,0.703500,0.031700,0.455100,0.021600,0.254800,0.026267,0.246590,0.009288,0.183635,0.008790,0.096391,0.0516,0.0000,0.2271,0.0835,0.0000,8.0755,1.3230,
2475376_session_1,rest_2500_1_rest,0.023,0.115,3.000,0.005,0.000,0.140,0.514,0.027100,0.107500,0.047000,0.145700,0.068600,0.235900,0.000628,0.001773,0.000376,-0.002714,0.000564,-0.002430,0.058200,0.146600,0.061000,0.291200,0.072300,0.182300,0.022140,0.066858,0.022176,0.137795,0.030992,0.056072,0.0716,4.0000,0.2676,0.1393,3.3058,11.6711,1.9168,
1427581_session_1,rest_2500_1_rest,0.018,0.147,3.000,0.006,-0.005,0.238,0.920,0.019000,0.083200,0.036200,0.143300,0.019000,0.248200,-0.000892,-0.003738,0.000006,-0.000642,-0.000032,-0.001472,0.083300,0.406900,0.067800,0.188800,0.028500,0.184300,0.031320,0.048635,0.016487,0.052093,0.009930,0.035708,0.0641,4.0000,0.2532,0.1291,3.3058,9.8372,1.7685,
1961098_session_1,rest_2500_1_rest,0.015,0.054,0.000,0.004,0.000,0.164,0.380,0.030800,0.091000,0.025600,0.072800,0.017900,0.066900,-0.000576,0.000880,0.000980,0.000543,0.000307,-0.001106,0.092600,0.129100,0.087300,0.193700,0.040000,0.089200,0.014032,0.039919,0.027947,0.059943,0.011314,0.032949,0.0580,0.0000,0.2407,0.0972,0.0000,11.0490,1.4456,
1793622_session_1,rest_2500_1_rest,0.068,0.478,20.000,0.016,0.003,0.663,1.294,0.029300,0.142600,0.049600,0.514500,0.027400,0.243000,-0.000020,0.003057,0.001345,-0.005730,0.000297,-0.002863,0.025100,0.329400,0.105700,0.841300,0.047700,0.278600,0.006376,0.101366,0.035258,0.249964,0.013955,0.077834,0.1954,46.0000,0.4420,0.3810,38.0165,15.5052,6.0302,
0021024_session_1,rest_2500_1_rest,0.026,0.077,0.000,0.009,-0.002,0.164,0.889,0.073100,0.063500,0.037200,0.093300,0.065900,0.110200,-0.000913,0.003608,0.002277,-0.002729,0.001750,-0.002077,0.065500,0.295100,0.190300,0.287500,0.171300,0.197200,0.016913,0.108507,0.068887,0.142259,0.053895,0.039635,0.1013,1.0000,0.3183,0.1546,0.8264,13.4511,2.5161,
0021006_session_1,rest_2500_1_rest,0.042,0.232,11.000,0.008,-0.002,0.232,0.618,0.039000,0.110000,0.056600,0.173800,0.051500,0.284000,-0.000182,-0.001012,-0.000118,0.003655,0.000447,-0.003194,0.070000,0.136100,0.069800,0.395400,0.060600,0.314300,0.028197,0.043976,0.025170,0.159774,0.015982,0.101770,0.1477,25.0000,0.3844,0.2580,20.6612,18.0210,4.4786,
