Subject,Scan,Mean_Relative_RMS_Displacement,Max_Relative_RMS_Displacement,Movements_gt_threshold,Mean_Relative_Mean_Rotation,Mean_Relative_Maxdisp,Max_Relative_Maxdisp,Max_Abs_Maxdisp,Max_Relative_Roll,Max_Relative_Pitch,Max_Relative_Yaw,Max_Relative_dS-I,Max_Relative_dL-R,Max_Relative_dP-A,Mean_Relative_Roll,Mean_Relative_Pitch,Mean_Relative_Yaw,Mean_Relative_dS-I,Mean_Relative_dL-R,Mean_Relative_dP-A,Max_Abs_Roll,Max_Abs_Pitch,Max_Abs_Yaw,Max_Abs_dS-I,Max_Abs_dL-R,Max_Abs_dP-A,Mean_Abs_Roll,Mean_Abs_Pitch,Mean_Abs_Yaw,Mean_Abs_dS-I,Mean_Abs_dL-R,Mean_Abs_dP-A,MeanFD,NumFD_greater_than_0.20,rootMeanSquareFD,FDquartile(top1/4thFD),PercentFD_greater_than_0.20,MeanDVARS,MeanFD_Jenkinson
0026017_session_4,rest_10_rest,0.030,0.231,4.000,0.011,0.000,0.306,1.102,0.168000,0.091200,0.105400,0.182000,0.199500,0.188400,0.001670,0.001299,0.000496,-0.000129,0.002658,0.002024,0.361900,0.206500,0.256500,0.228500,0.411700,0.330400,0.132375,0.078656,0.101522,0.057034,0.176212,0.096807,0.1266,23.0000,0.3558,0.2401,14.7436,23.9087,3.0282,
0026017_session_3,rest_10_rest,0.023,0.067,0.000,0.007,-0.001,0.105,0.318,0.042800,0.067400,0.028100,0.074900,0.046900,0.094600,0.001086,0.000203,0.000616,0.000497,0.001067,0.000225,0.120400,0.065000,0.052300,0.122500,0.122900,0.127100,0.022992,0.022022,0.012315,0.030115,0.031299,0.035775,0.0894,1.0000,0.2990,0.1427,0.6410,26.4713,2.2628,
0026017_session_7,rest_10_rest,0.028,0.127,1.000,0.006,-0.003,0.169,0.678,0.036300,0.055000,0.059800,0.125000,0.059900,0.124900,-0.000888,-0.000003,0.000155,-0.000899,-0.002563,0.002245,0.150000,0.064800,0.059900,0.215400,0.358100,0.263200,0.040237,0.020766,0.024780,0.038688,0.099006,0.105468,0.0907,2.0000,0.3011,0.1438,1.2821,25.5326,2.2698,
0026017_session_2,rest_10_rest,0.020,0.167,1.000,0.005,-0.000,0.245,0.325,0.041200,0.068200,0.034100,0.137000,0.039200,0.150300,-0.000668,-0.000268,-0.001036,0.000794,-0.000488,-0.000406,0.070700,0.080000,0.100300,0.143100,0.084300,0.129000,0.029132,0.017476,0.055262,0.032593,0.030083,0.029999,0.0772,4.0000,0.2778,0.1378,2.5641,25.5529,2.0144,
0026017_session_10,rest_10_rest,0.037,0.143,4.000,0.006,0.003,0.189,0.685,0.030900,0.068400,0.047400,0.121500,0.048100,0.149300,0.000334,0.001773,0.001334,-0.001316,0.000344,-0.001623,0.072300,0.243800,0.196600,0.199000,0.123800,0.203700,0.027024,0.093455,0.079865,0.072018,0.048266,0.085041,0.1043,3.0000,0.3230,0.1492,1.9231,25.4779,3.0166,
0026017_session_1,rest_10_rest,0.023,0.118,2.000,0.005,-0.000,0.118,0.342,0.043900,0.057800,0.071800,0.108600,0.024800,0.126100,-0.000440,0.000723,-0.000475,-0.000973,-0.000793,-0.000328,0.078800,0.071400,0.097900,0.238000,0.142000,0.104500,0.030379,0.022530,0.024681,0.054048,0.047312,0.030719,0.1134,11.0000,0.3367,0.1909,7.0513,27.2977,3.3352,
0026017_session_6,rest_10_rest,0.024,0.117,3.000,0.004,-0.001,0.127,0.480,0.045700,0.067100,0.018700,0.157200,0.056200,0.107700,-0.000221,-0.001038,-0.001779,-0.000421,-0.000567,0.001532,0.066800,0.139400,0.148600,0.253400,0.113700,0.228500,0.015440,0.049162,0.075732,0.048045,0.025634,0.040721,0.0772,7.0000,0.2779,0.1349,4.4872,23.9717,2.1553,
0026017_session_5,rest_10_rest,0.029,0.096,0.000,0.006,-0.000,0.233,0.390,0.090800,0.084100,0.041500,0.228400,0.062400,0.114200,-0.000823,0.000460,-0.000936,0.000781,-0.000656,-0.000279,0.084000,0.094300,0.092100,0.158100,0.099300,0.099800,0.028627,0.018432,0.044180,0.041406,0.029549,0.026195,0.1122,8.0000,0.3350,0.1862,5.1282,25.7763,2.8580,
0026017_session_8,rest_10_rest,0.023,0.106,2.000,0.005,-0.000,0.186,0.341,0.028300,0.042100,0.025700,0.070000,0.035000,0.148100,-0.000073,0.001114,0.000284,-0.000703,-0.000677,-0.000083,0.079000,0.112500,0.073200,0.156700,0.114700,0.116600,0.022475,0.037149,0.027078,0.042781,0.037906,0.028877,0.0881,1.0000,0.2969,0.1400,0.6410,26.1310,2.4952,
0026017_session_9,rest_10_rest,0.012,0.073,0.000,0.003,-0.000,0.073,0.313,0.041900,0.063800,0.029000,0.103600,0.054100,0.089300,-0.000734,0.000819,-0.000999,-0.000477,-0.001081,0.000566,0.082000,0.067700,0.089800,0.155900,0.130300,0.072100,0.028757,0.023683,0.043422,0.041901,0.054757,0.020135,0.0715,2.0000,0.2674,0.1221,1.2821,25.7462,1.9987,
