Subject,Scan,Mean_Relative_RMS_Displacement,Max_Relative_RMS_Displacement,Movements_gt_threshold,Mean_Relative_Mean_Rotation,Mean_Relative_Maxdisp,Max_Relative_Maxdisp,Max_Abs_Maxdisp,Max_Relative_Roll,Max_Relative_Pitch,Max_Relative_Yaw,Max_Relative_dS-I,Max_Relative_dL-R,Max_Relative_dP-A,Mean_Relative_Roll,Mean_Relative_Pitch,Mean_Relative_Yaw,Mean_Relative_dS-I,Mean_Relative_dL-R,Mean_Relative_dP-A,Max_Abs_Roll,Max_Abs_Pitch,Max_Abs_Yaw,Max_Abs_dS-I,Max_Abs_dL-R,Max_Abs_dP-A,Mean_Abs_Roll,Mean_Abs_Pitch,Mean_Abs_Yaw,Mean_Abs_dS-I,Mean_Abs_dL-R,Mean_Abs_dP-A,MeanFD,NumFD_greater_than_0.20,rootMeanSquareFD,FDquartile(top1/4thFD),PercentFD_greater_than_0.20,MeanDVARS,MeanFD_Jenkinson
0026017_session_4,rest_5_rest,0.025,0.174,3.000,0.007,-0.001,0.185,0.488,0.028100,0.067300,0.032600,0.160900,0.050700,0.097800,-0.000101,0.001173,-0.000441,0.001405,0.000047,0.000295,0.089100,0.123800,0.070200,0.413900,0.122100,0.223400,0.022886,0.023493,0.021865,0.076897,0.035022,0.077472,0.1094,7.0000,0.3308,0.1736,4.4872,24.6125,2.9120,
0026017_session_3,rest_5_rest,0.020,0.089,0.000,0.007,0.001,0.104,0.569,0.046500,0.085400,0.046400,0.165800,0.045800,0.131200,0.001530,0.000223,0.001116,0.000413,0.002143,-0.000246,0.185600,0.082200,0.140700,0.207000,0.278100,0.153500,0.072515,0.022800,0.048501,0.078418,0.131891,0.042812,0.1080,8.0000,0.3286,0.1774,5.1282,26.5462,2.9176,
0026017_session_7,rest_5_rest,0.018,0.145,1.000,0.004,0.001,0.210,0.561,0.032800,0.081400,0.040400,0.154400,0.049900,0.083300,-0.000795,0.001062,0.000492,-0.001547,-0.002307,-0.001165,0.063600,0.133500,0.073900,0.279800,0.201600,0.204300,0.024790,0.060337,0.031079,0.086536,0.077409,0.056383,0.0727,1.0000,0.2696,0.1134,0.6410,24.5759,1.6414,
0026017_session_2,rest_5_rest,0.020,0.092,0.000,0.005,0.000,0.180,0.272,0.035100,0.036400,0.030700,0.104700,0.041300,0.090300,-0.000401,0.001002,-0.000719,-0.000600,-0.000009,-0.000306,0.069100,0.089000,0.094500,0.104900,0.085300,0.088000,0.020343,0.041328,0.029219,0.033115,0.018782,0.021765,0.0731,2.0000,0.2704,0.1192,1.2821,24.5060,1.9626,
0026017_session_10,rest_5_rest,0.027,0.188,3.000,0.006,0.000,0.198,0.298,0.050400,0.044800,0.035600,0.197200,0.055700,0.150900,0.000288,-0.000243,0.000066,0.000686,0.000606,0.000147,0.072100,0.073600,0.083500,0.188100,0.095200,0.133300,0.023672,0.027174,0.027110,0.031356,0.030352,0.030215,0.1025,7.0000,0.3202,0.1672,4.4872,25.3935,2.9952,
0026017_session_1,rest_5_rest,0.023,0.089,0.000,0.006,-0.001,0.111,0.437,0.047000,0.097800,0.070900,0.125400,0.034900,0.135300,-0.001154,-0.000405,-0.000533,0.000461,-0.001149,-0.000342,0.145800,0.087300,0.113200,0.181500,0.106100,0.101900,0.056225,0.031883,0.023608,0.046029,0.056555,0.038428,0.1299,16.0000,0.3604,0.2007,10.2564,27.2160,4.0363,
0026017_session_6,rest_5_rest,0.021,0.092,0.000,0.004,0.002,0.175,0.598,0.039900,0.064200,0.020700,0.084000,0.058200,0.092400,-0.000649,0.001445,-0.001145,-0.001853,-0.001368,-0.000127,0.070100,0.145800,0.098600,0.328000,0.111500,0.089500,0.017443,0.032756,0.039404,0.077219,0.026438,0.023772,0.0739,1.0000,0.2718,0.1188,0.6410,23.0977,2.0625,
0026017_session_5,rest_5_rest,0.026,0.200,2.000,0.005,-0.001,0.201,0.302,0.049300,0.046500,0.017200,0.220300,0.045100,0.169600,0.000574,0.001247,0.000594,0.000326,0.000745,0.000506,0.070800,0.117300,0.054600,0.180400,0.072000,0.187600,0.016934,0.048650,0.022634,0.035437,0.024123,0.027886,0.0863,2.0000,0.2938,0.1421,1.2821,24.4316,2.4629,
0026017_session_8,rest_5_rest,0.019,0.080,0.000,0.006,0.000,0.107,0.394,0.030000,0.060200,0.024200,0.079900,0.047000,0.094100,0.000370,0.001931,-0.000886,-0.001161,0.000016,0.000212,0.046900,0.158000,0.076900,0.140500,0.054500,0.094100,0.016814,0.082562,0.033507,0.046860,0.016658,0.023184,0.0850,0.0000,0.2916,0.1384,0.0000,24.9788,2.3902,
0026017_session_9,rest_5_rest,0.022,0.105,1.000,0.003,0.001,0.132,0.748,0.023500,0.094200,0.021200,0.316600,0.045800,0.084000,-0.000217,0.003482,0.000003,-0.003316,-0.000754,-0.000253,0.038600,0.286200,0.026600,0.290400,0.096400,0.114100,0.017172,0.149371,0.010337,0.156412,0.040457,0.018668,0.0715,2.0000,0.2675,0.1228,1.2821,24.8447,2.0111,
