,Unnamed: 0,bg_mean,bg_size,bg_std,cnr,csf_mean,csf_size,csf_std,efc,fber,fg_mean,fg_size,fg_std,fwhm,fwhm_x,fwhm_y,fwhm_z,ghost_x,ghost_y,ghost_z,gm_mean,gm_size,gm_std,scan,session,snr,subject,wm_mean,wm_size,wm_std
0,0.0,66.12556519202359,648875,89.2083245583735,,,,,0.5104527500717928,75.22545580486505,923.5120644383886,153941,273.498370335514,2.8870001720786203,2.679575,3.071585183080744,2.9235651742580635,-0.012755374653540149,0.05693637742345136,,,,,1400,2,10.35230813951772,1427581,,,
1,1.0,83.26902567007309,611938,102.44757551740177,,,,,0.5576532886240608,51.23229983226761,885.5017507783307,190878,330.04531493227006,3.1213349999999997,2.834845,3.23983,3.311085,-0.010853390274252807,0.07695418674658527,,,,,1400,2,8.643462242090049,1793622,,,
2,2.0,65.57508214018152,640206,76.00606092640467,,,,,0.5171534601108968,93.84874064474373,929.9365301286681,162610,284.6192382124638,2.9510151758942116,2.715345,3.1633601885509597,2.991855178328465,-0.007323235632689215,0.04053483570181346,,,,,1400,2,12.235031243483453,1961098,,,
3,3.0,75.45190573922626,629628,93.289127402684,,,,,0.5390544121978745,62.05499312095103,895.7613904901109,173188,302.21715914004164,2.848835,2.5889349999999998,2.98496,2.99187,-0.004421292719082508,0.05000121518055225,,,,,1400,2,9.60199130841414,2475376,,,
4,4.0,76.5107927350818,629326,100.39555662942793,,,,,0.5420495762355603,53.903581005918554,881.4467825789267,173490,286.61566149828,2.94925,2.658465,3.17951,3.0349,-0.018012816677469002,0.07283439513110046,,,,,1400,2,8.77973898618295,2799329,,,
5,5.0,85.98238608911791,636779,122.55844660006196,,,,,0.5213199146605834,51.99171411124546,1003.4791652504581,166037,398.1641758354867,3.3264901982742674,3.19691,3.4272952042827134,3.359510200242412,-0.030750213593094895,0.08441478679680876,,,,,1400,2,8.187760151081669,2842950,,,
6,6.0,81.67765865471384,622741,108.89415205144708,,,,,0.5367650206376136,58.248892730266654,975.3541373353042,180075,357.86869160384816,2.887225,2.814015,2.88365,2.966015,-0.005714106652082558,0.06186212967249584,,,,,1400,2,8.956900981004912,3201815,,,
7,7.0,61.50464843746086,665383,85.21221215992075,,,,,0.4812123734734392,95.51962986384972,985.7537572838693,137433,288.09405068984904,2.879235,2.740825,2.999085,2.90377,-0.007011974509155704,0.03870782733482743,,,,,1400,2,11.568221646844124,3313349,,,
8,8.0,94.77607809619978,611497,125.75554910590692,,,,,0.5297253329836991,74.16478824520516,1263.4677358502934,191319,492.8818111133948,3.6492652175131566,3.533805,3.8395302288538353,3.581750426977924,-0.023772552909858826,0.07514245394698954,,,,,1400,2,10.047013788522726,3315657,,,
9,9.0,88.48900505083654,606667,110.45179865976137,,,,,0.5510934284535206,62.159056822806704,1048.5100554138885,196149,381.4762910969348,3.3005699999999996,3.048005,3.430485,3.43871,-0.018415329334417332,0.07243809302091155,,,,,1400,2,9.492919700146725,3795193,,,
10,10.0,88.82059419053591,616688,108.37539124103168,,,,,0.5433253617980294,62.08526722269973,1031.6841654785726,186128,393.09168412439936,3.0802549999999997,2.68973,3.4487900000000002,3.1505351877865313,-0.014365700301425628,0.07244547990868305,,,,,1400,2,9.519542708584657,3808535,,,
11,11.0,101.74708191644136,596591,127.25180997744735,,,,,0.5751614002599154,43.89463801722422,1012.2581715396767,206225,374.4474842990204,3.20254,2.9338349999999997,3.3307800000000003,3.3612599999999997,-0.01866163268180454,0.09845595269682114,,,,,1400,2,7.95476442904095,3893245,,,
12,12.0,76.16567147520286,640472,95.96854060400145,,,,,0.5246673236171475,66.36543063561292,943.609587536376,162344,325.5478099545083,2.9843651778820264,2.71984,3.1183001858651744,3.13397018679918,-0.02070613147250875,0.06260361873255144,,,,,1400,2,9.832488663446776,4176156,,,
13,13.0,95.18990847659781,639522,130.8863072373197,,,,,0.5415250567762474,40.730758845889795,974.1266400990168,163294,343.4592665680204,3.0621,2.8057849999999998,3.240275,3.15807,-0.02996241014716365,0.08614942169657627,,,,,1400,2,7.442540481585713,4288245,,,
14,14.0,70.37596627338426,643054,91.86447642688213,,,,,0.503471462605271,92.1421251226659,1056.46216798719,159762,343.54875250378797,3.14367,2.9654,3.2935300000000005,3.181015,-0.0038890714389884814,0.04131419710129591,,,,,1400,2,11.500225213040451,7055197,,,
15,15.0,82.19046180594741,632347,104.15760763698124,,,,,0.5376989827285084,58.57258040240287,963.1880031101642,170469,321.97251014211264,3.01638,2.815745,3.136705,3.107365,-0.0037313761559489866,0.0548654662007055,,,,,1400,2,9.247409046366991,8574662,,,
16,16.0,72.00026173461895,643863,93.6569499840143,,,,,0.5123903777030511,72.9496292676467,949.8135142525456,158953,340.90655201992536,3.1508601878059026,2.85006,3.423825204075885,3.205690191074025,-0.012126728723266115,0.06017103407244704,,,,,1400,2,10.141409841070663,8735778,,,
17,17.0,68.32683268049554,632292,99.6269244027965,,,,,0.5046597080103856,85.32846564858515,1053.476732831991,170524,368.5172681239095,3.19591,3.1924799999999998,3.144755,3.2513799999999997,-0.006006168687734048,0.04762519769984695,,,,,1400,2,10.574217152109739,9630905,,,
0,,86.27926530427996,619718,98.27809249142538,,,,,0.5389412994121354,69.72729052383197,1015.3560491518982,183098,402.26913067602777,3.02997,2.992055,2.94325,3.158765,0.007821524192020701,0.03351740848313288,,,,,1400,2,10.331458653824468,0021001,,,
