,Unnamed: 0,bg_mean,bg_size,bg_std,cnr,csf_mean,csf_size,csf_std,efc,fber,fg_mean,fg_size,fg_std,fwhm,fwhm_x,fwhm_y,fwhm_z,ghost_x,ghost_y,ghost_z,gm_mean,gm_size,gm_std,scan,session,snr,subject,wm_mean,wm_size,wm_std
0,0.0,81.03421066563149,132383,102.18778506921714,,,,,0.5617265806613285,59.40775299823756,968.9948132963068,43745,267.50766432483243,2.043184751291989,1.9983234921458157,2.167510172258232,1.9692270007011423,0.006860448752999042,0.023817039715414445,,,,,3,3,9.482491597600985,25982,,,
1,1.0,84.64148368785689,130783,99.3988254719634,,,,,0.589194328976599,46.200669351641686,859.2039843229596,45345,222.05560155603013,2.022189574441918,1.92342,2.2104466666666664,1.9449627662695512,-0.00988705075758993,0.04100904363118544,,,,,3,3,8.644005401907974,25999,,,
2,2.0,55.1506410630221,126996,78.50504357556369,,,,,0.5262938518165047,80.82175754564976,841.0992135491153,36844,191.00737865236772,1.883385964901081,1.7805003636363637,1.960651772350781,1.9137060882583687,-0.014118031115794457,0.03082818697881848,,,,,3,3,10.713951298422373,26017,,,
0,,70.89083333212932,87078,101.03215745549434,,,,,0.48071451839037,69.24397978306513,999.6274656998614,15322,235.61744011980988,1.832874447987486,1.9180342857142858,2.0909512861366757,1.535314181129307,-0.00668138254325638,0.0339758222093646,,,,,3,3,9.894151435301252,0026044,,,
1,,65.8562694688622,86874,100.16645760048534,,,,,0.4711281779867466,75.66234382409642,1020.3473730828058,15526,214.65579186611345,1.6685786226694608,1.728602857142857,1.9184487021125183,1.4008558097114432,0.00584133414205978,0.023100460605194578,,,,,3,3,10.186517498227488,0026045,,,
