,Unnamed: 0,bg_mean,bg_size,bg_std,cnr,csf_mean,csf_size,csf_std,efc,fber,fg_mean,fg_size,fg_std,fwhm,fwhm_x,fwhm_y,fwhm_z,ghost_x,ghost_y,ghost_z,gm_mean,gm_size,gm_std,scan,session,snr,subject,wm_mean,wm_size,wm_std
0,0.0,54.92470791080417,126896,78.25685174853366,,,,,0.5256111550488654,83.01054209339719,849.7073129953993,36944,191.77929852167657,1.8833712201686008,1.7738298181818184,1.9736785454545451,1.9081759230101547,-0.012905229940495555,0.0341096920936065,,,,,2,9,10.85792865429602,26017,,,
0,,71.67862959257953,87349,102.03718228231317,,,,,0.4893646302236896,59.143740345088204,935.5443915167597,15051,210.95984571709747,1.7999315359877852,1.864242857142857,2.0650344263835927,1.5147429603265326,-0.004023443011834769,0.033016025015117016,,,,,2,9,9.1686615662154,0026044,,,
1,,62.283819541897536,86991,94.94857265604143,,,,,0.46962734876524775,76.00791691940798,967.9073731296601,15409,207.50868079101758,1.6823933665611972,1.7464171428571427,1.9589287048699995,1.3919271428571427,0.004696010917138712,0.023814099488183995,,,,,2,9,10.19401709845581,0026045,,,
