,Unnamed: 0,bg_mean,bg_size,bg_std,cnr,csf_mean,csf_size,csf_std,efc,fber,fg_mean,fg_size,fg_std,fwhm,fwhm_x,fwhm_y,fwhm_z,ghost_x,ghost_y,ghost_z,gm_mean,gm_size,gm_std,scan,session,snr,subject,wm_mean,wm_size,wm_std
0,0.0,52.80869748134735,126917,77.90678833886231,,,,,0.5259831469226233,77.13060447189191,805.9937225204181,36923,183.3228598361681,1.9220878035753208,1.8115956363636363,2.0079125880076605,1.9521515433593453,-0.010943787372503505,0.03549606061933502,,,,,2,7,10.345616084373528,26017,,,
0,,70.7716601311337,87186,99.09737057172285,,,,,0.4913837347369502,59.792611612008535,917.6845157724086,15214,211.27556312053622,1.8049112451322527,1.8768742857142857,2.0704828571428573,1.5130857142857141,-0.008035327764587062,0.03534822210762562,,,,,2,7,9.260432547079784,0026044,,,
1,,61.71766747920143,87001,94.17365691893608,,,,,0.4681863027342239,77.24707912131096,966.1744571792065,15399,213.65168014494557,1.7530236411641567,1.8223485714285714,2.020154285714286,1.463342857142857,0.004670441161787328,0.02422035522475082,,,,,2,7,10.259498131317994,0026045,,,
