,bg_mean,bg_size,bg_std,cnr,csf_mean,csf_size,csf_std,efc,fber,fg_mean,fg_size,fg_std,fwhm,fwhm_x,fwhm_y,fwhm_z,ghost_x,ghost_y,ghost_z,gm_mean,gm_size,gm_std,scan,session,snr,subject,wm_mean,wm_size,wm_std
0,63.76221201917167,96425,92.98619961023992,,,,,0.5951177318948128,57.240458006379065,835.7467568748658,42839,170.9359161419995,1.9476414303870972,1.8432566666666668,2.2473101786001664,1.783525,-0.011079176252164157,0.048771397700930516,,,,,3,1,8.98785798729246,0003051,,,
1,59.14767164204243,106203,76.92605506243898,,,,,0.5501731765894226,67.97640589426516,782.3815444511754,33061,167.11381775037282,2.0522470108913917,1.9900534914885752,2.3289931482415875,1.8649001111567087,-0.01419316145989239,0.0533469020941844,,,,,3,1,10.170566316134835,0003052,,,
2,63.06903768358204,104065,84.59414813355745,,,,,0.5628520781115792,60.95386865756373,805.8454977108838,35199,171.11974133398024,2.0030575540717406,1.9275834865239054,2.2788666666666666,1.8295676090507274,-0.007180031655809685,0.039088085941302975,,,,,3,1,9.526019417307838,0003054,,,
3,60.00232448275292,105460,81.92081640406543,,,,,0.5551837462595035,62.16989900798623,785.043850800791,33804,157.2125239675182,1.8799989773105288,1.8413865203264141,2.1207333333333334,1.70154,-0.016249909019708304,0.04794757559942145,,,,,3,1,9.582959316819407,0003055,,,
4,77.53741346293813,94779,113.34226899975026,,,,,0.6108216005989828,43.54375186427466,883.1491991933844,44485,202.9731552345637,1.9698737596758593,1.9288566666666667,2.20689982461136,1.7956925,-0.018707914242228823,0.057573256034737716,,,,,3,1,7.79187859028418,0003056,,,
5,74.90193487047338,101554,100.28685437547354,,,,,0.5773529196044966,57.05644558816056,924.9415821123996,37710,195.9248414992222,2.0100534686914546,1.9216701527206226,2.341666852765628,1.804755,-0.012797252505562845,0.03984174609646164,,,,,3,1,9.222959358655546,0003057,,,
6,67.97658928513772,100262,90.07689353564153,,,,,0.5785639559500759,62.710786566300136,871.0098344910347,39002,199.99466141208887,2.101530048793844,2.027909838836206,2.3675864785077985,1.933095,-0.02126087058575998,0.062385334553713076,,,,,3,1,9.669625586570593,0003059,,,
7,77.27598161393244,101495,108.17516569500621,,,,,0.5874685114943025,41.636400080385584,836.9586580325929,37769,188.02005051179486,2.0321890271137444,1.9803966666666666,2.325363518136622,1.8224201086247032,-0.0035983339443464574,0.04536864248355981,,,,,3,1,7.737068417277499,0003062,,,
8,53.891782747909886,101947,75.9866788339354,,,,,0.5620424927196908,70.46187936207048,764.4523694372434,37317,164.60312904079092,1.9211356967283366,1.8917866666666667,2.165676838779198,1.7306476031546356,-0.012341834291316228,0.050457267969882987,,,,,3,1,10.060347170954937,0003063,,,
9,63.715933941059525,105498,92.66480996732544,,,,,0.5446551039800859,67.46796277945472,904.2931271041095,33766,188.59690168555701,2.0782195724241976,2.00780984043361,2.3901266666666667,1.87038,-0.01938906839480643,0.04862289370190561,,,,,3,1,9.758754455148319,0003064,,,
10,6.759072305377951,931771,20.04056733290418,,,,,0.3752782012197046,124.63918638564725,230.932896000147,146501,48.990337804925204,2.4509209439045927,2.6970560369806287,3.1692308015701767,1.7224400309927363,-0.019369402609823325,0.011061093169242602,,,,,3,1,11.523271380695057,0025335,,,
11,6.295221771487795,945498,19.868154191865173,,,,,0.35411891984819444,143.407746565038,244.30676848529228,132774,50.86812245714417,2.422749819262535,2.6589578231815207,3.117666388751272,1.7154701973389757,-0.020581220917305486,0.013363947393024343,,,,,3,1,12.296399863119714,0025336,,,
12,6.77753598262992,899495,18.260985619457966,,,,,0.40637086650860144,149.98055768652307,231.85021465449887,178777,55.85655817552294,2.705491634734291,2.930241391145143,3.6208479059723526,1.8664920657471875,-0.014136081439178333,0.029215285674090125,,,,,3,1,12.696478683354924,0025337,,,
13,5.960188142400162,904184,20.14520510111089,,,,,0.38948559315451686,155.89895266763526,256.06964891759753,174088,56.623584293684374,2.489533972387142,2.7854863929940157,3.169510316660528,1.7476756967551053,-0.015148617912717668,0.020523665611105378,,,,,3,1,12.711195921429303,0025338,,,
14,5.406117778337766,925633,17.405105605278504,,,,,0.368665333391891,166.83651535010253,229.01984949569098,152639,54.24962709728355,2.488047812317355,2.803579249905783,3.162540316749552,1.7371136541650136,-0.012431551747537678,0.010632930945266432,,,,,3,1,13.158199363423304,0025339,,,
15,5.908559286072775,905992,18.276300003343625,,,,,0.39295031613913195,137.82107790334416,218.70958204846497,172280,54.674039577240656,2.564586295465364,2.813949249773333,3.3296806717576217,1.800256006678162,-0.015967321680522444,0.0251644244967558,,,,,3,1,11.966841319547848,0025340,,,
16,6.5235922442226295,896717,19.428478932137057,,,,,0.40307705916085673,150.22330197906885,244.66949910436526,181555,56.62614002858973,2.5071783001494525,2.738699965020163,3.2144750834319353,1.7902000825480544,-0.0166282507938444,0.025717634916695334,,,,,3,1,12.593342997101654,0025343,,,
17,6.509537078646766,917279,18.625455260044276,,,,,0.3835012778213377,160.3970645047788,242.73565463189925,160993,59.13579954765633,2.4902887056918153,2.698579965532593,3.2794213866852684,1.7450832916686303,-0.012041801394595514,0.020162138023530996,,,,,3,1,13.032468266835922,0025344,,,
18,5.428087947065574,920699,17.640072829562854,,,,,0.3734133284854622,176.3552011089458,239.95942056472202,157573,49.700473418281575,2.425819192562965,2.6918831799038414,3.093362460490263,1.714301916483302,-0.013931143767244525,0.010304463597020771,,,,,3,1,13.603085592854015,0025345,,,
