subject,falff_50,falff_75,falff_90,falff_fwhm,falff_mean,reho_50,reho_75,reho_90,reho_fwhm,reho_mean,vmhc_50,vmhc_75,vmhc_90,vmhc_fwhm,vmhc_mean
0026017_session_4_scan_rest_3_rest,0.39062120020389557,0.41297436505556107,0.4388390243053437,6.65728,0.38942867517471313,0.0986507460474968,0.14295241236686707,0.19158995151519778,13.5337,0.11283455789089203,0.3282622694969177,0.5776435732841492,0.7626430988311768,5.98973,0.3323327898979187
0026017_session_4_scan_rest_9_rest,0.39296336472034454,0.41897737979888916,0.4487430155277252,6.75299,0.39331531524658203,0.10236862301826477,0.14853155985474586,0.19864801317453384,13.4676,0.11673775315284729,0.349619060754776,0.5929306745529175,0.7816610932350159,6.00375,0.3493201434612274
0026017_session_4_scan_rest_1_rest,0.37702274322509766,0.3965618163347244,0.41770249605178833,6.50135,0.37402841448783875,0.09054003655910492,0.12513630092144012,0.1630287066102028,12.644,0.10040748119354248,0.3064301609992981,0.5285326242446899,0.7049617052078246,5.77239,0.30972737073898315
0026017_session_4_scan_rest_5_rest,0.3833385407924652,0.4022201821208,0.4242908626794815,6.68354,0.3801621198654175,0.0833153948187828,0.12067856639623642,0.1672039240598678,13.5748,0.09791263192892075,0.2641093283891678,0.47751837968826294,0.6725248456001283,5.80248,0.2786838710308075
0026017_session_4_scan_rest_6_rest,0.39367765188217163,0.41371873021125793,0.4348750710487366,6.52964,0.39015570282936096,0.09339627623558044,0.13396640121936798,0.17813956737518316,13.3028,0.10579796135425568,0.33730217814445496,0.5594544410705566,0.7296353459358216,5.91092,0.33335214853286743
0026017_session_4_scan_rest_4_rest,0.3807614892721176,0.39970557391643524,0.4221380382776261,6.56372,0.3784521818161011,0.08077743649482727,0.11934203840792179,0.16488394886255267,13.4133,0.0958208367228508,0.255702406167984,0.47941549122333527,0.6661932468414307,5.74694,0.27246585488319397
0026017_session_4_scan_rest_10_rest,0.3936469107866287,0.4188872277736664,0.4460263103246689,6.72722,0.39294299483299255,0.09834937378764153,0.14138532429933548,0.18459922820329666,13.2734,0.11039600521326065,0.35867613554000854,0.5867254137992859,0.7585522770881652,5.87232,0.3515470027923584
0026017_session_4_scan_rest_8_rest,0.3901250958442688,0.4141926020383835,0.4409175336360932,6.60529,0.38958287239074707,0.10044761747121811,0.14751489460468292,0.1943746328353882,13.0452,0.11384518444538116,0.30948641896247864,0.5505788922309875,0.7418764233589172,5.94749,0.318654328584671
0026017_session_4_scan_rest_7_rest,0.4037190079689026,0.4286712110042572,0.4567686051130294,6.8339,0.4028353691101074,0.10057270526885986,0.1469978466629982,0.19528384357690812,13.4588,0.1142345517873764,0.35483500361442566,0.5947941839694977,0.7732639908790588,6.03463,0.35313907265663147
0026017_session_4_scan_rest_2_rest,0.3837791234254837,0.40339143574237823,0.42554844319820406,6.4289,0.3812631070613861,0.09099406376481056,0.12797222658991814,0.1721773684024811,13.0902,0.10282721370458603,0.28391391038894653,0.5041191279888153,0.6795097112655643,5.73152,0.2936798334121704
