subject,falff_50,falff_75,falff_90,falff_fwhm,falff_mean,reho_50,reho_75,reho_90,reho_fwhm,reho_mean,vmhc_50,vmhc_75,vmhc_90,vmhc_fwhm,vmhc_mean
0026017_session_4_scan_rest_3_rest,0.39941005408763885,0.42026908695697784,0.4460988581180573,12.02,0.40570780634880066,0.10093680396676064,0.15268785506486893,0.21589934676885608,12.032,0.11988700926303864,0.2991105914115906,0.4850446283817291,0.6483012914657593,12.0002,0.3323386311531067
0026017_session_4_scan_rest_9_rest,0.40349696576595306,0.42735233902931213,0.4547566920518875,12.0064,0.40981653332710266,0.10495340451598167,0.16048166155815125,0.22189342975616455,12.0228,0.12380792945623398,0.3137498199939728,0.5151437520980835,0.6838403940200806,12.0004,0.3493189513683319
0026017_session_4_scan_rest_1_rest,0.3850051164627075,0.4001726806163788,0.4202465951442719,12.0059,0.3895021080970764,0.09312716871500015,0.1333392821252346,0.1812508955597879,12.007,0.1065567210316658,0.27988818287849426,0.43212080001831055,0.5764152765274048,11.9869,0.3097265064716339
0026017_session_4_scan_rest_5_rest,0.39015042781829834,0.4065658822655678,0.428821650147438,12.0014,0.39585018157958984,0.08575116842985153,0.13013670220971107,0.18706641048192976,12.0242,0.1039203330874443,0.2438550442457199,0.3930254206061363,0.5683461308479311,12.0002,0.2786845862865448
0026017_session_4_scan_rest_6_rest,0.4015101492404938,0.41821229457855225,0.438230586051941,12.0131,0.40605825185775757,0.0954882800579071,0.1437864750623703,0.1982430815696717,12.021,0.11233401298522949,0.31013932824134827,0.45555098354816437,0.5787280321121215,11.8686,0.3333571255207062
0026017_session_4_scan_rest_4_rest,0.3877875506877899,0.40526997298002243,0.4294899672269822,12.0156,0.39417943358421326,0.08286059647798538,0.12807823717594147,0.18570737987756733,12.0026,0.10200643539428711,0.23677990585565567,0.3833492249250412,0.5171159029006958,11.9444,0.27246415615081787
0026017_session_4_scan_rest_10_rest,0.4042988717556,0.4257134795188904,0.44944843649864197,12.0097,0.4092511236667633,0.10144529491662979,0.15163805708289146,0.20354419946670532,12.0117,0.11702235788106918,0.32064229249954224,0.49758368730545044,0.6442252397537231,12.0003,0.3515479266643524
0026017_session_4_scan_rest_8_rest,0.3997664451599121,0.4212109446525574,0.44688034057617215,12.0195,0.4059494137763977,0.10322467982769012,0.15698595345020294,0.2164383113384247,12.0208,0.12086527794599533,0.2784639298915863,0.4689212441444397,0.6318310499191284,12.0011,0.31865063309669495
0026017_session_4_scan_rest_7_rest,0.4137526899576187,0.435660645365715,0.46088986098766327,12.0176,0.4194636344909668,0.10331175103783607,0.15835171565413475,0.2163587898015976,12.0239,0.12104278057813644,0.3205699324607849,0.5037823021411896,0.6636314630508423,12.0002,0.3531334102153778
0026017_session_4_scan_rest_2_rest,0.3912355750799179,0.4089088514447212,0.43178371787071235,12.0198,0.39715316891670227,0.09323454275727272,0.13649403676390648,0.19250157475471502,12.0093,0.10928341001272202,0.26012739539146423,0.40475597977638245,0.5471039175987245,11.8407,0.2936798930168152
