subject,falff_50,falff_75,falff_90,falff_fwhm,falff_mean,reho_50,reho_75,reho_90,reho_fwhm,reho_mean,vmhc_50,vmhc_75,vmhc_90,vmhc_fwhm,vmhc_mean
0026017_session_4_scan_rest_3_rest,0.39919979916885495,0.44422233290970325,0.4982493733987212,3.48591,0.4057061297426453,0.10003343224525452,0.15414220467209816,0.22053873538970956,10.4325,0.1198875904083252,0.3282622694969177,0.5776435732841492,0.7626430988311768,5.98973,0.3323327898979187
0026017_session_4_scan_rest_9_rest,0.402170866727829,0.4524422250688076,0.5121394630987197,3.66457,0.4098178089218008,0.10392667725682259,0.16225005686283112,0.22663180530071259,10.3515,0.12380824983119965,0.349619060754776,0.5929306745529175,0.7816610932350159,6.00375,0.3493201434612274
0026017_session_4_scan_rest_1_rest,0.3844571500085294,0.426838253159076,0.47527379961684346,3.19237,0.3895017496494795,0.0919901393353939,0.13496876135468483,0.18712904900312427,9.73516,0.10655641555786133,0.3064301609992981,0.5285326242446899,0.7049617052078246,5.77239,0.30972737073898315
0026017_session_4_scan_rest_5_rest,0.39081946574151516,0.4348968490958214,0.4789742324501276,3.19741,0.39584960912273626,0.08571214973926544,0.13070331513881683,0.1906513899564743,10.3773,0.10392086207866669,0.2641093283891678,0.47751837968826294,0.6725248456001283,5.80248,0.2786838710308075
0026017_session_4_scan_rest_6_rest,0.40107784257270396,0.4449914749711752,0.49183268286287785,3.25419,0.40605789225923256,0.0947675108909607,0.14478564262390137,0.20313760340213777,10.2773,0.11233414709568024,0.33730217814445496,0.5594544410705566,0.7296353459358216,5.91092,0.33335214853286743
0026017_session_4_scan_rest_4_rest,0.3878900681156665,0.43163706827908754,0.47830053512007,3.31685,0.3941799447501198,0.08260257914662361,0.12902799993753433,0.18966673761606218,10.377,0.10200585424900055,0.255702406167984,0.47941549122333527,0.6661932468414307,5.74694,0.27246585488319397
0026017_session_4_scan_rest_10_rest,0.40061987238004804,0.4518992160446942,0.5063835186883807,3.51627,0.4092508998332504,0.10037564113736153,0.1531866006553173,0.20941530913114548,10.0836,0.11702323704957962,0.35867613554000854,0.5867254137992859,0.7585522770881652,5.87232,0.3515470027923584
0026017_session_4_scan_rest_8_rest,0.3980741393752396,0.44706787960603833,0.5021858373656869,3.58045,0.4059486665347853,0.1021992415189743,0.15820638090372086,0.22182419002056122,10.2755,0.12086466699838638,0.30948641896247864,0.5505788922309875,0.7418764233589172,5.94749,0.318654328584671
0026017_session_4_scan_rest_7_rest,0.410082746995613,0.46016918937675655,0.5133860344067216,3.53033,0.41946393901169343,0.10250276699662209,0.1590508297085762,0.22128683179616926,10.4048,0.12104290723800659,0.35483500361442566,0.5947941839694977,0.7732639908790588,6.03463,0.35313907265663147
0026017_session_4_scan_rest_2_rest,0.39175739511847496,0.43496593134477735,0.4810550366528332,3.29468,0.397153818974716,0.0924711637198925,0.13775165751576424,0.1970441192388535,10.1734,0.10928300768136978,0.28391391038894653,0.5041191279888153,0.6795097112655643,5.73152,0.2936798334121704
0026017_session_3_scan_rest_1_rest,0.3921556437853724,0.43447459815070033,0.4796148161403835,3.12579,0.3974096045917811,0.08786634355783463,0.13123343884944916,0.1818306535482407,9.751,0.10314495116472244,0.2754175066947937,0.49587569385766983,0.6902623176574707,5.75146,0.29131627082824707
0026017_session_3_scan_rest_6_rest,0.3866914086975157,0.42709200363606215,0.47326411213725805,3.30526,0.3908416833431779,0.09002197533845901,0.14002521336078644,0.20512225925922395,10.6066,0.10990817099809647,0.2953890860080719,0.5190587639808655,0.7100269794464111,5.7893,0.3045806586742401
0026017_session_3_scan_rest_9_rest,0.38964239694178104,0.43261766131035984,0.47845794330351055,3.3435,0.3940988675287127,0.08212708681821823,0.1302138715982437,0.19602167606353765,10.6714,0.10270790010690689,0.24360811710357666,0.46194231510162354,0.6615307927131653,5.78642,0.2656857371330261
0026017_session_3_scan_rest_4_rest,0.39677921310067177,0.44086579233407974,0.4821969603653997,3.13402,0.4011288943231685,0.08927752822637558,0.14065441489219666,0.2030429929494858,10.672,0.10939814895391464,0.2833246886730194,0.5007542967796326,0.695748507976532,5.91844,0.2960544228553772
0026017_session_3_scan_rest_5_rest,0.3944165874272585,0.437918416922912,0.4843203683849424,3.26928,0.39844031109450717,0.10305926948785782,0.15894272923469543,0.221724545955658,10.3267,0.12141156196594238,0.34860149025917053,0.5702119469642639,0.7365413308143616,5.91925,0.3424951732158661
0026017_session_3_scan_rest_10_rest,0.3852103063836694,0.4294147677719593,0.47361922916024923,3.2178,0.3902686860188896,0.08465337753295898,0.1288008689880371,0.1886966377496722,10.236,0.10310396552085876,0.2634719908237457,0.4802979528903961,0.6758747339248662,5.80293,0.27770349383354187
0026017_session_3_scan_rest_2_rest,0.39089857786893845,0.4311381373554468,0.4742519510909915,3.0878,0.39481968485359553,0.08459444344043732,0.12750565260648727,0.17953355312347413,10.0545,0.10089265555143356,0.26928165555000305,0.4926444739103317,0.6788897216320038,5.7361,0.28481459617614746
0026017_session_3_scan_rest_3_rest,0.3991717181634158,0.4422478028573096,0.48532388755120337,3.23143,0.40309459903527856,0.0842263400554657,0.13135500624775887,0.18897212594747542,10.3412,0.10299038141965866,0.2693467438220978,0.4827493727207184,0.6709040284156804,5.83139,0.28117620944976807
0026017_session_3_scan_rest_8_rest,0.3918751748278737,0.4331251932308078,0.4773216415196657,3.23955,0.3958216061248417,0.08663064241409302,0.13498622179031372,0.19480745792388918,10.4179,0.10571590065956116,0.2593258023262024,0.48606307804584503,0.6887966990470886,6.02235,0.27629515528678894
0026017_session_3_scan_rest_7_rest,0.39212642703205347,0.4366862482856959,0.4842167242895812,3.3948,0.3990415159529031,0.09291429817676544,0.14518123865127563,0.20805790126323698,10.6165,0.11250219494104385,0.31749963760375977,0.5450031161308289,0.7180736660957336,5.97358,0.31786662340164185
0026017_session_7_scan_rest_9_rest,0.379424512386322,0.4268525764346123,0.47724489448592067,3.4864,0.3864425455392318,0.0896855890750885,0.1427990198135376,0.20648633539676675,10.5825,0.11012014746665955,0.2894260585308075,0.5029618740081787,0.6681854724884033,5.64752,0.2927248179912567
0026017_session_7_scan_rest_3_rest,0.3982356400229037,0.44564464478753507,0.5025354505050927,3.65905,0.40594462848261775,0.09188924729824066,0.14715835452079773,0.21423565149307253,10.558,0.1137087345123291,0.2964186370372772,0.5276563763618469,0.7059336423873901,5.75046,0.3037883937358856
0026017_session_7_scan_rest_10_rest,0.38721933378838,0.4305878991726786,0.48015197389759123,3.37742,0.39118448314628373,0.08902880549430847,0.13714280724525452,0.19541722834110262,10.2762,0.10696014016866684,0.2781245708465576,0.4988935887813568,0.6870323419570923,5.80598,0.28923025727272034
0026017_session_7_scan_rest_8_rest,0.3794684112071991,0.42231161892414093,0.47127528488636017,3.42415,0.38429618219243084,0.08569731563329697,0.13390955328941345,0.19279274195432666,10.4214,0.10481762140989304,0.28157617151737213,0.5085861086845398,0.7080300450325013,5.82918,0.2904116213321686
0026017_session_7_scan_rest_6_rest,0.3861641697585583,0.43443469097837806,0.4891412816941738,3.5936,0.3944578315186695,0.09380711987614632,0.14530989900231361,0.20600225776433945,10.2721,0.11234045773744583,0.31130099296569824,0.5337441563606262,0.7017143964767456,5.7622,0.3101577162742615
0026017_session_7_scan_rest_1_rest,0.39203675906173885,0.43739638407714665,0.489235955523327,3.45336,0.40060582231155123,0.09023871272802353,0.14051034301519394,0.2038419008255005,10.5975,0.11042806506156921,0.3008159250020981,0.533942848443985,0.7153592109680176,5.84962,0.30812159180641174
0026017_session_7_scan_rest_5_rest,0.39524988271296024,0.4388436197768897,0.4882498551160097,3.27349,0.4006021973846383,0.08721491321921349,0.1308644339442253,0.18588208705186848,10.1681,0.10312569886445999,0.26331058144569397,0.47401437163352966,0.6558900475502014,5.6447,0.2757212221622467
0026017_session_7_scan_rest_4_rest,0.3992393109947443,0.4449537359178066,0.4937157891690731,3.46565,0.40595043188191304,0.0875658392906189,0.13695970177650452,0.1991320699453354,10.43,0.1072748675942421,0.27252131700515747,0.5008631944656372,0.6871130466461185,5.80046,0.2864723801612854
0026017_session_7_scan_rest_7_rest,0.3883595704101026,0.4345928526017815,0.49007279123179615,3.5727,0.3959071390848832,0.09108216315507889,0.14700625836849213,0.21437399089336395,10.5534,0.11236883699893951,0.29893672466278076,0.5320434272289276,0.7065411806106567,5.86724,0.3037736415863037
0026017_session_7_scan_rest_2_rest,0.3909423053264618,0.43675585673190653,0.4917321184184402,3.60005,0.3981185167910917,0.09480553865432739,0.14923909306526184,0.21477798521518715,10.5934,0.1154070720076561,0.31986358761787415,0.5465682148933411,0.7161002159118652,5.86192,0.32198479771614075
0026017_session_2_scan_rest_7_rest,0.39894530083984137,0.4503246198873967,0.5047262518201023,3.54287,0.4081951175190305,0.08485942333936691,0.13189585506916046,0.19345815777778635,10.5352,0.10427581518888474,0.2693204879760742,0.4965779408812523,0.6892669200897217,5.68268,0.28113335371017456
0026017_session_2_scan_rest_10_rest,0.39703649235889316,0.4415045795030892,0.48914895858615637,3.44814,0.40360092048023044,0.08609799295663834,0.1332954317331314,0.1938217788934708,10.4263,0.10474744439125061,0.2431516945362091,0.46387311816215515,0.6493005752563477,5.67992,0.2589721977710724
0026017_session_2_scan_rest_5_rest,0.39395753340795636,0.44398388685658574,0.4940102403052151,3.48196,0.40297055578971563,0.09069395437836647,0.13715828210115433,0.19739200174808502,10.1138,0.10872722417116165,0.32191598415374756,0.5492535978555679,0.7171195864677429,5.78007,0.3194657564163208
0026017_session_2_scan_rest_2_rest,0.3873603637330234,0.4334746927488595,0.4857375989668071,3.50303,0.39633383849137926,0.0901983454823494,0.1395362913608551,0.20233231782913208,10.4845,0.10947485268115997,0.30769094824790955,0.5292630791664124,0.7019275426864624,5.8029,0.30876222252845764
0026017_session_2_scan_rest_1_rest,0.3903359645046294,0.43512861616909504,0.4799212678335607,3.28926,0.39713809779519954,0.08657733723521233,0.1308809481561184,0.1901053935289383,10.4425,0.10436955839395523,0.2754785716533661,0.4953062832355499,0.6801224946975708,5.78204,0.28669577836990356
0026017_session_2_scan_rest_9_rest,0.4025074248202145,0.44869680143892765,0.5014846604317427,3.49048,0.409099307820135,0.0902615487575531,0.13957682251930237,0.19738419353961945,10.6488,0.10917114466428757,0.3233899176120758,0.5515857338905334,0.749279797077179,5.79664,0.3286736011505127
0026017_session_2_scan_rest_4_rest,0.3970421552658081,0.44046864099800587,0.493200802244246,3.51216,0.4035156247786546,0.0915665477514267,0.1444656401872635,0.21340479254722589,10.7516,0.11332782357931137,0.3163474500179291,0.5441105663776398,0.7138904690742494,5.81532,0.3173752725124359
0026017_session_2_scan_rest_8_rest,0.3991570654325187,0.44717596052214503,0.498196036554873,3.394,0.40492716165785686,0.08705805242061615,0.13371577113866806,0.18900603652000425,10.0196,0.1042821854352951,0.278071328997612,0.49845027178525925,0.6802855134010315,5.61182,0.2889747619628906
0026017_session_2_scan_rest_3_rest,0.3913936286699027,0.4348818096332252,0.4812692026607692,3.2882,0.3976324942660551,0.08563479408621788,0.12927019968628883,0.18452149629592896,9.96827,0.10224152356386185,0.278249055147171,0.5024013519287109,0.6869296312332154,5.70433,0.29015570878982544
0026017_session_2_scan_rest_6_rest,0.4060162827372551,0.45523037761449814,0.5136721152812243,3.66696,0.41571180436489913,0.08559160679578781,0.128291517496109,0.18569211363792423,10.2336,0.10257045924663544,0.2682160586118698,0.48474717140197754,0.6719827353954315,5.59355,0.2781860828399658
0026017_session_10_scan_rest_7_rest,0.378625666256994,0.4237001503352076,0.4717796000186354,3.47865,0.38569350745235004,0.08793280273675919,0.13496510684490204,0.1945235937833786,10.4243,0.10609074681997299,0.28234171867370605,0.5027050375938416,0.6757786273956299,5.77817,0.2878813147544861
0026017_session_10_scan_rest_1_rest,0.3926094677299261,0.4359119825530797,0.47921449737623334,3.12009,0.39808985272083275,0.08168012648820877,0.12413664348423481,0.18037251532077792,10.4229,0.09916116297245026,0.2558318078517914,0.47317638993263245,0.6693169474601746,5.78361,0.27354004979133606
0026017_session_10_scan_rest_3_rest,0.38766561239026487,0.4357481689658016,0.48683588532730937,3.53292,0.396381612115992,0.09015581011772156,0.14208322763442993,0.20861471593379977,10.6747,0.11124174296855927,0.31657910346984863,0.5550932288169861,0.7466642141342164,5.81444,0.32462406158447266
0026017_session_10_scan_rest_5_rest,0.38811574783176184,0.43221981008537114,0.4792641431558877,3.39202,0.3937890741789683,0.08811787888407707,0.13836289197206497,0.19763056933879852,10.3743,0.1072876900434494,0.2984829843044281,0.5240982472896576,0.6971694231033325,5.80512,0.3015598952770233
